ticker,company_name,sector,industry,cik,start_date,end_date,is_active,inclusion_source
AAPL,Apple Inc.,Information Technology,Technology Hardware,0000320193,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
MSFT,Microsoft Corporation,Information Technology,Systems Software,0000789019,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
NVDA,NVIDIA Corporation,Information Technology,Semiconductors,0001045810,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
AVGO,Broadcom Inc.,Information Technology,Semiconductors,0001730168,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment,0000858877,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
ORCL,Oracle Corporation,Information Technology,Application Software,0001341439,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors,0000804328,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors,0000097476,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
GOOGL,Alphabet Inc.,Communication Services,Interactive Media and Services,0001652044,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
META,Meta Platforms Inc.,Communication Services,Interactive Media and Services,0001326801,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
NFLX,Netflix Inc.,Communication Services,Movies and Entertainment,0001065280,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
DIS,The Walt Disney Company,Communication Services,Movies and Entertainment,0001744489,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail,0001018724,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
TSLA,Tesla Inc.,Consumer Discretionary,Automobile Manufacturers,0001318605,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
HD,The Home Depot Inc.,Consumer Discretionary,Home Improvement Retail,0000354950,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
MCD,McDonald's Corporation,Consumer Discretionary,Restaurants,0000063908,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
NKE,NIKE Inc.,Consumer Discretionary,Footwear,0000320187,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
LOW,Lowe's Companies Inc.,Consumer Discretionary,Home Improvement Retail,0000060667,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
WMT,Walmart Inc.,Consumer Staples,Consumer Staples Merchandise Retail,0000104169,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Merchandise Retail,0000909832,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
PG,The Procter & Gamble Company,Consumer Staples,Household Products,0000080424,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
KO,The Coca-Cola Company,Consumer Staples,Soft Drinks,0000021344,2014-01-01,,true,manual_large_cap_liquid_screen_2026-07-28
