method_a,method_b,mean_cagr_difference_a_minus_b,cagr_difference_ci_lower,cagr_difference_ci_upper,probability_cagr_a_greater_b,mean_sharpe_difference_a_minus_b,sharpe_difference_ci_lower,sharpe_difference_ci_upper,probability_sharpe_a_greater_b
alpha_risk_turnover,cvar,0.008424387953819064,-0.02019175331137104,0.03589642409449783,0.7263,0.08316231098570953,-0.05138575525364086,0.2253830091809463,0.8864
alpha_risk_turnover,median_mad_de,-0.009131466080594208,-0.04125279768292172,0.02225365285649703,0.2865,-0.04632221828090999,-0.18899525346142976,0.10245157535235173,0.2644
alpha_risk_turnover,score_weighted,-0.030643656097476275,-0.06744852998099389,0.002692923573719149,0.036,-0.07550209755498591,-0.22009302434312475,0.06025916627573626,0.1383
alpha_risk_turnover,top_n_equal_weight,-0.018758918109877856,-0.053311143694918864,0.0127080144971762,0.1298,-0.050657305264394936,-0.1923501546133011,0.08872245945887533,0.2362
cvar,median_mad_de,-0.017555854034413274,-0.04633821687701992,0.013131412455304248,0.1209,-0.12948452926661952,-0.2534780677342228,-0.005192690414793301,0.0219
cvar,score_weighted,-0.03906804405129534,-0.07974618586941747,-0.002391118047353221,0.0185,-0.15866440854069544,-0.33920565408764125,0.0017230974896081347,0.0263
cvar,top_n_equal_weight,-0.02718330606369692,-0.06373670570967199,0.008131028059359656,0.0598,-0.13381961625010447,-0.29361501012156643,0.013175637250537123,0.0372
median_mad_de,score_weighted,-0.021512190016882066,-0.07203582954302408,0.02302592167471209,0.1824,-0.02917987927407592,-0.22868751500047807,0.1466582840931421,0.3934
median_mad_de,top_n_equal_weight,-0.009627452029283647,-0.05510163271376114,0.031602364749662826,0.3364,-0.004335086983484955,-0.18232117301981351,0.1560428603680089,0.4983
score_weighted,top_n_equal_weight,0.011884737987598416,-0.0005004638963816827,0.02498880292453606,0.9698,0.02484479229059097,-0.02767430788287078,0.08147385095497893,0.8132
