strategy_name,trades,traded_notional,commission_cost,spread_cost,slippage_cost,market_impact_cost,total_execution_cost,maximum_order_adv_fraction,mean_order_adv_fraction,capital,effective_cost_bps,transaction_cost_fraction_initial_capital
alpha_risk_turnover,2004,7567624.080102351,378.3812040051176,1513.5248160204703,1891.9060200255878,37.975228426142195,3821.787268477318,5.073722633508673e-05,4.031874481878167e-06,100000.0,5.050181177109459,0.038217872684773176
cvar,2008,6070230.752106164,303.51153760530815,1214.0461504212326,1517.5576880265407,30.295201576480213,3065.410577629562,4.831760733357618e-05,3.456199824583278e-06,100000.0,5.049907825276607,0.03065410577629562
median_mad_de,2055,8514947.273635298,425.7473636817649,1702.9894547270596,2128.7368184088245,42.990952696380866,4300.46458951403,5.208080627571634e-05,4.387171641381165e-06,100000.0,5.050488806700534,0.0430046458951403
score_weighted,2314,8179440.201896533,408.9720100948267,1635.8880403793069,2044.8600504741335,35.5849249381483,4125.305025886415,4.339079369391815e-05,3.7408620134863877e-06,100000.0,5.043505330511368,0.04125305025886415
top_n_equal_weight,2314,7364663.218394024,368.2331609197012,1472.9326436788049,1841.165804598506,35.00287041964852,3717.3344796166607,4.4947932608182414e-05,3.4468442752929315e-06,100000.0,5.047528134527897,0.03717334479616661
alpha_risk_turnover,2004,75656641.48262064,3782.8320741310326,15131.32829652413,18914.16037065516,1200.4170363386852,39028.73777764901,0.0005071792162864605,4.0309104476034076e-05,1000000.0,5.158666445247168,0.03902873777764901
cvar,2117,60689099.961126864,3034.4549980563434,12137.819992225373,15172.274990281716,957.7099088343252,31302.25988939776,0.0004830189994290765,3.277580215169183e-05,1000000.0,5.157805917281318,0.03130225988939776
median_mad_de,2055,85124168.66447785,4256.208433223893,17024.83373289557,21281.042166119467,1358.8880988495011,43920.972431088434,0.000520552214706132,4.3859479600720196e-05,1000000.0,5.159635990596941,0.04392097243108843
score_weighted,2314,81775981.91486196,4088.799095743098,16355.196382972392,20443.99547871549,1124.9124647064018,42012.90342213738,0.00043374864986546707,3.740075944593579e-05,1000000.0,5.137560251600227,0.04201290342213738
top_n_equal_weight,2314,73629944.631301,3681.4972315650502,14725.988926260201,18407.48615782525,1106.5100010249694,37921.48231667547,0.0004493309929680292,3.4461104302813254e-05,1000000.0,5.15027989041222,0.03792148231667547
alpha_risk_turnover,2004,755947233.7206588,37797.36168603294,151189.44674413177,188986.8084301647,37914.067794427465,415887.68465475686,0.005065694736697136,0.0004027864740206433,10000000.0,5.5015438393473595,0.041588768465475684
cvar,2145,606473552.8038503,30323.67764019252,121294.71056077008,151618.3882009626,30254.63200661323,333491.4084085384,0.004825227929438641,0.0003232715509999611,10000000.0,5.498861522761214,0.03334914084085384
median_mad_de,2055,850442397.2750125,42522.119863750624,170088.4794550025,212610.5993187531,42911.386345256185,468132.5849827624,0.005197443926727274,0.00043820824904415817,10000000.0,5.5045772233693055,0.04681325849827624
score_weighted,2314,817177812.8640995,40858.89064320498,163435.5625728199,204294.45321602488,35534.73210859567,444123.6385406454,0.004332455169859465,0.0003737592182864324,10000000.0,5.434847000851028,0.044412363854064545
top_n_equal_weight,2314,735772187.2838328,36788.60936419164,147154.43745676655,183943.0468209582,34953.166788462484,402839.2604303789,0.004488624060992624,0.00034437917143793174,10000000.0,5.475054200098201,0.04028392604303789
alpha_risk_turnover,2004,7539953454.489342,376997.67272446706,1507990.6908978682,1884988.3636223353,1194322.0735441688,4964298.800788839,0.050464852900031554,0.004018262261050425,100000000.0,6.583991308106896,0.04964298800788839
cvar,2149,6051568918.88392,302578.445944196,1210313.783776784,1512892.22972098,953664.6678180881,3979449.1272600484,0.0480958682730287,0.0032201480764195386,100000000.0,6.575896565999899,0.039794491272600485
median_mad_de,2055,8479237899.7093115,423961.89498546557,1695847.5799418623,2119809.474927328,1350962.9747768838,5590581.92463154,0.05172021815782184,0.004369900724881766,100000000.0,6.593259902311737,0.055905819246315394
score_weighted,2314,8153422195.090131,407671.10975450656,1630684.4390180262,2038355.5487725327,1119908.1755870085,5196619.273132074,0.04316602218947244,0.0037297578486551793,100000000.0,6.373543708139387,0.051966192731320734
top_n_equal_weight,2314,7341093125.659511,367054.6562829755,1468218.625131902,1835273.2814148776,1101554.6467546267,4772101.209584382,0.0447385425449309,0.0034364782967270377,100000000.0,6.500532179471112,0.047721012095843826
