path,relative_path,suffix,size_bytes,sha256_12,rows,columns,column_names,date_columns,min_date,max_date,categorical_hints,candidate_pages,error
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\backtest_all_methods_gross_daily.parquet,data/processed/backtest_all_methods_gross_daily.parquet,.parquet,358221,2cf8146ec3f7,8050,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000480.8801295199"", ""1001053.340729197"", ""1001079.5881971756"", ""1001837.7773045121"", ""1002616.5283560705"", ""1003387.6225050106"", ""1003509.4790393843"", ""1003634.5588845081"", ""1003694.6688989485"", ""1005494.2877290408"", ""1005743.1425329653"", ""1005935.1968425172"", ""1006396.6231640149"", ""1007117.507944166"", ""1007398.7665006472"", ""1007866.999740293"", ""1007905.3246815973"", ""1007919.0657173826"", ""1008300.3027272638"", ""1008478.4243546053"", ""1008504.9695643674"", ""1009195.8381151856"", ""1009207.475518866"", ""1010049.454326415"", ""1010746.6642165662"", ""1010859.884060138"", ""1011096.6828475919"", ""1012671.5467071964"", ""1012931.8122320911"", ""1012945.5614436882""], ""strategy_name"": [""alpha_risk_turnover"", ""cvar"", ""median_mad_de"", ""score_weighted"", ""top_n_equal_weight""]}",overview,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\backtest_all_methods_net_daily.parquet,data/processed/backtest_all_methods_net_daily.parquet,.parquet,399368,683b97a7b5f2,8050,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000424.8726010929"", ""1000665.9254884965"", ""1001435.5194642242"", ""1001908.7469748723"", ""1002043.2655481522"", ""1003181.3413748221"", ""1004096.2171385542"", ""1004138.8474759256"", ""1004997.2979382211"", ""1005420.7234274165"", ""1005520.6922853866"", ""1005906.1820156439"", ""1005978.0190626371"", ""1006302.5512556972"", ""1006497.5844946946"", ""1006696.9012063432"", ""1006869.7661565997"", ""1006901.2425817596"", ""1007551.643535051"", ""1007586.0355461162"", ""1009252.4122869414"", ""1009533.7988776442"", ""1010229.4865849346"", ""1010579.8661980013"", ""1010701.3816769464"", ""1011175.3990128232"", ""1011269.8696357432"", ""1011339.505227561"", ""1012788.8803997055"", ""1012971.7011501483""], ""strategy_name"": [""alpha_risk_turnover"", ""cvar"", ""median_mad_de"", ""score_weighted"", ""top_n_equal_weight""]}",overview,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\benchmark_spy_daily.parquet,data/processed/benchmark_spy_daily.parquet,.parquet,162092,3f3513c1a3aa,3159,8,date|ticker|open|high|low|close|adjusted_close|volume,date,2014-01-02T00:00:00,2026-07-27T00:00:00,{},overview,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\final_alpha_signal.parquet,data/processed/final_alpha_signal.parquet,.parquet,370353,5c98978c3a6b,3850,14,fold_id|as_of_date|ticker|sector|raw_prediction|percentile_score|rank|composite_weight|elastic_net_weight|lightgbm_ranker_weight|composite_contribution|elastic_net_contribution|lightgbm_ranker_contribution|model_contributions,as_of_date,2020-01-31T00:00:00,2026-05-29T00:00:00,"{""model_contributions"": [""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.16666666666666666}, \""lightgbm_ranker\"": {\""contribution\"": 0.10465463854703438, \""percentile\"": 0.30612244897959184, \""weight\"": 0.3418718192536456}, \""technical_composite\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.49146151407968774}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.16666666666666666}, \""lightgbm_ranker\"": {\""contribution\"": 0.23721718070661124, \""percentile\"": 0.6938775510204082, \""weight\"": 0.3418718192536456}, \""technical_composite\"": {\""contribution\"": 0.2908649777206315, \""percentile\"": 0.5918367346938775, \""weight\"": 0.49146151407968774}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.16666666666666669}, \""lightgbm_ranker\"": {\""contribution\"": 0.0935374149659864, \""percentile\"": 0.5612244897959183, \""weight\"": 0.16666666666666669}, \""technical_composite\"": {\""contribution\"": 0.4081632653061225, \""percentile\"": 0.6122448979591837, \""weight\"": 0.6666666666666667}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.16666666666666669}, \""lightgbm_ranker\"": {\""contribution\"": 0.10374149659863947, \""percentile\"": 0.6224489795918368, \""weight\"": 0.16666666666666669}, \""technical_composite\"": {\""contribution\"": 0.4761904761904763, \""percentile\"": 0.7142857142857143, \""weight\"": 0.6666666666666667}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.1759726500066194}, \""lightgbm_ranker\"": {\""contribution\"": 0.4468836166552605, \""percentile\"": 1.0, \""weight\"": 0.4468836166552605}, \""technical_composite\"": {\""contribution\"": 0.13084578503567434, \""percentile\"": 0.3469387755102041, \""weight\"": 0.3771437333381202}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.19078776697430908}, \""lightgbm_ranker\"": {\""contribution\"": 0.11739045669152907, \""percentile\"": 0.1836734693877551, \""weight\"": 0.6391258197649916}, \""technical_composite\"": {\""contribution\"": 0.0034711512910346803, \""percentile\"": 0.02040816326530612, \""weight\"": 0.17008641326069934}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.19643958970280992}, \""lightgbm_ranker\"": {\""contribution\"": 0.24622407946610306, \""percentile\"": 0.9285714285714286, \""weight\"": 0.2651643932711879}, \""technical_composite\"": {\""contribution\"": 0.27469184542142966, \""percentile\"": 0.5102040816326531, \""weight\"": 0.5383960170260021}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.19643958970280992}, \""lightgbm_ranker\"": {\""contribution\"": 0.25704711592615154, \""percentile\"": 0.9693877551020408, \""weight\"": 0.2651643932711879}, \""technical_composite\"": {\""contribution\"": 0.05493836908428593, \""percentile\"": 0.10204081632653061, \""weight\"": 0.5383960170260021}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.20101702028250273}, \""lightgbm_ranker\"": {\""contribution\"": 0.13130547389317188, \""percentile\"": 0.23469387755102042, \""weight\"": 0.5594754974578627}, \""technical_composite\"": {\""contribution\"": 0.024439539006085167, \""percentile\"": 0.10204081632653061, \""weight\"": 0.2395074822596346}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.20101702028250273}, \""lightgbm_ranker\"": {\""contribution\"": 0.37678962073692795, \""percentile\"": 0.673469387755102, \""weight\"": 0.5594754974578627}, \""technical_composite\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2395074822596346}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.21001772825456222}, \""lightgbm_ranker\"": {\""contribution\"": 0.06491275955439058, \""percentile\"": 0.2755102040816326, \""weight\"": 0.23560927541963989}, \""technical_composite\"": {\""contribution\"": 0.22627469237787667, \""percentile\"": 0.40816326530612246, \""weight\"": 0.5543729963257978}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2165834446237017}, \""lightgbm_ranker\"": {\""contribution\"": 0.29964332526661763, \""percentile\"": 0.8775510204081632, \""weight\"": 0.341454021815448}, \""technical_composite\"": {\""contribution\"": 0.2254910885514543, \""percentile\"": 0.5102040816326531, \""weight\"": 0.4419625335608504}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2292975095314283}, \""lightgbm_ranker\"": {\""contribution\"": 0.142322965797625, \""percentile\"": 0.32653061224489793, \""weight\"": 0.4358640827552266}, \""technical_composite\"": {\""contribution\"": 0.06833436892109084, \""percentile\"": 0.20408163265306123, \""weight\"": 0.3348384077133451}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.24874530905431685}, \""lightgbm_ranker\"": {\""contribution\"": 0.10327763155719233, \""percentile\"": 0.25510204081632654, \""weight\"": 0.40484831570419394}, \""technical_composite\"": {\""contribution\"": 0.049486625034498445, \""percentile\"": 0.14285714285714285, \""weight\"": 0.34640637524148915}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.24967178633951143}, \""lightgbm_ranker\"": {\""contribution\"": 0.08281634340805068, \""percentile\"": 0.23469387755102042, \""weight\"": 0.35286963712995506}, \""technical_composite\"": {\""contribution\"": 0.12978239233650074, \""percentile\"": 0.32653061224489793, \""weight\"": 0.39745857653053357}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2524213555096364}, \""lightgbm_ranker\"": {\""contribution\"": 0.02523554036064942, \""percentile\"": 0.05102040816326531, \""weight\"": 0.49461659106872863}, \""technical_composite\"": {\""contribution\"": 0.020649963544623267, \""percentile\"": 0.08163265306122448, \""weight\"": 0.252962053421635}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.257106968769316}, \""lightgbm_ranker\"": {\""contribution\"": 0.2939930431449068, \""percentile\"": 0.5102040816326531, \""weight\"": 0.5762263645640173}, \""technical_composite\"": {\""contribution\"": 0.006802721088435373, \""percentile\"": 0.04081632653061224, \""weight\"": 0.16666666666666666}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2606414629635042}, \""lightgbm_ranker\"": {\""contribution\"": 0.029473708996513824, \""percentile\"": 0.061224489795918366, \""weight\"": 0.4814039136097258}, \""technical_composite\"": {\""contribution\"": 0.03685066048953857, \""percentile\"": 0.14285714285714285, \""weight\"": 0.25795462342677}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2606414629635042}, \""lightgbm_ranker\"": {\""contribution\"": 0.1375439753170645, \""percentile\"": 0.2857142857142857, \""weight\"": 0.4814039136097258}, \""technical_composite\"": {\""contribution\"": 0.14740264195815428, \""percentile\"": 0.5714285714285714, \""weight\"": 0.25795462342677}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2640112754867646}, \""lightgbm_ranker\"": {\""contribution\"": 0.16941243899447353, \""percentile\"": 0.32653061224489793, \""weight\"": 0.5188255944205752}, \""technical_composite\"": {\""contribution\"": 0.013295701842407774, \""percentile\"": 0.061224489795918366, \""weight\"": 0.2171631300926603}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2676533298660609}, \""lightgbm_ranker\"": {\""contribution\"": 0.43468610545406433, \""percentile\"": 0.8979591836734694, \""weight\"": 0.4840822538011171}, \""technical_composite\"": {\""contribution\"": 0.07599931112229248, \""percentile\"": 0.30612244897959184, \""weight\"": 0.24826441633282212}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2685665062520792}, \""lightgbm_ranker\"": {\""contribution\"": 0.1728878042085472, \""percentile\"": 0.30612244897959184, \""weight\"": 0.5647668270812543}, \""technical_composite\"": {\""contribution\"": 0.04081632653061225, \""percentile\"": 0.24489795918367346, \""weight\"": 0.16666666666666669}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2713512988000051}, \""lightgbm_ranker\"": {\""contribution\"": 0.03140404614445774, \""percentile\"": 0.061224489795918366, \""weight\"": 0.5129327536928098}, \""technical_composite\"": {\""contribution\"": 0.017609465102627356, \""percentile\"": 0.08163265306122448, \""weight\"": 0.21571594750718512}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2810282256507443}, \""lightgbm_ranker\"": {\""contribution\"": 0.09195213897402092, \""percentile\"": 0.22448979591836735, \""weight\"": 0.4096049827024568}, \""technical_composite\"": {\""contribution\"": 0.02525443197116725, \""percentile\"": 0.08163265306122448, \""weight\"": 0.30936679164679887}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.2810282256507443}, \""lightgbm_ranker\"": {\""contribution\"": 0.3761678412573583, \""percentile\"": 0.9183673469387755, \""weight\"": 0.4096049827024568}, \""technical_composite\"": {\""contribution\"": 0.0505088639423345, \""percentile\"": 0.16326530612244897, \""weight\"": 0.30936679164679887}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.28147005446109463}, \""lightgbm_ranker\"": {\""contribution\"": 0.06876271177861612, \""percentile\"": 0.1836734693877551, \""weight\"": 0.37437476412802106}, \""technical_composite\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.3441551814108843}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.28614068485745825}, \""lightgbm_ranker\"": {\""contribution\"": 0.047619047619047616, \""percentile\"": 0.2857142857142857, \""weight\"": 0.16666666666666666}, \""technical_composite\"": {\""contribution\"": 0.23451113506108934, \""percentile\"": 0.42857142857142855, \""weight\"": 0.5471926484758751}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.28614068485745825}, \""lightgbm_ranker\"": {\""contribution\"": 0.06802721088435373, \""percentile\"": 0.40816326530612246, \""weight\"": 0.16666666666666666}, \""technical_composite\"": {\""contribution\"": 0.24567833196876027, \""percentile\"": 0.4489795918367347, \""weight\"": 0.5471926484758751}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.3007888493065384}, \""lightgbm_ranker\"": {\""contribution\"": 0.29536756700448835, \""percentile\"": 0.6122448979591837, \""weight\"": 0.4824336927739976}, \""technical_composite\"": {\""contribution\"": 0.09290462482262742, \""percentile\"": 0.42857142857142855, \""weight\"": 0.21677745791946398}}"", ""{\""elastic_net\"": {\""contribution\"": 0.0, \""percentile\"": 0.0, \""weight\"": 0.3092068306931805}, \""lightgbm_ranker\"": {\""contribution\"": 0.12991890386083652, \""percentile\"": 0.32653061224489793, \""weight\"": 0.3978766430738119}, \""technical_composite\"": {\""contribution\"": 0.20324820187596443, \""percentile\"": 0.6938775510204082, \""weight\"": 0.29291652623300757}}""]}",stock_ranking,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\modeling_panel.parquet,data/processed/modeling_panel.parquet,.parquet,3874322,94539c552756,7550,108,as_of_date|ticker|sector|technical_latest_market_date|observations_available|tech__momentum_12_1_sector_neutral|tech__momentum_6_1_sector_neutral|tech__return_3m_sector_neutral|tech__return_1m_sector_neutral|tech__return_1w_sector_neutral|tech__reversal_1m_sector_neutral|tech__volatility_20d_sector_neutral|tech__volatility_60d_sector_neutral|tech__downside_volatility_60d_sector_neutral|tech__beta_60d_market_sector_neutral|tech__max_drawdown_126d_sector_neutral|tech__distance_sma_50d_sector_neutral|tech__distance_sma_200d_sector_neutral|tech__sma_50_200_spread_sector_neutral|tech__positive_day_ratio_60d_sector_neutral|tech__average_dollar_volume_20d_sector_neutral|tech__dollar_volume_change_20d_60d_sector_neutral|tech__amihud_illiquidity_20d_sector_neutral|tech__zero_volume_ratio_60d_sector_neutral|fund__earnings_yield_zscore|fund__sales_yield_zscore|fund__book_to_market_zscore|fund__fcf_yield_zscore|fund__roe_zscore|fund__roa_zscore|fund__gross_profitability_zscore|fund__gross_margin_zscore|fund__operating_margin_zscore|fund__net_margin_zscore|fund__cash_conversion_zscore|fund__debt_to_assets_zscore|fund__net_debt_to_assets_zscore|fund__current_ratio_zscore|fund__interest_coverage_zscore|fund__capex_to_assets_zscore|fund__accruals_zscore|fund__revenue_growth_yoy_zscore|fund__net_income_growth_yoy_zscore|fund__operating_cash_flow_growth_yoy_zscore|fund__asset_growth_yoy_zscore|fund__revenue_growth_acceleration_zscore|fund__net_income_growth_acceleration_zscore|fund__operating_cash_flow_growth_acceleration_zscore|fund__earnings_yield_sector_zscore|fund__sales_yield_sector_zscore|fund__book_to_market_sector_zscore|fund__fcf_yield_sector_zscore|fund__roe_sector_zscore|fund__roa_sector_zscore|fund__gross_profitability_sector_zscore|fund__gross_margin_sector_zscore|fund__operating_margin_sector_zscore|fund__net_margin_sector_zscore|fund__cash_conversion_sector_zscore|fund__debt_to_assets_sector_zscore|fund__net_debt_to_assets_sector_zscore|fund__current_ratio_sector_zscore|fund__interest_coverage_sector_zscore|fund__capex_to_assets_sector_zscore|fund__accruals_sector_zscore|fund__revenue_growth_yoy_sector_zscore|fund__net_income_growth_yoy_sector_zscore|fund__operating_cash_flow_growth_yoy_sector_zscore|fund__asset_growth_yoy_sector_zscore|fund__revenue_growth_acceleration_sector_zscore|fund__net_income_growth_acceleration_sector_zscore|fund__operating_cash_flow_growth_acceleration_sector_zscore|fund__earnings_yield_missing|fund__sales_yield_missing|fund__book_to_market_missing|fund__fcf_yield_missing|fund__roe_missing|fund__roa_missing|fund__gross_profitability_missing|fund__gross_margin_missing|fund__operating_margin_missing|fund__net_margin_missing|fund__cash_conversion_missing|fund__debt_to_assets_missing|fund__net_debt_to_assets_missing|fund__current_ratio_missing|fund__interest_coverage_missing|fund__capex_to_assets_missing|fund__accruals_missing|fund__revenue_growth_yoy_missing|fund__net_income_growth_yoy_missing|fund__operating_cash_flow_growth_yoy_missing|fund__asset_growth_yoy_missing|fund__revenue_growth_acceleration_missing|fund__net_income_growth_acceleration_missing|fund__operating_cash_flow_growth_acceleration_missing|first_future_date|target_end_date|horizon_sessions|target_21d|target_21d_excess|label_top_quintile|technical_missing_count|fundamental_global_missing_count|fundamental_sector_missing_count|model_feature_missing_count|has_target|sample_role,as_of_date|technical_latest_market_date|first_future_date|target_end_date,2014-01-31T00:00:00,2026-07-27T00:00:00,"{""model_feature_missing_count"": [""0"", ""1"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""16"", ""17"", ""18"", ""19"", ""2"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""28"", ""29"", ""30"", ""31"", ""32"", ""33"", ""34"", ""35"", ""36""]}",stock_ranking,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\positions_all_methods_net.parquet,data/processed/positions_all_methods_net.parquet,.parquet,6065216,5f85f6800916,186898,12,date|strategy_name|active_signal_date|last_rebalance_date|ticker|sector|shares|valuation_price|market_value|actual_weight|target_weight|weight_drift,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""strategy_name"": [""alpha_risk_turnover"", ""cvar"", ""median_mad_de"", ""score_weighted"", ""top_n_equal_weight""]}",portfolio,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\predictions_oos_model_comparison.parquet,data/processed/predictions_oos_model_comparison.parquet,.parquet,236672,af845fa0c14c,23100,13,fold_id|as_of_date|ticker|sector|model_name|prediction|target_21d_excess|label_top_quintile|latest_fit_target_end_date|selected_alpha|selected_l1_ratio|selected_candidate|selected_estimators,as_of_date|latest_fit_target_end_date,2020-01-31T00:00:00,2026-05-29T00:00:00,"{""model_name"": [""constant"", ""elastic_net"", ""lightgbm_regressor"", ""momentum_3m"", ""ridge"", ""technical_equal_weight_composite""]}",model_research,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\risk_estimates.parquet,data/processed/risk_estimates.parquet,.parquet,290462,76f31850c749,3850,18,as_of_date|ticker|sector|annualized_volatility|annualized_downside_volatility|beta_vs_spy|correlation_vs_spy|average_dollar_volume|median_dollar_volume|latest_close|latest_volume|return_observations|beta_observations|liquidity_observations|risk_window_start_date|risk_window_end_date|latest_market_date|latest_spy_date,as_of_date|risk_window_start_date|risk_window_end_date|latest_market_date|latest_spy_date,2019-02-01T00:00:00,2026-05-29T00:00:00,{},stock_ranking|risk,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\robustness\feature_family_ablation\feature_family_economic_combined_daily.parquet,data/processed/robustness/feature_family_ablation/feature_family_economic_combined_daily.parquet,.parquet,276425,8a462da91f10,6440,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000424.8726010929"", ""1001806.8691714817"", ""1001880.3463557774"", ""1002088.1522516443"", ""1002993.5774423514"", ""1003983.566370618"", ""1004521.1191738913"", ""1004711.4947089804"", ""1004911.1249744821"", ""1005117.2750464776"", ""1005978.0190626371"", ""1006299.1233559332"", ""1006497.5844946946"", ""1007551.643535051"", ""1008583.8458103494"", ""1009195.8103893044"", ""1009274.3903538949"", ""1009395.8204413117"", ""1009428.4023664037"", ""1009838.9404544876"", ""1010579.8661980013"", ""1010783.6765260585"", ""1011038.5225226022"", ""1011269.8696357432"", ""1011617.6256098213"", ""1011706.7296319037"", ""1011870.7124514126"", ""1012830.827062634"", ""1013140.0486605074"", ""1014058.0903272748""], ""strategy_name"": [""full_ensemble"", ""no_fundamentals"", ""no_momentum"", ""spy_buy_and_hold""]}",robustness,
C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\data\processed\robustness\feature_family_ablation\feature_family_economic_daily_performance.parquet,data/processed/robustness/feature_family_ablation/feature_family_economic_daily_performance.parquet,.parquet,237834,50172f735e44,4830,19,date|strategy_name|active_signal_date|last_rebalance_date|is_rebalance|portfolio_value|daily_return|cash|cash_weight|invested_value|gross_exposure|holdings|transaction_cost|cumulative_transaction_cost|buy_notional|sell_notional|traded_notional|two_way_turnover|one_way_turnover,date|active_signal_date|last_rebalance_date,2020-01-31T00:00:00,2026-06-30T00:00:00,"{""portfolio_value"": [""1000424.8726010929"", ""1003983.566370618"", ""1004521.1191738913"", ""1005978.0190626371"", ""1006299.1233559332"", ""1006497.5844946946"", ""1007551.643535051"", ""1009195.8103893044"", ""1009274.3903538949"", ""1009428.4023664037"", ""1009838.9404544876"", ""1010579.8661980013"", ""1010783.6765260585"", ""1011038.5225226022"", ""1011269.8696357432"", ""1011870.7124514126"", ""1013140.0486605074"", ""1014058.0903272748"", ""1015669.017861247"", ""1018181.9794468546"", ""1018374.8493270655"", ""1018708.2004145236"", ""1019046.2689525817"", ""1021453.402528047"", ""1021824.7842464925"", ""1022142.4937388261"", ""1022219.7709846952"", ""1023584.5424152676"", ""1024054.3086199372"", ""1025073.8200534242""], ""strategy_name"": [""full_ensemble"", ""no_fundamentals"", ""no_momentum""]}",robustness,
