area,relative_path,column,dtype,non_null,null_pct,n_unique,sample_values
overview,data/processed/backtest_all_methods_net_daily.parquet,date,datetime64[ms],8050,0.0,1610,"[""2020-02-03"", ""2020-02-04"", ""2020-02-05"", ""2020-02-06"", ""2020-02-07""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,strategy_name,str,8050,0.0,5,"[""alpha_risk_turnover"", ""cvar"", ""median_mad_de"", ""score_weighted"", ""top_n_equal_weight""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,active_signal_date,datetime64[ms],8050,0.0,77,"[""2020-01-31"", ""2020-02-28"", ""2020-03-31"", ""2020-04-30"", ""2020-05-29""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,last_rebalance_date,datetime64[ms],8050,0.0,77,"[""2020-02-03"", ""2020-03-02"", ""2020-04-01"", ""2020-05-01"", ""2020-06-01""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,is_rebalance,bool,8050,0.0,2,"[""True"", ""False""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,portfolio_value,float64,8050,0.0,8050,"[""1010229.4865849346"", ""1003181.3413748221"", ""1013273.1099677082"", ""1010579.8661980013"", ""1009533.7988776442""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,daily_return,float64,8050,0.0,8050,"[""0.01022948658493461"", ""0.0031813413748220665"", ""0.013273109967708141"", ""0.01057986619800122"", ""0.009533798877644273""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,cash,float64,8050,0.0,385,"[""-4.136268216825556e-09"", ""2.2969288693275303e-09"", ""-4.5458818931365386e-09"", ""-4.0236045606434345e-09"", ""-8.218705715989927e-09""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,cash_weight,float64,8050,0.0,8050,"[""-4.0943847628207205e-15"", ""2.2896447278212693e-15"", ""-4.4863342848221936e-15"", ""-3.981481024138172e-15"", ""-8.141090199384237e-15""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,invested_value,float64,8050,0.0,8050,"[""1010229.4865849388"", ""1003181.3413748197"", ""1013273.1099677128"", ""1010579.8661980054"", ""1009533.7988776525""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,gross_exposure,float64,8050,0.0,1714,"[""1.0000000000000042"", ""0.9999999999999977"", ""1.0000000000000044"", ""1.000000000000004"", ""1.0000000000000082""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,holdings,int64,8050,0.0,5,"[""21"", ""22"", ""25"", ""23"", ""24""]"
overview,data/processed/backtest_all_methods_net_daily.parquet,transaction_cost,float64,8050,0.0,386,"[""511.6787914729829"", ""511.4379303115734"", ""510.22608136444455"", ""511.14463963529124"", ""510.52495158750077""]"
