as_of_date,sector,companies,mean_percentile_score,top_group_companies,top_group_share
2020-01-31,Communication Services,4,0.6989795918367347,1,0.1
2020-01-31,Consumer Discretionary,6,0.6598639455782312,2,0.2
2020-01-31,Consumer Staples,5,0.3755102040816326,0,0.0
2020-01-31,Energy,3,0.46258503401360546,1,0.1
2020-01-31,Financials,7,0.4169096209912536,1,0.1
2020-01-31,Health Care,7,0.3527696793002915,2,0.2
2020-01-31,Industrials,5,0.4204081632653061,1,0.1
2020-01-31,Information Technology,8,0.6454081632653061,2,0.2
2020-01-31,Materials,2,0.5408163265306122,0,0.0
2020-01-31,Real Estate,1,0.7346938775510204,0,0.0
2020-01-31,Utilities,2,0.25510204081632654,0,0.0
2020-02-28,Communication Services,4,0.6173469387755102,0,0.0
2020-02-28,Consumer Discretionary,6,0.5578231292517006,2,0.2
2020-02-28,Consumer Staples,5,0.326530612244898,0,0.0
2020-02-28,Energy,3,0.5034013605442177,1,0.1
2020-02-28,Financials,7,0.46355685131195334,1,0.1
2020-02-28,Health Care,7,0.45481049562682213,1,0.1
2020-02-28,Industrials,5,0.29795918367346935,0,0.0
2020-02-28,Information Technology,8,0.701530612244898,4,0.4
2020-02-28,Materials,2,0.4897959183673469,0,0.0
2020-02-28,Real Estate,1,0.8979591836734694,1,0.1
2020-02-28,Utilities,2,0.31632653061224486,0,0.0
2020-03-31,Communication Services,4,0.5510204081632653,1,0.1
2020-03-31,Consumer Discretionary,6,0.49659863945578236,2,0.2
2020-03-31,Consumer Staples,5,0.4897959183673469,0,0.0
2020-03-31,Energy,3,0.5034013605442177,0,0.0
2020-03-31,Financials,7,0.466472303206997,1,0.1
2020-03-31,Health Care,7,0.45481049562682213,1,0.1
2020-03-31,Industrials,5,0.3714285714285714,0,0.0
2020-03-31,Information Technology,8,0.5994897959183674,3,0.3
2020-03-31,Materials,2,0.40816326530612246,0,0.0
2020-03-31,Real Estate,1,0.9183673469387755,1,0.1
2020-03-31,Utilities,2,0.5102040816326531,1,0.1
2020-04-30,Communication Services,4,0.4897959183673469,1,0.1
2020-04-30,Consumer Discretionary,6,0.7721088435374149,2,0.2
2020-04-30,Consumer Staples,5,0.37142857142857144,0,0.0
2020-04-30,Energy,3,0.31292517006802717,0,0.0
2020-04-30,Financials,7,0.42274052478134105,1,0.1
2020-04-30,Health Care,7,0.5247813411078717,1,0.1
2020-04-30,Industrials,5,0.3183673469387755,0,0.0
2020-04-30,Information Technology,8,0.5867346938775511,4,0.4
2020-04-30,Materials,2,0.4387755102040816,0,0.0
2020-04-30,Real Estate,1,1.0,1,0.1
2020-04-30,Utilities,2,0.40816326530612246,0,0.0
2020-05-29,Communication Services,4,0.5561224489795918,0,0.0
2020-05-29,Consumer Discretionary,6,0.5612244897959184,2,0.2
2020-05-29,Consumer Staples,5,0.4653061224489797,0,0.0
2020-05-29,Energy,3,0.24489795918367344,0,0.0
2020-05-29,Financials,7,0.43148688046647227,1,0.1
2020-05-29,Health Care,7,0.5364431486880467,2,0.2
2020-05-29,Industrials,5,0.2612244897959184,0,0.0
2020-05-29,Information Technology,8,0.6989795918367347,3,0.3
2020-05-29,Materials,2,0.30612244897959184,0,0.0
2020-05-29,Real Estate,1,1.0,1,0.1
2020-05-29,Utilities,2,0.5306122448979592,1,0.1
2020-06-30,Communication Services,4,0.6020408163265306,0,0.0
2020-06-30,Consumer Discretionary,6,0.6802721088435374,2,0.2
2020-06-30,Consumer Staples,5,0.3795918367346939,0,0.0
2020-06-30,Energy,3,0.45578231292517013,1,0.1
2020-06-30,Financials,7,0.4227405247813411,1,0.1
2020-06-30,Health Care,7,0.4431486880466472,1,0.1
2020-06-30,Industrials,5,0.33877551020408164,1,0.1
2020-06-30,Information Technology,8,0.7091836734693877,3,0.3
2020-06-30,Materials,2,0.22448979591836735,0,0.0
2020-06-30,Real Estate,1,1.0,1,0.1
2020-06-30,Utilities,2,0.18367346938775508,0,0.0
2020-07-31,Communication Services,4,0.6020408163265306,1,0.1
2020-07-31,Consumer Discretionary,6,0.5374149659863946,1,0.1
2020-07-31,Consumer Staples,5,0.45306122448979586,0,0.0
2020-07-31,Energy,3,0.4489795918367347,1,0.1
