first_signal,second_signal,months,mean_correlation,median_correlation,mean_absolute_correlation,maximum_absolute_correlation
return_1m_sector_neutral,reversal_1m_sector_neutral,71,-0.9999999999999998,-0.9999999999999999,0.9999999999999998,0.9999999999999999
momentum_6_1_sector_neutral,sma_50_200_spread_sector_neutral,63,0.9033365727243278,0.912797118847539,0.9033365727243278,0.969267707082833
distance_sma_200d_sector_neutral,sma_50_200_spread_sector_neutral,63,0.8527029859562872,0.8659303721488596,0.8527029859562872,0.9549579831932773
reversal_1m_sector_neutral,distance_sma_50d_sector_neutral,70,-0.8467679643285886,-0.8541656662665065,0.8467679643285886,0.9566866746698679
return_1m_sector_neutral,distance_sma_50d_sector_neutral,70,0.8467679643285886,0.8541656662665065,0.8467679643285886,0.9566866746698679
volatility_60d_sector_neutral,downside_volatility_60d_sector_neutral,70,0.8266712399245412,0.8411524609843937,0.8266712399245412,0.9485234093637455
return_3m_sector_neutral,distance_sma_200d_sector_neutral,63,0.780331180091084,0.7954381752701081,0.780331180091084,0.9235534213685473
momentum_6_1_sector_neutral,distance_sma_200d_sector_neutral,63,0.7536492692315021,0.7647058823529412,0.7536492692315021,0.9343097238895558
volatility_20d_sector_neutral,volatility_60d_sector_neutral,70,0.751012176299091,0.7554861944777911,0.751012176299091,0.9306602641056423
return_3m_sector_neutral,distance_sma_50d_sector_neutral,69,0.7344941454842806,0.7544297719087634,0.7344941454842806,0.9183673469387755
momentum_12_1_sector_neutral,sma_50_200_spread_sector_neutral,60,0.7313213285314126,0.7393517406962785,0.7313213285314126,0.9086674669867947
volatility_20d_sector_neutral,downside_volatility_60d_sector_neutral,70,0.6749332876007544,0.6843217286914766,0.6749332876007544,0.8825450180072029
volatility_60d_sector_neutral,beta_60d_market_sector_neutral,70,0.6620737437832277,0.6890276110444177,0.6620737437832277,0.8809123649459784
average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,72,-0.6539095638255302,-0.6617527010804322,0.6539095638255302,0.7708523409363746
distance_sma_50d_sector_neutral,distance_sma_200d_sector_neutral,63,0.6508820671125594,0.6811524609843937,0.6508820671125594,0.8565186074429773
downside_volatility_60d_sector_neutral,max_drawdown_126d_sector_neutral,66,-0.6431561715595328,-0.6545978391356543,0.6431561715595328,0.8853301320528212
momentum_12_1_sector_neutral,momentum_6_1_sector_neutral,60,0.6412212885154063,0.6429771908763505,0.6412212885154063,0.8698679471788715
volatility_60d_sector_neutral,max_drawdown_126d_sector_neutral,66,-0.5975233729855578,-0.6057623049219687,0.5975233729855578,0.8472989195678271
downside_volatility_60d_sector_neutral,beta_60d_market_sector_neutral,70,0.593083862116275,0.6138775510204082,0.593083862116275,0.9397839135654261
momentum_12_1_sector_neutral,distance_sma_200d_sector_neutral,60,0.5911900760304121,0.5923169267707082,0.5911900760304121,0.8455702280912365
return_3m_sector_neutral,sma_50_200_spread_sector_neutral,63,0.5451620648259302,0.5666746698679471,0.5451620648259302,0.8133013205282112
volatility_20d_sector_neutral,beta_60d_market_sector_neutral,70,0.5420874635568513,0.5541896758703481,0.5420874635568513,0.811188475390156
return_3m_sector_neutral,reversal_1m_sector_neutral,69,-0.5417492214277015,-0.5696518607442976,0.5417492214277015,0.8414405762304922
return_3m_sector_neutral,return_1m_sector_neutral,69,0.5417492214277015,0.5696518607442976,0.5417492214277015,0.8414405762304922
max_drawdown_126d_sector_neutral,sma_50_200_spread_sector_neutral,63,0.4948043979496561,0.5032893157262905,0.5006276796432859,0.882641056422569
return_3m_sector_neutral,positive_day_ratio_60d_sector_neutral,69,0.49145034998114034,0.5056554955884848,0.49145034998114034,0.7347438955680253
reversal_1m_sector_neutral,distance_sma_200d_sector_neutral,63,-0.4854048285981059,-0.5014645858343336,0.4854048285981059,0.7611524609843938
return_1m_sector_neutral,distance_sma_200d_sector_neutral,63,0.4854048285981059,0.5014645858343336,0.4854048285981059,0.7611524609843938
volatility_20d_sector_neutral,max_drawdown_126d_sector_neutral,66,-0.4745709192768016,-0.4816326530612245,0.4745709192768016,0.7835294117647059
momentum_6_1_sector_neutral,return_3m_sector_neutral,66,0.466099166939503,0.4718847539015606,0.466099166939503,0.7720048019207683
max_drawdown_126d_sector_neutral,distance_sma_200d_sector_neutral,63,0.4557960326987938,0.4799519807923169,0.4642489376703062,0.7988955582232894
momentum_6_1_sector_neutral,max_drawdown_126d_sector_neutral,66,0.4631860016733967,0.4937334933973589,0.4631860016733967,0.832893157262905
distance_sma_200d_sector_neutral,positive_day_ratio_60d_sector_neutral,63,0.4398698147867555,0.4306266271329121,0.4398698147867555,0.7176790224197256
return_1w_sector_neutral,distance_sma_50d_sector_neutral,70,0.4323237866575201,0.44019207683073225,0.43402641056422564,0.8199279711884754
return_1m_sector_neutral,return_1w_sector_neutral,71,0.42739732512723394,0.4584393757503001,0.4304867862638012,0.7682593037214885
return_1w_sector_neutral,reversal_1m_sector_neutral,71,-0.42739732512723394,-0.4584393757503001,0.4304867862638012,0.7682593037214885
distance_sma_50d_sector_neutral,positive_day_ratio_60d_sector_neutral,70,0.38484498805390027,0.3915498554072616,0.38484498805390027,0.7234564002775445
momentum_12_1_sector_neutral,max_drawdown_126d_sector_neutral,60,0.34770548219287717,0.3942376950780312,0.37043777511004394,0.7085234093637454
sma_50_200_spread_sector_neutral,positive_day_ratio_60d_sector_neutral,63,0.3493158168635488,0.35653555017861893,0.35287589308606976,0.6658821989778451
beta_60d_market_sector_neutral,max_drawdown_126d_sector_neutral,66,-0.3402684710247736,-0.3541896758703481,0.3486892938993779,0.6784633853541416
return_3m_sector_neutral,max_drawdown_126d_sector_neutral,66,0.2714802284550183,0.2799039615846338,0.34528284040889085,0.7628811524609843
