as_of_date,first_signal,second_signal,observations,spearman_correlation
2014-01-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,0,
2014-02-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,0,
2014-03-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-04-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-05-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-06-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-07-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-08-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-09-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-10-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-11-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-12-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-01-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-02-27,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-03-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-04-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-05-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-06-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-07-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-08-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-09-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-10-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-11-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2015-12-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-01-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-02-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-03-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-04-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-05-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-06-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-07-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-08-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-09-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-10-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-11-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2016-12-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-01-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-02-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-03-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-04-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-05-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-06-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-07-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-08-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-09-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-10-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-11-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2017-12-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-01-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-02-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-03-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-04-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-05-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-06-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-07-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-08-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-09-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-10-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-11-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2018-12-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-01-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-02-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-03-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-04-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-05-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-06-28,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-07-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-08-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-09-30,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-10-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-11-29,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2019-12-31,amihud_illiquidity_20d_sector_neutral,zero_volume_ratio_60d_sector_neutral,50,
2014-01-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.4615126050420168
2014-02-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5727250900360145
2014-03-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6482112845138055
2014-04-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5625450180072029
2014-05-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5621608643457382
2014-06-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5196158463385354
2014-07-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5782953181272509
2014-08-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6469627851140455
2014-09-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5929891956782712
2014-10-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5168307322929172
2014-11-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5706122448979591
2014-12-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6654981992797119
2015-01-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6106602641056423
2015-02-27,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5979831932773109
2015-03-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.712845138055222
2015-04-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6145978391356542
2015-05-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6549339735894358
2015-06-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6798079231692677
2015-07-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5805042016806723
2015-08-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6064345738295318
2015-09-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6475390156062424
2015-10-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5533253301320528
2015-11-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5883793517406962
2015-12-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6750060024009603
2016-01-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6285234093637455
2016-02-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6872989195678271
2016-03-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.5800240096038415
2016-04-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6499399759903962
2016-05-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.639951980792317
2016-06-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6501320528211284
2016-07-29,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6396638655462185
2016-08-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6873949579831932
2016-09-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6876830732292918
2016-10-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6580072028811523
2016-11-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6431212484993997
2016-12-30,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.7000720288115246
2017-01-31,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6704921968787515
2017-02-28,average_dollar_volume_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,50,-0.6416806722689076
