as_of_date,sector,signal,observations,ic
2014-01-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,1.0
2014-02-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2014-03-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.0
2014-04-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2014-05-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.39999999999999997
2014-06-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2014-07-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.6000000000000001
2014-08-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2014-09-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2014-10-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2014-11-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.0
2014-12-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2015-01-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2015-02-27,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2015-03-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,1.0
2015-04-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2015-05-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2015-06-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.19999999999999998
2015-07-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2015-08-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2015-09-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2015-10-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2015-11-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2015-12-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-1.0
2016-01-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.6000000000000001
2016-02-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2016-03-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2016-04-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.19999999999999998
2016-05-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.39999999999999997
2016-06-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2016-07-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2016-08-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2016-09-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2016-10-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2016-11-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2016-12-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.19999999999999998
2017-01-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-1.0
2017-02-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.19999999999999998
2017-03-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2017-04-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.0
2017-05-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2017-06-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2017-07-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-1.0
2017-08-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2017-09-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2017-10-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2017-11-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2017-12-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.19999999999999998
2018-01-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.6000000000000001
2018-02-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2018-03-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.39999999999999997
2018-04-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2018-05-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2018-06-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2018-07-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.39999999999999997
2018-08-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,1.0
2018-09-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2018-10-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2018-11-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2018-12-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2019-01-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2019-02-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2019-03-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2019-04-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.7999999999999999
2019-05-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.19999999999999998
2019-06-28,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.0
2019-07-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.0
2019-08-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.6000000000000001
2019-09-30,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.7999999999999999
2019-10-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,1.0
2019-11-29,Communication Services,amihud_illiquidity_20d_sector_neutral,4,0.39999999999999997
2019-12-31,Communication Services,amihud_illiquidity_20d_sector_neutral,4,-0.39999999999999997
2014-01-31,Consumer Discretionary,amihud_illiquidity_20d_sector_neutral,6,0.6571428571428573
