period,period_start,period_end,signal,months,mean_ic,median_ic,std_ic,preferred_direction,directional_mean_ic,directional_month_ratio
2014-2016,2014-01-31,2016-12-31,amihud_illiquidity_20d_sector_neutral,36,0.06367346938775507,0.04460984393757495,0.18567492454994644,higher_is_better,0.06367346938775507,0.6944444444444444
2014-2016,2014-01-31,2016-12-31,average_dollar_volume_20d_sector_neutral,36,-0.030212084833933554,-0.0245378151260504,0.17847110027588015,lower_is_better,0.030212084833933554,0.5555555555555556
2014-2016,2014-01-31,2016-12-31,beta_60d_market_sector_neutral,34,0.02884824518042511,0.04148859543817525,0.16649022926329568,higher_is_better,0.02884824518042511,0.6176470588235294
2014-2016,2014-01-31,2016-12-31,distance_sma_200d_sector_neutral,27,0.034486683562313804,0.04921968787515,0.1881084664717522,higher_is_better,0.034486683562313804,0.6296296296296297
2014-2016,2014-01-31,2016-12-31,distance_sma_50d_sector_neutral,34,-0.02877762869853823,-0.0135414165666266,0.1444463706074296,lower_is_better,0.02877762869853823,0.5294117647058824
2014-2016,2014-01-31,2016-12-31,dollar_volume_change_20d_60d_sector_neutral,34,-0.017868794576654173,-0.0207442977190876,0.14108471664343705,lower_is_better,0.017868794576654173,0.5882352941176471
2014-2016,2014-01-31,2016-12-31,downside_volatility_60d_sector_neutral,34,0.010928606736812365,0.0444177671068427,0.1767033128385024,higher_is_better,0.010928606736812365,0.5882352941176471
2014-2016,2014-01-31,2016-12-31,max_drawdown_126d_sector_neutral,30,0.00461624649859945,0.017527010804321747,0.21642714382741543,lower_is_better,-0.00461624649859945,0.5
2014-2016,2014-01-31,2016-12-31,momentum_12_1_sector_neutral,24,0.029247699079631855,-0.007635054021608601,0.17949345242415213,lower_is_better,-0.029247699079631855,0.5416666666666666
2014-2016,2014-01-31,2016-12-31,momentum_6_1_sector_neutral,30,0.04854741896758703,0.014645858343337299,0.19232012244320423,higher_is_better,0.04854741896758703,0.5
2014-2016,2014-01-31,2016-12-31,positive_day_ratio_60d_sector_neutral,34,-0.025329663045356103,-0.00612500136954245,0.16102822907513295,lower_is_better,0.025329663045356103,0.5
2014-2016,2014-01-31,2016-12-31,return_1m_sector_neutral,35,-0.04237077688218143,-0.0321248499399759,0.14240485838713704,lower_is_better,0.04237077688218143,0.6571428571428571
2014-2016,2014-01-31,2016-12-31,return_1w_sector_neutral,36,-0.02816326530612244,-0.022232893157262852,0.13347702219959603,lower_is_better,0.02816326530612244,0.5555555555555556
2014-2016,2014-01-31,2016-12-31,return_3m_sector_neutral,33,0.031766888573611235,0.0434573829531812,0.15504965177077684,higher_is_better,0.031766888573611235,0.6060606060606061
2014-2016,2014-01-31,2016-12-31,reversal_1m_sector_neutral,35,0.04237077688218143,0.0321248499399759,0.14240485838713704,higher_is_better,0.04237077688218143,0.6571428571428571
2014-2016,2014-01-31,2016-12-31,sma_50_200_spread_sector_neutral,27,0.04319416655551109,0.0145498199279711,0.19005376666916193,higher_is_better,0.04319416655551109,0.5185185185185185
2014-2016,2014-01-31,2016-12-31,volatility_20d_sector_neutral,36,0.00887288248632786,0.030684273709483748,0.15604891953166022,higher_is_better,0.00887288248632786,0.5555555555555556
2014-2016,2014-01-31,2016-12-31,volatility_60d_sector_neutral,34,0.03491278864486972,0.0837454981992797,0.18112874840114204,higher_is_better,0.03491278864486972,0.6176470588235294
2017-2019,2017-01-01,2019-12-31,amihud_illiquidity_20d_sector_neutral,36,-0.0007496331866079747,-0.02338535414165665,0.14044512449950122,higher_is_better,-0.0007496331866079747,0.4444444444444444
2017-2019,2017-01-01,2019-12-31,average_dollar_volume_20d_sector_neutral,36,0.009179671868747496,-0.00273709483793515,0.13996829958106877,lower_is_better,-0.009179671868747496,0.5
2017-2019,2017-01-01,2019-12-31,beta_60d_market_sector_neutral,36,0.01369614512471655,-0.006866746698679451,0.1763843067673452,higher_is_better,0.01369614512471655,0.4722222222222222
2017-2019,2017-01-01,2019-12-31,distance_sma_200d_sector_neutral,36,0.0035854341736694683,0.0267947178871548,0.2084251657924746,higher_is_better,0.0035854341736694683,0.5277777777777778
2017-2019,2017-01-01,2019-12-31,distance_sma_50d_sector_neutral,36,-0.014403094571161793,-0.022521008403361298,0.16337728642100077,lower_is_better,0.014403094571161793,0.5555555555555556
2017-2019,2017-01-01,2019-12-31,dollar_volume_change_20d_60d_sector_neutral,36,0.013165266106442579,0.0077791116446578,0.1263489538776707,lower_is_better,-0.013165266106442579,0.4722222222222222
2017-2019,2017-01-01,2019-12-31,downside_volatility_60d_sector_neutral,36,0.00803788181939443,-0.049123649459783855,0.17357925733100943,higher_is_better,0.00803788181939443,0.4444444444444444
2017-2019,2017-01-01,2019-12-31,max_drawdown_126d_sector_neutral,36,-0.03450713618780846,-0.0322208883553421,0.17274516916231805,lower_is_better,0.03450713618780846,0.5833333333333334
2017-2019,2017-01-01,2019-12-31,momentum_12_1_sector_neutral,36,-0.021736694677871128,-0.02405762304921965,0.21443651098301433,lower_is_better,0.021736694677871128,0.5555555555555556
2017-2019,2017-01-01,2019-12-31,momentum_6_1_sector_neutral,36,-0.019637188208616773,-0.03394957983193275,0.21637706233995496,higher_is_better,-0.019637188208616773,0.4166666666666667
2017-2019,2017-01-01,2019-12-31,positive_day_ratio_60d_sector_neutral,36,0.023807040478653757,0.0114059652107893,0.18698442657365114,lower_is_better,-0.023807040478653757,0.4444444444444444
2017-2019,2017-01-01,2019-12-31,return_1m_sector_neutral,36,-0.018580765639589155,0.007250900360144,0.16979009743029339,lower_is_better,0.018580765639589155,0.4722222222222222
2017-2019,2017-01-01,2019-12-31,return_1w_sector_neutral,36,0.00768840869681206,-0.02156062424969985,0.1460160498852514,lower_is_better,-0.00768840869681206,0.5555555555555556
2017-2019,2017-01-01,2019-12-31,return_3m_sector_neutral,36,0.006519941309857276,0.043217286914765854,0.16470746436368464,higher_is_better,0.006519941309857276,0.6111111111111112
2017-2019,2017-01-01,2019-12-31,reversal_1m_sector_neutral,36,0.018580765639589155,-0.007250900360144,0.16979009743029339,higher_is_better,0.018580765639589155,0.4722222222222222
2017-2019,2017-01-01,2019-12-31,sma_50_200_spread_sector_neutral,36,-0.007744431105775628,-0.0163745498199279,0.22976533324529866,higher_is_better,-0.007744431105775628,0.4444444444444444
2017-2019,2017-01-01,2019-12-31,volatility_20d_sector_neutral,36,0.01707349606509271,-0.01152460984393755,0.17053399873858338,higher_is_better,0.01707349606509271,0.4722222222222222
2017-2019,2017-01-01,2019-12-31,volatility_60d_sector_neutral,36,0.009958650126717357,-0.05325330132052815,0.17847531796607352,higher_is_better,0.009958650126717357,0.4444444444444444
