signal,as_of_date,observations,ic
amihud_illiquidity_20d_sector_neutral,2014-01-31,50,0.47793517406962777
amihud_illiquidity_20d_sector_neutral,2014-02-28,50,-0.25963985594237693
amihud_illiquidity_20d_sector_neutral,2014-03-31,50,-0.22026410564225687
amihud_illiquidity_20d_sector_neutral,2014-04-30,50,0.22900360144057622
amihud_illiquidity_20d_sector_neutral,2014-05-30,50,-0.039135654261704685
amihud_illiquidity_20d_sector_neutral,2014-06-30,50,0.006770708283313325
amihud_illiquidity_20d_sector_neutral,2014-07-31,50,0.006770708283313325
amihud_illiquidity_20d_sector_neutral,2014-08-29,50,-0.03212484993997599
amihud_illiquidity_20d_sector_neutral,2014-09-30,50,0.26463385354141655
amihud_illiquidity_20d_sector_neutral,2014-10-31,50,0.047202881152460976
amihud_illiquidity_20d_sector_neutral,2014-11-28,50,0.17915966386554621
amihud_illiquidity_20d_sector_neutral,2014-12-31,50,0.30804321728691475
amihud_illiquidity_20d_sector_neutral,2015-01-30,50,0.04201680672268907
amihud_illiquidity_20d_sector_neutral,2015-02-27,50,0.4101320528211284
amihud_illiquidity_20d_sector_neutral,2015-03-31,50,-0.35145258103241295
amihud_illiquidity_20d_sector_neutral,2015-04-30,50,0.13315726290516205
amihud_illiquidity_20d_sector_neutral,2015-05-29,50,0.0050420168067226885
amihud_illiquidity_20d_sector_neutral,2015-06-30,50,0.12557022809123647
amihud_illiquidity_20d_sector_neutral,2015-07-31,50,0.481296518607443
amihud_illiquidity_20d_sector_neutral,2015-08-31,50,0.1824249699879952
amihud_illiquidity_20d_sector_neutral,2015-09-30,50,-0.10588235294117646
amihud_illiquidity_20d_sector_neutral,2015-10-30,50,0.11500600240096039
amihud_illiquidity_20d_sector_neutral,2015-11-30,50,0.0003361344537815126
amihud_illiquidity_20d_sector_neutral,2015-12-31,50,-0.18271308523409363
amihud_illiquidity_20d_sector_neutral,2016-01-29,50,0.02175270108043217
amihud_illiquidity_20d_sector_neutral,2016-02-29,50,0.14429771908763506
amihud_illiquidity_20d_sector_neutral,2016-03-31,50,0.09493397358943578
amihud_illiquidity_20d_sector_neutral,2016-04-29,50,-0.015222088835534215
amihud_illiquidity_20d_sector_neutral,2016-05-31,50,0.142953181272509
amihud_illiquidity_20d_sector_neutral,2016-06-30,50,0.1438175270108043
amihud_illiquidity_20d_sector_neutral,2016-07-29,50,-0.013877551020408161
amihud_illiquidity_20d_sector_neutral,2016-08-31,50,0.06545018007202881
amihud_illiquidity_20d_sector_neutral,2016-09-30,50,-0.1599519807923169
amihud_illiquidity_20d_sector_neutral,2016-10-31,50,0.04768307322929172
amihud_illiquidity_20d_sector_neutral,2016-11-30,50,0.006578631452581032
amihud_illiquidity_20d_sector_neutral,2016-12-30,50,-0.009459783913565426
amihud_illiquidity_20d_sector_neutral,2017-01-31,50,-0.11529411764705881
amihud_illiquidity_20d_sector_neutral,2017-02-28,50,-0.041344537815126044
amihud_illiquidity_20d_sector_neutral,2017-03-31,50,-0.08638655462184873
amihud_illiquidity_20d_sector_neutral,2017-04-28,50,-0.0575750300120048
amihud_illiquidity_20d_sector_neutral,2017-05-31,50,-0.08158463385354141
amihud_illiquidity_20d_sector_neutral,2017-06-30,50,0.02357743097238895
amihud_illiquidity_20d_sector_neutral,2017-07-31,50,-0.12038415366146459
amihud_illiquidity_20d_sector_neutral,2017-08-31,50,0.2573349339735894
amihud_illiquidity_20d_sector_neutral,2017-09-29,50,-0.2227611044417767
amihud_illiquidity_20d_sector_neutral,2017-10-31,50,0.18981992797118846
amihud_illiquidity_20d_sector_neutral,2017-11-30,50,0.10953181272509004
amihud_illiquidity_20d_sector_neutral,2017-12-29,50,0.04124849939975991
amihud_illiquidity_20d_sector_neutral,2018-01-31,50,0.013781512605042016
amihud_illiquidity_20d_sector_neutral,2018-02-28,50,0.2696278511404562
amihud_illiquidity_20d_sector_neutral,2018-03-29,50,-0.07563025210084032
amihud_illiquidity_20d_sector_neutral,2018-04-30,50,0.08369747899159663
amihud_illiquidity_20d_sector_neutral,2018-05-31,50,-0.030300120048019206
amihud_illiquidity_20d_sector_neutral,2018-06-29,50,0.033373349339735896
amihud_illiquidity_20d_sector_neutral,2018-07-31,50,-0.05795918367346939
amihud_illiquidity_20d_sector_neutral,2018-08-31,50,0.10482593037214885
amihud_illiquidity_20d_sector_neutral,2018-09-28,50,-0.03519807923169268
amihud_illiquidity_20d_sector_neutral,2018-10-31,50,-0.06660264105642257
amihud_illiquidity_20d_sector_neutral,2018-11-30,50,0.1925090036014406
amihud_illiquidity_20d_sector_neutral,2018-12-31,50,0.16561824729891955
amihud_illiquidity_20d_sector_neutral,2019-01-31,50,0.04873949579831932
amihud_illiquidity_20d_sector_neutral,2019-02-28,50,-0.0757262905162065
amihud_illiquidity_20d_sector_neutral,2019-03-29,50,-0.016470588235294115
amihud_illiquidity_20d_sector_neutral,2019-04-30,50,-0.30919567827130856
amihud_illiquidity_20d_sector_neutral,2019-05-31,50,0.1757983193277311
amihud_illiquidity_20d_sector_neutral,2019-06-28,50,0.12729891956782713
amihud_illiquidity_20d_sector_neutral,2019-07-31,50,0.17944777911164464
amihud_illiquidity_20d_sector_neutral,2019-08-30,50,-0.08398559423769507
amihud_illiquidity_20d_sector_neutral,2019-09-30,50,-0.23812725090036013
amihud_illiquidity_20d_sector_neutral,2019-10-31,50,-0.0022569027611044415
amihud_illiquidity_20d_sector_neutral,2019-11-29,50,-0.1140456182472989
amihud_illiquidity_20d_sector_neutral,2019-12-31,50,-0.2123889555822329
average_dollar_volume_20d_sector_neutral,2014-01-31,50,-0.3329171668667467
average_dollar_volume_20d_sector_neutral,2014-02-28,50,0.043169267707082834
average_dollar_volume_20d_sector_neutral,2014-03-31,50,0.1766626650660264
average_dollar_volume_20d_sector_neutral,2014-04-30,50,-0.3834333733493397
average_dollar_volume_20d_sector_neutral,2014-05-30,50,0.3681632653061224
average_dollar_volume_20d_sector_neutral,2014-06-30,50,-0.03250900360144057
average_dollar_volume_20d_sector_neutral,2014-07-31,50,0.104921968787515
average_dollar_volume_20d_sector_neutral,2014-08-29,50,0.044225690276110445
average_dollar_volume_20d_sector_neutral,2014-09-30,50,-0.14641056422569024
average_dollar_volume_20d_sector_neutral,2014-10-31,50,-0.18415366146458584
