signal,quintile,months,mean_target_21d_excess,median_target_21d_excess,mean_target_21d,mean_observations
amihud_illiquidity_20d_sector_neutral,1,72,0.0034719775098427993,0.000633132926883162,0.0183162266079196,10.0
amihud_illiquidity_20d_sector_neutral,2,72,-0.004831512042201138,-0.003977312490395568,0.010012737055875662,10.0
amihud_illiquidity_20d_sector_neutral,3,72,0.00028549445949364237,-0.0002644071706360829,0.015129743557570442,10.0
amihud_illiquidity_20d_sector_neutral,4,72,-0.00010791189583605341,-0.0012766278744428816,0.014736337202240747,10.0
amihud_illiquidity_20d_sector_neutral,5,72,0.007596693440661876,0.004013708032223201,0.022440942538738674,10.0
average_dollar_volume_20d_sector_neutral,1,72,0.005938572067332208,0.0019823449137934546,0.020782821165409006,10.0
average_dollar_volume_20d_sector_neutral,2,72,-0.0006552359532298437,-3.682517263625673e-05,0.014189013144846956,10.0
average_dollar_volume_20d_sector_neutral,3,72,-0.00011551988244364027,0.0013018652587207247,0.014728729215633158,10.0
average_dollar_volume_20d_sector_neutral,4,72,-0.003394204474095885,-0.003276635414822593,0.011450044623980913,10.0
average_dollar_volume_20d_sector_neutral,5,72,0.004641129714398288,0.0007871401611758144,0.019485378812475085,10.0
beta_60d_market_sector_neutral,1,70,-0.0013114119523133965,-0.0007687127168855001,0.013004584559080752,10.0
beta_60d_market_sector_neutral,2,70,0.0022956927159684623,0.0014926279630094186,0.01661168922736261,10.0
beta_60d_market_sector_neutral,3,70,-0.0014600595631199904,-0.002100157420972054,0.012855936948274157,10.0
beta_60d_market_sector_neutral,4,70,-0.0012799986935473596,0.00010168411356764606,0.013035997817846787,10.0
beta_60d_market_sector_neutral,5,70,0.008109789068685211,0.00354735003145204,0.022425785580079363,10.0
distance_sma_200d_sector_neutral,1,63,0.0069206910078592416,0.0035376017954040773,0.021051878489233945,10.0
distance_sma_200d_sector_neutral,2,63,-0.004290529772401805,-0.004950569508671787,0.009840657708972899,10.0
distance_sma_200d_sector_neutral,3,63,-0.001454448768254588,0.00034732124113767693,0.012676738713120117,10.0
distance_sma_200d_sector_neutral,4,63,0.0023874606177148585,0.0028608655332855726,0.016518648099089563,10.0
distance_sma_200d_sector_neutral,5,63,0.003929551144512375,0.00047308975179993773,0.018060738625887078,10.0
distance_sma_50d_sector_neutral,1,70,0.005492236192497725,0.0021943701127608017,0.019808232703891874,10.0
distance_sma_50d_sector_neutral,2,70,-8.73390807575149e-05,0.00048483591683978755,0.014228657430636634,10.0
distance_sma_50d_sector_neutral,3,70,0.0021129859581699366,0.00024327323631653797,0.016428982469564087,10.0
distance_sma_50d_sector_neutral,4,70,-0.0009741818682197312,-0.0007177554231136973,0.013341814643174417,10.0
distance_sma_50d_sector_neutral,5,70,-0.00018968962601748757,-0.0007883634890918367,0.014126306885376663,10.0
dollar_volume_change_20d_60d_sector_neutral,1,70,0.006294840229361124,-0.0019719329100228444,0.020610836740755274,10.0
dollar_volume_change_20d_60d_sector_neutral,2,70,-0.0028444198393253154,-0.002241989008581635,0.011471576672068834,10.0
dollar_volume_change_20d_60d_sector_neutral,3,70,0.0008224712998155906,0.0008915496432065628,0.01513846781120974,10.0
dollar_volume_change_20d_60d_sector_neutral,4,70,0.00015736507410488122,-0.0008272551736768219,0.01447336158549903,10.0
dollar_volume_change_20d_60d_sector_neutral,5,70,0.0019237548117166468,0.0011111518690130606,0.016239751323110795,10.0
downside_volatility_60d_sector_neutral,1,70,-0.00010078816844970264,0.001940805471187912,0.014215208342944445,10.0
downside_volatility_60d_sector_neutral,2,70,-0.0003300344731495946,0.0007942718626676726,0.013985962038244553,10.0
downside_volatility_60d_sector_neutral,3,70,0.000276372185264176,0.0004507683122922934,0.014592368696658323,10.0
downside_volatility_60d_sector_neutral,4,70,-0.0012468371161626357,-0.004543920890792585,0.013069159395231513,10.0
downside_volatility_60d_sector_neutral,5,70,0.007755299148170685,-0.0022964535459840674,0.022071295659564834,10.0
max_drawdown_126d_sector_neutral,1,66,0.008285109079882736,0.003910972687980269,0.022626513870414224,10.0
max_drawdown_126d_sector_neutral,2,66,-0.001892728226176916,-0.00427648421273491,0.012448676564354574,10.0
max_drawdown_126d_sector_neutral,3,66,-0.0014984324857697437,-0.002121636824408163,0.012842972304761746,10.0
max_drawdown_126d_sector_neutral,4,66,0.0027950162419624574,0.00225749208661874,0.017136421032493947,10.0
max_drawdown_126d_sector_neutral,5,66,-0.0010778307614606574,-0.0034725829636590433,0.013263574029070831,10.0
momentum_12_1_sector_neutral,1,60,0.005937378508421381,0.00481503760579316,0.019827803655290497,10.0
momentum_12_1_sector_neutral,2,60,0.0025625087054618498,0.0026342903166455267,0.016452933852330966,10.0
momentum_12_1_sector_neutral,3,60,-0.0034492597373449825,-0.004190970373172509,0.010441165409524132,10.0
momentum_12_1_sector_neutral,4,60,-0.000722048076270822,-0.0020804214934807552,0.013168377070598291,10.0
momentum_12_1_sector_neutral,5,60,0.004978369315543286,0.0005629815473764954,0.0188687944624124,10.0
momentum_6_1_sector_neutral,1,66,0.0035836489476563935,0.0034377205228762198,0.017925053738187882,10.0
momentum_6_1_sector_neutral,2,66,-0.0007934458862563986,-0.0005769849828202167,0.013547958904275091,10.0
momentum_6_1_sector_neutral,3,66,3.890706666206729e-05,-0.0031193442300134766,0.014380311857193556,10.0
momentum_6_1_sector_neutral,4,66,-0.0006502242978680488,0.0002210805944581895,0.013691180492663442,10.0
momentum_6_1_sector_neutral,5,66,0.004432248018243863,0.0008986256871223453,0.018773652808775354,10.0
positive_day_ratio_60d_sector_neutral,1,70,0.007432896447183555,0.004825767243227974,0.021748892958577702,10.0
positive_day_ratio_60d_sector_neutral,2,70,-0.0022079998260216235,-0.00212065837963743,0.012107996685372524,10.0
positive_day_ratio_60d_sector_neutral,3,70,-0.0019915741651093557,-0.002061684389181695,0.01232442234628479,10.0
positive_day_ratio_60d_sector_neutral,4,70,-0.0006911516526602766,-0.001157880664016786,0.013624844858733873,10.0
positive_day_ratio_60d_sector_neutral,5,70,0.0038118407722806287,0.0018647321726801835,0.01812783728367478,10.0
return_1m_sector_neutral,1,71,0.006267019025123839,0.0021575071791607447,0.02064028184143171,10.0
return_1m_sector_neutral,2,71,0.001281708661820831,0.0003986935454857732,0.0156549714781287,10.0
return_1m_sector_neutral,3,71,-0.0006452613964491499,-4.258525276157332e-05,0.013728001419858719,10.0
return_1m_sector_neutral,4,71,-0.001593683963110614,-0.0016888749979839801,0.012779578853197256,10.0
return_1m_sector_neutral,5,71,-0.00017360238662247202,-0.0010675539147241841,0.014199660429685398,10.0
return_1w_sector_neutral,1,72,0.0044237121465445384,-0.0001438756879187375,0.019267961244621337,10.0
return_1w_sector_neutral,2,72,0.0030343325396448295,0.003276515948806069,0.017878581637721627,10.0
return_1w_sector_neutral,3,72,-0.0020479439902273155,-0.0007282844500026142,0.012796305107849482,10.0
return_1w_sector_neutral,4,72,-0.0001189547941697482,-0.0018308644722260792,0.01472529430390705,10.0
return_1w_sector_neutral,5,72,0.0011235955701688208,0.0,0.01596784466824562,10.0
return_3m_sector_neutral,1,69,0.004920815727457735,4.352684799902029e-05,0.019398472151485702,10.0
return_3m_sector_neutral,2,69,-0.0014595829944280979,-0.0008254644933695099,0.013018073429599871,10.0
return_3m_sector_neutral,3,69,-0.0022463986426993128,-0.0014125179281772038,0.012231257781328657,10.0
return_3m_sector_neutral,4,69,-0.0012813247030165635,0.0005247306973427124,0.013196331721011405,10.0
return_3m_sector_neutral,5,69,0.006684915744876179,0.005635507471630219,0.021162572168904145,10.0
reversal_1m_sector_neutral,1,71,-0.00017360238662247202,-0.0010675539147241841,0.014199660429685398,10.0
reversal_1m_sector_neutral,2,71,-0.001593683963110614,-0.0016888749979839801,0.012779578853197256,10.0
reversal_1m_sector_neutral,3,71,-0.0006452613964491499,-4.258525276157332e-05,0.013728001419858719,10.0
reversal_1m_sector_neutral,4,71,0.001281708661820831,0.0003986935454857732,0.0156549714781287,10.0
reversal_1m_sector_neutral,5,71,0.006267019025123839,0.0021575071791607447,0.02064028184143171,10.0
sma_50_200_spread_sector_neutral,1,63,0.0059758554887857085,0.004101803462657427,0.020107042970160412,10.0
sma_50_200_spread_sector_neutral,2,63,-0.000589415248143618,-0.0012119816621999346,0.013541772233231086,10.0
sma_50_200_spread_sector_neutral,3,63,-0.005105263272189807,-0.0055511686330971255,0.009025924209184898,10.0
sma_50_200_spread_sector_neutral,4,63,0.0008757579248057205,-0.0004419845457787064,0.015006945406180423,10.0
sma_50_200_spread_sector_neutral,5,63,0.006335789336172078,0.0018150471365981913,0.02046697681754678,10.0
volatility_20d_sector_neutral,1,72,-0.0003722308722700756,0.0002994518450257777,0.014472018225806722,10.0
volatility_20d_sector_neutral,2,72,0.0013135276127641498,-0.00028867196960319363,0.016157776710840947,10.0
volatility_20d_sector_neutral,3,72,0.00018617028370999662,-0.002407684664279236,0.015030419381786795,10.0
volatility_20d_sector_neutral,4,72,-0.0015468991473604236,-0.002595735181736919,0.013297349950716374,10.0
volatility_20d_sector_neutral,5,72,0.0068341735951174785,0.0033041409814686673,0.02167842269319428,10.0
volatility_60d_sector_neutral,1,70,0.0014864817504230067,0.00028460230629362426,0.015802478261817153,10.0
volatility_60d_sector_neutral,2,70,-0.0011075760110933982,0.000962061287530902,0.01320842050030075,10.0
volatility_60d_sector_neutral,3,70,-0.001961766297159794,-0.00251831213281542,0.012354230214234355,10.0
volatility_60d_sector_neutral,4,70,-0.001593288292645152,-0.0022046398646389243,0.012722708218748997,10.0
volatility_60d_sector_neutral,5,70,0.009530160426148265,0.00016815205213854822,0.023846156937542416,10.0
