signal,preliminary_status,months,coverage_ratio,mean_ic,abs_mean_ic,annualized_ic_ir,ic_t_stat,preferred_direction,directional_month_ratio,directional_spread,directional_positive_spread_ratio,mean_quintile_monotonicity,mean_turnover,positive_year_ratio,worst_year_directional_ic,positive_subperiod_ratio,worst_subperiod_directional_ic,sectors_available,positive_sector_ratio,median_sector_directional_ic,strongest_correlated_signal,strongest_mean_correlation,strongest_mean_absolute_correlation
amihud_illiquidity_20d_sector_neutral,candidate,72,1.0,0.0314619181005735,0.0314619181005735,0.6540092158228991,1.601988865843861,higher_is_better,0.5694444444444444,0.004124715930819,0.625,0.1361111111111111,0.2704225352112675,0.6666666666666666,-0.04340936374549819,0.5,-0.0007496331866079747,8.0,0.875,0.008465608465608458,average_dollar_volume_20d_sector_neutral,-0.6539095638255302,0.6539095638255302
reversal_1m_sector_neutral,review_redundancy,71,0.9861111111111112,0.0303082359704445,0.0303082359704445,0.672028857404249,1.6346563794894913,higher_is_better,0.5633802816901409,0.0064406214117463,0.5633802816901409,0.132394366197183,0.7842857142857143,0.8333333333333334,-0.011052420968387364,1.0,0.018580765639589155,8.0,0.75,0.030784708249496983,return_1m_sector_neutral,-0.9999999999999998,0.9999999999999998
return_1m_sector_neutral,review_redundancy,71,0.9861111111111112,-0.0303082359704445,0.0303082359704445,-0.672028857404249,-1.6346563794894913,lower_is_better,0.563380281690141,0.0064406214117463,0.563380281690141,-0.132394366197183,0.7842857142857143,0.8333333333333334,-0.011052420968387364,1.0,0.018580765639589155,8.0,0.75,0.030784708249496983,reversal_1m_sector_neutral,-0.9999999999999998,0.9999999999999998
volatility_60d_sector_neutral,candidate,70,0.9722222222222222,0.022079231692677,0.022079231692677,0.4275227478193926,1.032565534369493,higher_is_better,0.5285714285714286,0.0080436786757252,0.5571428571428572,0.0557142857142857,0.1942028985507246,0.5,-0.012717086834733882,1.0,0.009958650126717357,8.0,0.5,0.0223469387755102,downside_volatility_60d_sector_neutral,0.8266712399245412,0.8266712399245412
distance_sma_50d_sector_neutral,candidate,70,0.9722222222222222,-0.021385011147316,0.021385011147316,-0.4825189132098185,-1.165393893080894,lower_is_better,0.5428571428571429,0.0056819258185152,0.5285714285714286,-0.0414285714285714,0.6159420289855072,0.6666666666666666,-0.031068427370948382,1.0,0.014403094571161793,8.0,0.75,0.024421768707482992,reversal_1m_sector_neutral,-0.8467679643285886,0.8467679643285886
beta_60d_market_sector_neutral,candidate,70,0.9722222222222222,0.0210557365803464,0.0210557365803464,0.4276047870899058,1.0327636780323246,higher_is_better,0.5428571428571428,0.0094212010209986,0.6142857142857143,0.1299999999999999,0.2695652173913043,0.6666666666666666,-0.05621448579431771,1.0,0.01369614512471655,8.0,0.75,0.03316326530612246,volatility_60d_sector_neutral,0.6620737437832277,0.6620737437832277
return_3m_sector_neutral,candidate,69,0.9583333333333334,0.0185945682620874,0.0185945682620874,0.4038661528176627,0.9684370134409896,higher_is_better,0.6086956521739131,0.0017641000174184,0.5362318840579711,0.0376811594202898,0.436764705882353,0.6666666666666666,-0.04023209283713484,1.0,0.006519941309857276,8.0,0.375,-0.009730848861283647,distance_sma_200d_sector_neutral,0.780331180091084,0.780331180091084
distance_sma_200d_sector_neutral,candidate_unstable,63,0.875,0.0168288267688027,0.0168288267688027,0.292953825160175,0.6712415394616805,higher_is_better,0.5714285714285714,-0.0029911398633468,0.4761904761904761,0.0317460317460317,0.2919354838709677,0.5,-0.019551820728291296,1.0,0.0035854341736694683,8.0,0.5,0.005158730158730149,sma_50_200_spread_sector_neutral,0.8527029859562872,0.8527029859562872
max_drawdown_126d_sector_neutral,candidate,66,0.9166666666666666,-0.0167237804212594,0.0167237804212594,-0.2997575010637697,-0.7029936535573971,lower_is_better,0.5454545454545455,0.0093629398413433,0.5303030303030303,-0.0924242424242424,0.2107692307692307,0.6666666666666666,-0.09439775910364145,0.5,-0.00461624649859945,8.0,0.625,0.032954545454545466,downside_volatility_60d_sector_neutral,-0.6431561715595328,0.6431561715595328
sma_50_200_spread_sector_neutral,review_redundancy,63,0.875,0.0140863964633472,0.0140863964633472,0.2285241261002633,0.5236145529890451,higher_is_better,0.4761904761904761,0.0003599338473863,0.5079365079365079,0.0126984126984126,0.2096774193548387,0.5,-0.039015606242496975,0.5,-0.007744431105775628,8.0,0.5,0.0017006802721088437,momentum_6_1_sector_neutral,0.9033365727243278,0.9033365727243278
