signal,months,mean_top_bottom_spread,median_top_bottom_spread,spread_std,positive_spread_ratio,mean_quintile_monotonicity,positive_monotonicity_ratio
beta_60d_market_sector_neutral,70,0.00942120102099861,0.01217314283193626,0.03547783737209475,0.6142857142857143,0.12999999999999998,0.5428571428571428
volatility_60d_sector_neutral,70,0.008043678675725259,0.009751540625723969,0.03864887196919338,0.5571428571428572,0.05571428571428573,0.5428571428571428
downside_volatility_60d_sector_neutral,70,0.007856087316620386,0.003870190326976713,0.03534911658529891,0.5857142857142857,0.03857142857142856,0.5571428571428572
volatility_20d_sector_neutral,72,0.007206404467387555,0.009218818074665975,0.03177062238185196,0.6111111111111112,0.09999999999999999,0.5555555555555556
reversal_1m_sector_neutral,71,0.006440621411746311,0.003528059062402578,0.031692920848561915,0.5633802816901409,0.13239436619718306,0.5352112676056338
amihud_illiquidity_20d_sector_neutral,72,0.004124715930819078,0.007472697229881054,0.02840378629348961,0.625,0.1361111111111111,0.5694444444444444
return_3m_sector_neutral,69,0.0017641000174184421,0.004136936646996103,0.029179026112511514,0.5362318840579711,0.03768115942028985,0.5072463768115942
momentum_6_1_sector_neutral,66,0.0008485990705874689,0.003883420271099125,0.036767534700305096,0.5303030303030303,0.021212121212121213,0.5
sma_50_200_spread_sector_neutral,63,0.0003599338473863695,0.001521602113437515,0.03883317566650452,0.5079365079365079,0.01269841269841268,0.5238095238095238
momentum_12_1_sector_neutral,60,-0.0009590091928780936,0.000844869926473462,0.03938247679189968,0.5166666666666667,-0.024999999999999988,0.5
average_dollar_volume_20d_sector_neutral,72,-0.0012974423529339206,-0.002031837253118668,0.0326846702275913,0.4444444444444444,-0.024999999999999984,0.3888888888888889
distance_sma_200d_sector_neutral,63,-0.0029911398633468674,-0.0008491720539019476,0.033807431247417565,0.47619047619047616,0.03174603174603173,0.5555555555555556
return_1w_sector_neutral,72,-0.0033001165763757168,-0.005041328379485982,0.027122975709968893,0.4305555555555556,-0.08194444444444443,0.375
positive_day_ratio_60d_sector_neutral,70,-0.003621055674902925,-0.0009442813609129123,0.0316045855346885,0.4714285714285714,-0.028571428571428564,0.5
dollar_volume_change_20d_60d_sector_neutral,70,-0.0043710854176444765,-0.005835947484678495,0.02615387423658042,0.37142857142857144,-0.058571428571428566,0.35714285714285715
distance_sma_50d_sector_neutral,70,-0.005681925818515213,-0.0014218751496655425,0.030258327659374383,0.4714285714285714,-0.04142857142857142,0.4142857142857143
return_1m_sector_neutral,71,-0.006440621411746311,-0.003528059062402578,0.031692920848561915,0.43661971830985913,-0.13239436619718306,0.43661971830985913
max_drawdown_126d_sector_neutral,66,-0.009362939841343393,-0.006930717539613311,0.03722044529419287,0.4696969696969697,-0.09242424242424241,0.42424242424242425
