signal,transitions,mean_turnover,median_turnover,maximum_turnover,preferred_direction,selected_quantile
average_dollar_volume_20d_sector_neutral,71,0.16338028169014082,0.09999999999999998,0.5,lower_is_better,1
volatility_60d_sector_neutral,69,0.19420289855072465,0.19999999999999996,0.4,higher_is_better,5
sma_50_200_spread_sector_neutral,62,0.2096774193548387,0.19999999999999996,0.5,higher_is_better,5
max_drawdown_126d_sector_neutral,65,0.21076923076923076,0.19999999999999996,0.6,lower_is_better,1
momentum_12_1_sector_neutral,59,0.2271186440677966,0.19999999999999996,0.5,lower_is_better,1
beta_60d_market_sector_neutral,69,0.26956521739130435,0.30000000000000004,0.8,higher_is_better,5
amihud_illiquidity_20d_sector_neutral,71,0.2704225352112675,0.30000000000000004,0.5,higher_is_better,5
downside_volatility_60d_sector_neutral,69,0.27246376811594203,0.30000000000000004,0.6,higher_is_better,5
distance_sma_200d_sector_neutral,62,0.2919354838709677,0.30000000000000004,0.6,higher_is_better,5
momentum_6_1_sector_neutral,65,0.3507692307692307,0.4,0.7,higher_is_better,5
return_3m_sector_neutral,68,0.436764705882353,0.4,0.8,higher_is_better,5
positive_day_ratio_60d_sector_neutral,69,0.45797101449275357,0.4,0.9,lower_is_better,1
volatility_20d_sector_neutral,71,0.5225352112676056,0.5,0.8,higher_is_better,5
distance_sma_50d_sector_neutral,69,0.6159420289855072,0.6,0.9,lower_is_better,1
return_1w_sector_neutral,71,0.7704225352112676,0.8,1.0,lower_is_better,1
return_1m_sector_neutral,70,0.7842857142857143,0.8,1.0,lower_is_better,1
reversal_1m_sector_neutral,70,0.7842857142857143,0.8,1.0,higher_is_better,5
dollar_volume_change_20d_60d_sector_neutral,69,0.7855072463768116,0.8,1.0,lower_is_better,1
