fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
1,2020-01-31,shallow,7,3,80,53,0.08282642502239036,12,0.44063754789878545,False
1,2020-01-31,balanced,15,4,60,13,0.12273958607101902,12,0.4748720262105101,False
1,2020-01-31,flexible,31,5,40,1,0.1382518096573582,12,0.4830721915718647,True
1,2020-01-31,regularized,15,4,40,7,0.10327963139725853,12,0.48754447034471976,False
2,2020-02-28,shallow,7,3,80,53,0.08282642502239036,12,0.44063754789878545,False
2,2020-02-28,balanced,15,4,60,13,0.12273958607101902,12,0.4748720262105101,False
2,2020-02-28,flexible,31,5,40,1,0.1382518096573582,12,0.4830721915718647,True
2,2020-02-28,regularized,15,4,40,7,0.10327963139725853,12,0.48754447034471976,False
3,2020-03-31,shallow,7,3,80,6,0.09766695255946196,12,0.4610414809226324,False
3,2020-03-31,balanced,15,4,60,12,0.13074716480299434,12,0.46981235287564527,True
3,2020-03-31,flexible,31,5,40,7,0.10065297726615592,12,0.45880531678377445,False
3,2020-03-31,regularized,15,4,40,5,0.11190786774823869,12,0.4936153462508744,False
4,2020-04-30,shallow,7,3,80,29,0.1763444100195446,12,0.4915187486028864,True
4,2020-04-30,balanced,15,4,60,47,0.175322356946188,12,0.47618087933593295,False
4,2020-04-30,flexible,31,5,40,5,0.1591360051678419,12,0.4920488475352345,False
4,2020-04-30,regularized,15,4,40,32,0.16991525156180196,12,0.479757277089055,False
5,2020-05-29,shallow,7,3,80,29,0.1763444100195446,12,0.4915187486028864,True
5,2020-05-29,balanced,15,4,60,47,0.175322356946188,12,0.47618087933593295,False
5,2020-05-29,flexible,31,5,40,5,0.1591360051678419,12,0.4920488475352345,False
5,2020-05-29,regularized,15,4,40,32,0.16991525156180196,12,0.479757277089055,False
6,2020-06-30,shallow,7,3,80,11,0.19283483738193466,12,0.5348953769411128,False
6,2020-06-30,balanced,15,4,60,40,0.19714285714285715,12,0.5241109692284124,False
6,2020-06-30,flexible,31,5,40,21,0.19035867677717935,12,0.5074104557137654,False
6,2020-06-30,regularized,15,4,40,51,0.2082593037214886,12,0.5071064259112645,True
7,2020-07-31,shallow,7,3,80,13,0.1439387192512769,12,0.557620119381478,False
7,2020-07-31,balanced,15,4,60,33,0.1556490417866473,12,0.5349570154807244,True
7,2020-07-31,flexible,31,5,40,37,0.12337735094037615,12,0.5312335278404693,False
7,2020-07-31,regularized,15,4,40,6,0.10942563439602582,12,0.536185996869474,False
8,2020-08-31,shallow,7,3,80,2,0.1598937185991691,12,0.5388947305068629,False
8,2020-08-31,balanced,15,4,60,37,0.17392236964896535,12,0.5499281932085529,True
8,2020-08-31,flexible,31,5,40,41,0.15362945178071227,12,0.5599964699124987,False
8,2020-08-31,regularized,15,4,40,6,0.12344447924578605,12,0.545932751833082,False
9,2020-09-30,shallow,7,3,80,10,0.14742491813069594,12,0.5117854188230481,False
9,2020-09-30,balanced,15,4,60,25,0.15643465518943947,12,0.5464922539042232,True
9,2020-09-30,flexible,31,5,40,65,0.13225290116046418,12,0.5210876124265851,False
9,2020-09-30,regularized,15,4,40,10,0.12311883978700051,12,0.5089837023819324,False
10,2020-10-30,shallow,7,3,80,106,0.12960779721086846,12,0.5034029735679789,False
10,2020-10-30,balanced,15,4,60,5,0.08499257852796617,12,0.5173989549809891,False
10,2020-10-30,flexible,31,5,40,32,0.13437804541489828,12,0.5348698443712169,True
10,2020-10-30,regularized,15,4,40,7,0.10918012744664092,12,0.5080542368463626,False
11,2020-11-30,shallow,7,3,80,106,0.12960779721086846,12,0.5034029735679789,False
11,2020-11-30,balanced,15,4,60,5,0.08499257852796617,12,0.5173989549809891,False
11,2020-11-30,flexible,31,5,40,32,0.13437804541489828,12,0.5348698443712169,True
11,2020-11-30,regularized,15,4,40,7,0.10918012744664092,12,0.5080542368463626,False
12,2020-12-31,shallow,7,3,80,66,0.09239793074030205,12,0.5000351478481712,False
12,2020-12-31,balanced,15,4,60,206,0.11636654661864743,12,0.5151281960339097,True
12,2020-12-31,flexible,31,5,40,7,0.04630175147286919,12,0.5279979846628275,False
12,2020-12-31,regularized,15,4,40,105,0.0786314525810324,12,0.5125375556588975,False
13,2021-01-29,shallow,7,3,80,66,0.09239793074030205,12,0.5000351478481712,False
13,2021-01-29,balanced,15,4,60,206,0.11636654661864743,12,0.5151281960339097,True
13,2021-01-29,flexible,31,5,40,7,0.04630175147286919,12,0.5279979846628275,False
13,2021-01-29,regularized,15,4,40,105,0.0786314525810324,12,0.5125375556588975,False
14,2021-02-26,shallow,7,3,80,33,0.10909209251185148,12,0.5303020344482204,False
14,2021-02-26,balanced,15,4,60,32,0.10815826876373459,12,0.5147909589430385,False
14,2021-02-26,flexible,31,5,40,61,0.1013045218087235,12,0.5107529667336276,False
14,2021-02-26,regularized,15,4,40,2,0.10923959363159536,12,0.49906210582271965,True
15,2021-03-31,shallow,7,3,80,11,0.046862137406487675,12,0.5103695272877592,False
15,2021-03-31,balanced,15,4,60,133,0.06048019207683075,12,0.500543068383414,True
15,2021-03-31,flexible,31,5,40,56,0.02905962384953981,12,0.4867792615578708,False
15,2021-03-31,regularized,15,4,40,61,0.04120412428906079,12,0.492398012044815,False
16,2021-04-30,shallow,7,3,80,12,0.024822410752965818,12,0.4610851973020953,True
16,2021-04-30,balanced,15,4,60,12,0.021915822582462458,12,0.4619366490743211,False
16,2021-04-30,flexible,31,5,40,90,0.020552220888355344,12,0.4752234483813704,False
16,2021-04-30,regularized,15,4,40,49,-0.01918394105304105,12,0.45263338775605483,False
17,2021-05-28,shallow,7,3,80,12,0.024822410752965818,12,0.4610851973020953,True
17,2021-05-28,balanced,15,4,60,12,0.021915822582462458,12,0.4619366490743211,False
17,2021-05-28,flexible,31,5,40,90,0.020552220888355344,12,0.4752234483813704,False
17,2021-05-28,regularized,15,4,40,49,-0.01918394105304105,12,0.45263338775605483,False
18,2021-06-30,shallow,7,3,80,24,0.040714738413861695,12,0.4504246882626002,True
18,2021-06-30,balanced,15,4,60,26,0.026170796157708107,12,0.45381874718545295,False
18,2021-06-30,flexible,31,5,40,10,0.008073522550189107,12,0.42951567408408375,False
18,2021-06-30,regularized,15,4,40,10,0.009320098676428681,12,0.4224186612580179,False
19,2021-07-30,shallow,7,3,80,50,0.03000768766503999,12,0.4262340795682311,False
19,2021-07-30,balanced,15,4,60,32,0.02452974349989265,12,0.44294401696968816,False
19,2021-07-30,flexible,31,5,40,4,0.03444381863058397,12,0.43793850409053037,True
19,2021-07-30,regularized,15,4,40,70,0.02570989287463783,12,0.42459606749776535,False
20,2021-08-31,shallow,7,3,80,20,0.0922842239934879,12,0.43459133838672487,True
20,2021-08-31,balanced,15,4,60,6,0.04274911211258072,12,0.417463048559102,False
20,2021-08-31,flexible,31,5,40,46,0.060456182472989194,12,0.4052075076924832,False
20,2021-08-31,regularized,15,4,40,7,0.04670056073977417,12,0.4212981462777375,False
21,2021-09-30,shallow,7,3,80,4,0.09453021924599919,12,0.4559077095032149,True
21,2021-09-30,balanced,15,4,60,4,0.06767067789076688,12,0.45183974202922855,False
21,2021-09-30,flexible,31,5,40,4,0.05951275845175732,12,0.44484998859425146,False
21,2021-09-30,regularized,15,4,40,10,0.03893550808008356,12,0.43248163377868165,False
22,2021-10-29,shallow,7,3,80,28,0.08842336279244833,12,0.45380424272337067,False
22,2021-10-29,balanced,15,4,60,26,0.09262175014523105,12,0.46316770792849965,True
22,2021-10-29,flexible,31,5,40,9,0.06239304132885357,12,0.4479298608169639,False
22,2021-10-29,regularized,15,4,40,7,0.08978494582461656,12,0.4472332608422223,False
23,2021-11-30,shallow,7,3,80,10,0.11724304311858245,12,0.48405261601127286,True
23,2021-11-30,balanced,15,4,60,21,0.0988152510908516,12,0.4669822612401395,False
23,2021-11-30,flexible,31,5,40,8,0.09009247078724013,12,0.48389320248244894,False
23,2021-11-30,regularized,15,4,40,10,0.08637760441234506,12,0.49338141481908554,False
24,2021-12-31,shallow,7,3,80,10,0.06573719573207096,12,0.46234114488910644,False
24,2021-12-31,balanced,15,4,60,5,0.054810564746764,12,0.4533990905188885,False
24,2021-12-31,flexible,31,5,40,6,0.04115672921000912,12,0.4544921164872968,False
24,2021-12-31,regularized,15,4,40,54,0.06957904061536967,12,0.4198006929977402,True
25,2022-01-31,shallow,7,3,80,10,0.06573719573207096,12,0.46234114488910644,False
25,2022-01-31,balanced,15,4,60,5,0.054810564746764,12,0.4533990905188885,False
25,2022-01-31,flexible,31,5,40,6,0.04115672921000912,12,0.4544921164872968,False
25,2022-01-31,regularized,15,4,40,54,0.06957904061536967,12,0.4198006929977402,True
26,2022-02-28,shallow,7,3,80,14,0.04783351342578465,12,0.4239992522278537,True
26,2022-02-28,balanced,15,4,60,33,0.044084544249481085,12,0.40566533483248485,False
26,2022-02-28,flexible,31,5,40,38,0.03356542617046817,12,0.40889276422295223,False
26,2022-02-28,regularized,15,4,40,3,0.03491985791397758,12,0.4235185014145147,False
27,2022-03-31,shallow,7,3,80,4,0.09849321397306911,12,0.43508477692599223,True
27,2022-03-31,balanced,15,4,60,5,0.06942301543873548,12,0.4478227798248631,False
27,2022-03-31,flexible,31,5,40,2,0.07171854038866766,12,0.4450512858559825,False
27,2022-03-31,regularized,15,4,40,2,0.06175839442496108,12,0.4574117960975963,False
28,2022-04-29,shallow,7,3,80,4,0.09849321397306911,12,0.43508477692599223,True
28,2022-04-29,balanced,15,4,60,5,0.06942301543873548,12,0.4478227798248631,False
28,2022-04-29,flexible,31,5,40,2,0.07171854038866766,12,0.4450512858559825,False
28,2022-04-29,regularized,15,4,40,2,0.06175839442496108,12,0.4574117960975963,False
29,2022-05-31,shallow,7,3,80,19,0.05995912433831153,12,0.4189844406574846,False
29,2022-05-31,balanced,15,4,60,4,0.008455927562547991,12,0.4228570624412726,False
29,2022-05-31,flexible,31,5,40,19,0.06508718431335601,12,0.4240736294895968,True
29,2022-05-31,regularized,15,4,40,8,0.038971461042309315,12,0.43914863408754207,False
30,2022-06-30,shallow,7,3,80,9,0.012002163422513888,12,0.3794068054256547,False
30,2022-06-30,balanced,15,4,60,2,-0.007489200989827884,12,0.3716373944728064,False
30,2022-06-30,flexible,31,5,40,8,-0.00470655206365056,12,0.3913031691971442,False
30,2022-06-30,regularized,15,4,40,10,0.014150893990451061,12,0.3949088977994238,True
31,2022-07-29,shallow,7,3,80,9,0.012002163422513888,12,0.3794068054256547,False
31,2022-07-29,balanced,15,4,60,2,-0.007489200989827884,12,0.3716373944728064,False
31,2022-07-29,flexible,31,5,40,8,-0.00470655206365056,12,0.3913031691971442,False
31,2022-07-29,regularized,15,4,40,10,0.014150893990451061,12,0.3949088977994238,True
32,2022-08-31,shallow,7,3,80,2,-0.006216890972760527,12,0.3569640059440467,False
32,2022-08-31,balanced,15,4,60,2,-0.03767432636718681,12,0.355353692214387,False
32,2022-08-31,flexible,31,5,40,29,0.01307276070091288,12,0.3578951692944223,True
32,2022-08-31,regularized,15,4,40,7,-0.005267452705123643,12,0.3818357910706631,False
33,2022-09-30,shallow,7,3,80,9,-0.024332951096161834,12,0.36653672340174054,False
33,2022-09-30,balanced,15,4,60,3,0.015309020453440117,12,0.36734740881024797,True
33,2022-09-30,flexible,31,5,40,19,-0.019417832023618478,12,0.35346486138666294,False
33,2022-09-30,regularized,15,4,40,3,-0.0034385606066295368,12,0.3852176206025259,False
34,2022-10-31,shallow,7,3,80,32,-0.05082215155797886,12,0.3314629911087022,False
34,2022-10-31,balanced,15,4,60,18,-0.04041137039371847,12,0.3278733015575266,False
34,2022-10-31,flexible,31,5,40,2,-0.0388891083264385,12,0.3358023162509913,True
34,2022-10-31,regularized,15,4,40,16,-0.06479427527839902,12,0.32304386129997353,False
35,2022-11-30,shallow,7,3,80,27,-0.05395692996152385,12,0.3185050013723985,False
35,2022-11-30,balanced,15,4,60,3,-0.041083236619710486,12,0.3143859174727089,True
35,2022-11-30,flexible,31,5,40,3,-0.07403878369006787,12,0.31336891388598304,False
35,2022-11-30,regularized,15,4,40,4,-0.08672175312573245,12,0.3159877217856622,False
36,2022-12-30,shallow,7,3,80,17,-0.0329850812663188,12,0.3460857477263071,True
36,2022-12-30,balanced,15,4,60,57,-0.09921187808352631,12,0.3215546874798838,False
36,2022-12-30,flexible,31,5,40,3,-0.06442150106514945,12,0.31705062126012945,False
36,2022-12-30,regularized,15,4,40,6,-0.06851474538409037,12,0.3276697155562038,False
37,2023-01-31,shallow,7,3,80,17,-0.0329850812663188,12,0.3460857477263071,True
37,2023-01-31,balanced,15,4,60,57,-0.09921187808352631,12,0.3215546874798838,False
37,2023-01-31,flexible,31,5,40,3,-0.06442150106514945,12,0.31705062126012945,False
37,2023-01-31,regularized,15,4,40,6,-0.06851474538409037,12,0.3276697155562038,False
38,2023-02-28,shallow,7,3,80,46,-0.019727900864028643,12,0.3787911066359517,False
38,2023-02-28,balanced,15,4,60,81,-0.021256502601040422,12,0.37426865707133744,False
38,2023-02-28,flexible,31,5,40,62,6.402561024410058e-05,12,0.3794087817483851,True
38,2023-02-28,regularized,15,4,40,54,-0.04711769634686604,12,0.367469709450025,False
39,2023-03-31,shallow,7,3,80,63,-0.014498394759871006,12,0.36554056945919783,False
39,2023-03-31,balanced,15,4,60,1,-0.03131761990746058,12,0.3436382319815953,False
39,2023-03-31,flexible,31,5,40,42,-0.007957591526712134,12,0.344782796100695,True
39,2023-03-31,regularized,15,4,40,41,-0.02686909675104719,12,0.3554404556649369,False
40,2023-04-28,shallow,7,3,80,63,-0.014498394759871006,12,0.36554056945919783,False
40,2023-04-28,balanced,15,4,60,1,-0.03131761990746058,12,0.3436382319815953,False
40,2023-04-28,flexible,31,5,40,42,-0.007957591526712134,12,0.344782796100695,True
40,2023-04-28,regularized,15,4,40,41,-0.02686909675104719,12,0.3554404556649369,False
41,2023-05-31,shallow,7,3,80,34,0.04179580130699845,12,0.4364252656595215,False
41,2023-05-31,balanced,15,4,60,3,0.05710910158342015,12,0.41141770178029846,True
41,2023-05-31,flexible,31,5,40,57,0.03194877951180472,12,0.4142347962019406,False
41,2023-05-31,regularized,15,4,40,48,0.015669838436112707,12,0.40120151212389493,False
42,2023-06-30,shallow,7,3,80,24,0.09406474884240863,12,0.45242704535841183,True
42,2023-06-30,balanced,15,4,60,17,0.07094066454402542,12,0.4480297739024501,False
42,2023-06-30,flexible,31,5,40,49,0.059723812307255986,12,0.42465571522084794,False
42,2023-06-30,regularized,15,4,40,1,-0.009417072246635549,12,0.4088476659833655,False
43,2023-07-31,shallow,7,3,80,24,0.09406474884240863,12,0.45242704535841183,True
43,2023-07-31,balanced,15,4,60,17,0.07094066454402542,12,0.4480297739024501,False
43,2023-07-31,flexible,31,5,40,49,0.059723812307255986,12,0.42465571522084794,False
43,2023-07-31,regularized,15,4,40,1,-0.009417072246635549,12,0.4088476659833655,False
44,2023-08-31,shallow,7,3,80,66,0.021852492641924015,12,0.44873630785106483,False
44,2023-08-31,balanced,15,4,60,72,0.03749499799919967,12,0.44561865266612494,True
44,2023-08-31,flexible,31,5,40,23,0.026659044430837858,12,0.43999402048567715,False
44,2023-08-31,regularized,15,4,40,70,0.030684498441320457,12,0.43236224138433316,False
45,2023-09-29,shallow,7,3,80,66,0.021852492641924015,12,0.44873630785106483,False
45,2023-09-29,balanced,15,4,60,72,0.03749499799919967,12,0.44561865266612494,True
45,2023-09-29,flexible,31,5,40,23,0.026659044430837858,12,0.43999402048567715,False
45,2023-09-29,regularized,15,4,40,70,0.030684498441320457,12,0.43236224138433316,False
46,2023-10-31,shallow,7,3,80,8,0.042145159616565536,12,0.46370660994161206,False
46,2023-10-31,balanced,15,4,60,79,0.039311724689875954,12,0.45859643906470987,False
46,2023-10-31,flexible,31,5,40,83,0.05958383353341335,12,0.4582583137742806,True
46,2023-10-31,regularized,15,4,40,17,0.04632254728563039,12,0.47579850304432086,False
47,2023-11-30,shallow,7,3,80,16,0.09670853925424501,12,0.47359523189711217,True
47,2023-11-30,balanced,15,4,60,32,0.07853727031890873,12,0.48734994471021525,False
47,2023-11-30,flexible,31,5,40,29,0.08888024618727326,12,0.49070223264253804,False
47,2023-11-30,regularized,15,4,40,68,0.09138047026438699,12,0.48564592589970895,False
48,2023-12-29,shallow,7,3,80,16,0.09670853925424501,12,0.47359523189711217,True
48,2023-12-29,balanced,15,4,60,32,0.07853727031890873,12,0.48734994471021525,False
48,2023-12-29,flexible,31,5,40,29,0.08888024618727326,12,0.49070223264253804,False
48,2023-12-29,regularized,15,4,40,68,0.09138047026438699,12,0.48564592589970895,False
49,2024-01-31,shallow,7,3,80,55,0.04801678876634968,12,0.46675808944826397,False
49,2024-01-31,balanced,15,4,60,69,0.051788715486194466,12,0.4656782019626284,False
49,2024-01-31,flexible,31,5,40,57,0.05876750700280112,12,0.4621698936041338,False
49,2024-01-31,regularized,15,4,40,48,0.05900770671186708,12,0.4625243850569394,True
50,2024-02-29,shallow,7,3,80,55,0.04801678876634968,12,0.46675808944826397,False
50,2024-02-29,balanced,15,4,60,69,0.051788715486194466,12,0.4656782019626284,False
50,2024-02-29,flexible,31,5,40,57,0.05876750700280112,12,0.4621698936041338,False
50,2024-02-29,regularized,15,4,40,48,0.05900770671186708,12,0.4625243850569394,True
51,2024-03-28,shallow,7,3,80,86,0.06711103140609165,12,0.4916704457123764,False
51,2024-03-28,balanced,15,4,60,64,0.0826808970824124,12,0.4915234933817809,True
51,2024-03-28,flexible,31,5,40,71,0.06883553421368545,12,0.4808360172678623,False
51,2024-03-28,regularized,15,4,40,32,0.07716832154746855,12,0.48938616446365657,False
52,2024-04-30,shallow,7,3,80,31,0.10452056985548959,12,0.511157100600444,False
52,2024-04-30,balanced,15,4,60,4,0.09481283612432141,12,0.5153702786299085,False
52,2024-04-30,flexible,31,5,40,16,0.08144885442949508,12,0.5078689433700351,False
52,2024-04-30,regularized,15,4,40,42,0.11395440022894411,12,0.5032181243394743,True
53,2024-05-31,shallow,7,3,80,27,0.08564659507186939,12,0.4949246033888724,False
53,2024-05-31,balanced,15,4,60,16,0.09373115764826494,12,0.48661848200302277,True
53,2024-05-31,flexible,31,5,40,57,0.0885954381752701,12,0.47386240464901436,False
53,2024-05-31,regularized,15,4,40,50,0.0933302360731077,12,0.4766393623563032,False
54,2024-06-28,shallow,7,3,80,27,0.08564659507186939,12,0.4949246033888724,False
54,2024-06-28,balanced,15,4,60,16,0.09373115764826494,12,0.48661848200302277,True
54,2024-06-28,flexible,31,5,40,57,0.0885954381752701,12,0.47386240464901436,False
54,2024-06-28,regularized,15,4,40,50,0.0933302360731077,12,0.4766393623563032,False
55,2024-07-31,shallow,7,3,80,39,0.06837349695117112,12,0.45880496113870284,False
55,2024-07-31,balanced,15,4,60,76,0.06831532613045217,12,0.4936043541948855,False
55,2024-07-31,flexible,31,5,40,10,0.11596686443597008,12,0.4542583581042319,True
55,2024-07-31,regularized,15,4,40,23,0.07832848961798101,12,0.48992020268801983,False
56,2024-08-30,shallow,7,3,80,12,0.08650725843508218,12,0.473243241888815,False
56,2024-08-30,balanced,15,4,60,34,0.09393379218939057,12,0.4911410970755173,False
56,2024-08-30,flexible,31,5,40,6,0.10111791595041579,12,0.46769166777962634,True
56,2024-08-30,regularized,15,4,40,37,0.08572453004909975,12,0.47819158300207554,False
57,2024-09-30,shallow,7,3,80,12,0.08650725843508218,12,0.473243241888815,False
57,2024-09-30,balanced,15,4,60,34,0.09393379218939057,12,0.4911410970755173,False
57,2024-09-30,flexible,31,5,40,6,0.10111791595041579,12,0.46769166777962634,True
57,2024-09-30,regularized,15,4,40,37,0.08572453004909975,12,0.47819158300207554,False
58,2024-10-31,shallow,7,3,80,19,0.11788616884870913,12,0.4967428741901407,False
58,2024-10-31,balanced,15,4,60,66,0.09198879551820727,12,0.500622427584306,False
58,2024-10-31,flexible,31,5,40,50,0.08771508603441376,12,0.47606062868795807,False
58,2024-10-31,regularized,15,4,40,2,0.1305974312278184,12,0.5004479413932679,True
59,2024-11-29,shallow,7,3,80,19,0.11788616884870913,12,0.4967428741901407,False
59,2024-11-29,balanced,15,4,60,66,0.09198879551820727,12,0.500622427584306,False
59,2024-11-29,flexible,31,5,40,50,0.08771508603441376,12,0.47606062868795807,False
59,2024-11-29,regularized,15,4,40,2,0.1305974312278184,12,0.5004479413932679,True
60,2024-12-31,shallow,7,3,80,11,0.06603488812396978,12,0.4592140109119239,False
