fold_id,test_date,model_name,alpha,l1_ratio,validation_mean_ic,validation_valid_months,selected
1,2020-01-31,elastic_net,0.0001,0.1,-0.002873149259703882,12,True
1,2020-01-31,elastic_net,0.0001,0.5,-0.00869947979191677,12,False
1,2020-01-31,elastic_net,0.0001,0.9,-0.007595038015206075,12,False
1,2020-01-31,elastic_net,0.001,0.1,-0.008107242897158857,12,False
1,2020-01-31,elastic_net,0.001,0.5,-0.0037454981992797037,12,False
1,2020-01-31,elastic_net,0.001,0.9,-0.008443377350940369,12,False
1,2020-01-31,elastic_net,0.01,0.1,-0.00653061224489795,12,False
1,2020-01-31,elastic_net,0.01,0.5,,0,False
1,2020-01-31,elastic_net,0.01,0.9,,0,False
1,2020-01-31,ridge,0.1,,-0.0006802721088435317,12,True
1,2020-01-31,ridge,1.0,,-0.0020248099239695886,12,False
1,2020-01-31,ridge,10.0,,-0.006722689075630252,12,False
1,2020-01-31,ridge,100.0,,-0.007523009203681472,12,False
2,2020-02-28,elastic_net,0.0001,0.1,-0.002873149259703882,12,True
2,2020-02-28,elastic_net,0.0001,0.5,-0.00869947979191677,12,False
2,2020-02-28,elastic_net,0.0001,0.9,-0.007595038015206075,12,False
2,2020-02-28,elastic_net,0.001,0.1,-0.008107242897158857,12,False
2,2020-02-28,elastic_net,0.001,0.5,-0.0037454981992797037,12,False
2,2020-02-28,elastic_net,0.001,0.9,-0.008443377350940369,12,False
2,2020-02-28,elastic_net,0.01,0.1,-0.00653061224489795,12,False
2,2020-02-28,elastic_net,0.01,0.5,,0,False
2,2020-02-28,elastic_net,0.01,0.9,,0,False
2,2020-02-28,ridge,0.1,,-0.0006802721088435317,12,True
2,2020-02-28,ridge,1.0,,-0.0020248099239695886,12,False
2,2020-02-28,ridge,10.0,,-0.006722689075630252,12,False
2,2020-02-28,ridge,100.0,,-0.007523009203681472,12,False
3,2020-03-31,elastic_net,0.0001,0.1,0.0028731492597038784,12,False
3,2020-03-31,elastic_net,0.0001,0.5,-0.0007442977190876363,12,False
3,2020-03-31,elastic_net,0.0001,0.9,0.0036494597839135646,12,False
3,2020-03-31,elastic_net,0.001,0.1,0.004225690276110445,12,True
3,2020-03-31,elastic_net,0.001,0.5,0.002889155662264905,12,False
3,2020-03-31,elastic_net,0.001,0.9,-0.011164465786314526,12,False
3,2020-03-31,elastic_net,0.01,0.1,-0.006522609043617446,12,False
3,2020-03-31,elastic_net,0.01,0.5,,0,False
3,2020-03-31,elastic_net,0.01,0.9,,0,False
3,2020-03-31,ridge,0.1,,0.004145658263305319,12,False
3,2020-03-31,ridge,1.0,,0.004369747899159668,12,False
3,2020-03-31,ridge,10.0,,0.0025050020008003156,12,False
3,2020-03-31,ridge,100.0,,0.008955582232893151,12,True
4,2020-04-30,elastic_net,0.0001,0.1,0.017583033213285318,12,False
