check,status,violations,description
validation_weight_rows,PASS,0,There must be exactly one validation-weight row per frozen fold.
validation_weights_finite,PASS,0,All ensemble weights must be finite.
validation_weights_sum_to_one,PASS,0,Fold-specific ensemble weights must sum to one.
validation_weights_nonnegative,PASS,0,Fold-specific ensemble weights must be non-negative.
component_scores_required_keys,PASS,0,Output must contain as_of_date and ticker.
component_scores_rows,PASS,0,Output must contain 3850 OOS rows.
component_scores_dates,PASS,0,Output must contain 77 OOS dates.
component_scores_cross_sections,PASS,0,Every OOS date must contain exactly 50 tickers.
component_scores_unique_keys,PASS,0,Output must be unique by as_of_date and ticker.
final_signal_required_keys,PASS,0,Output must contain as_of_date and ticker.
final_signal_rows,PASS,0,Output must contain 3850 OOS rows.
final_signal_dates,PASS,0,Output must contain 77 OOS dates.
final_signal_cross_sections,PASS,0,Every OOS date must contain exactly 50 tickers.
final_signal_unique_keys,PASS,0,Output must be unique by as_of_date and ticker.
