fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
1,2020-01-31,shallow,7,3,80,11,0.011789793148097394,12,0.4279286545741057,False
1,2020-01-31,balanced,15,4,60,154,0.030988395358143263,12,0.4372657323346039,False
1,2020-01-31,flexible,31,5,40,5,0.028464951053311954,12,0.43301816524118486,False
1,2020-01-31,regularized,15,4,40,6,0.07134799675429088,12,0.47182351477719475,True
2,2020-02-28,shallow,7,3,80,11,0.011789793148097394,12,0.4279286545741057,False
2,2020-02-28,balanced,15,4,60,154,0.030988395358143263,12,0.4372657323346039,False
2,2020-02-28,flexible,31,5,40,5,0.028464951053311954,12,0.43301816524118486,False
2,2020-02-28,regularized,15,4,40,6,0.07134799675429088,12,0.47182351477719475,True
3,2020-03-31,shallow,7,3,80,45,0.09250100040016006,12,0.46454843781732297,False
3,2020-03-31,balanced,15,4,60,6,0.10005465025786536,12,0.4720051314161546,False
3,2020-03-31,flexible,31,5,40,50,0.1396798719487795,12,0.4679994325171782,True
3,2020-03-31,regularized,15,4,40,22,0.1345819293634621,12,0.4694447162100967,False
4,2020-04-30,shallow,7,3,80,46,0.15288515406162462,12,0.48946567157803306,False
4,2020-04-30,balanced,15,4,60,12,0.18569721387980798,12,0.5055600804337923,True
4,2020-04-30,flexible,31,5,40,8,0.1275515904220975,12,0.5061338758606545,False
4,2020-04-30,regularized,15,4,40,29,0.17826330532212883,12,0.47988666291971144,False
5,2020-05-29,shallow,7,3,80,46,0.15288515406162462,12,0.48946567157803306,False
5,2020-05-29,balanced,15,4,60,12,0.18569721387980798,12,0.5055600804337923,True
5,2020-05-29,flexible,31,5,40,8,0.1275515904220975,12,0.5061338758606545,False
5,2020-05-29,regularized,15,4,40,29,0.17826330532212883,12,0.47988666291971144,False
6,2020-06-30,shallow,7,3,80,22,0.19270867871939848,12,0.5154498052605302,False
6,2020-06-30,balanced,15,4,60,29,0.20200880352140857,12,0.5166116867231434,True
6,2020-06-30,flexible,31,5,40,6,0.17036869264351798,12,0.547043959879309,False
6,2020-06-30,regularized,15,4,40,31,0.2011489978177905,12,0.5116671592831655,False
7,2020-07-31,shallow,7,3,80,16,0.16151931618098916,12,0.5411437551437132,False
7,2020-07-31,balanced,15,4,60,7,0.17469375122314001,12,0.545402806209755,True
7,2020-07-31,flexible,31,5,40,72,0.16417767106842737,12,0.5381987770609479,False
7,2020-07-31,regularized,15,4,40,12,0.17386694929348445,12,0.5574829025379845,False
8,2020-08-31,shallow,7,3,80,15,0.16759895117637139,12,0.5241848576733116,False
8,2020-08-31,balanced,15,4,60,5,0.2111140554045905,12,0.5633363727525541,True
