fold_id,test_date,model_name,alpha,l1_ratio,validation_mean_ic,validation_valid_months,selected
1,2020-01-31,elastic_net,0.0001,0.1,-0.042713085234093624,12,False
1,2020-01-31,elastic_net,0.0001,0.5,-0.02981192476990796,12,False
1,2020-01-31,elastic_net,0.0001,0.9,-0.0215766306522609,12,False
1,2020-01-31,elastic_net,0.001,0.1,-0.016182472989195673,12,False
1,2020-01-31,elastic_net,0.001,0.5,-0.004273709483793515,12,True
1,2020-01-31,elastic_net,0.001,0.9,-0.0055702280912364914,12,False
1,2020-01-31,elastic_net,0.01,0.1,-0.011108443377350933,12,False
1,2020-01-31,elastic_net,0.01,0.5,,0,False
1,2020-01-31,elastic_net,0.01,0.9,,0,False
1,2020-01-31,ridge,0.1,,-0.044057623049219695,12,False
1,2020-01-31,ridge,1.0,,-0.04286514605842337,12,False
1,2020-01-31,ridge,10.0,,-0.038879551820728296,12,False
1,2020-01-31,ridge,100.0,,-0.004193677470988387,12,True
2,2020-02-28,elastic_net,0.0001,0.1,-0.042713085234093624,12,False
2,2020-02-28,elastic_net,0.0001,0.5,-0.02981192476990796,12,False
2,2020-02-28,elastic_net,0.0001,0.9,-0.0215766306522609,12,False
2,2020-02-28,elastic_net,0.001,0.1,-0.016182472989195673,12,False
2,2020-02-28,elastic_net,0.001,0.5,-0.004273709483793515,12,True
2,2020-02-28,elastic_net,0.001,0.9,-0.0055702280912364914,12,False
2,2020-02-28,elastic_net,0.01,0.1,-0.011108443377350933,12,False
2,2020-02-28,elastic_net,0.01,0.5,,0,False
2,2020-02-28,elastic_net,0.01,0.9,,0,False
2,2020-02-28,ridge,0.1,,-0.044057623049219695,12,False
2,2020-02-28,ridge,1.0,,-0.04286514605842337,12,False
2,2020-02-28,ridge,10.0,,-0.038879551820728296,12,False
2,2020-02-28,ridge,100.0,,-0.004193677470988387,12,True
3,2020-03-31,elastic_net,0.0001,0.1,0.0010244097639055556,12,False
3,2020-03-31,elastic_net,0.0001,0.5,0.011236494597839127,12,False
3,2020-03-31,elastic_net,0.0001,0.9,0.028107242897158855,12,False
3,2020-03-31,elastic_net,0.001,0.1,0.028731492597038808,12,True
3,2020-03-31,elastic_net,0.001,0.5,0.02869147659063624,12,False
