scenario,year,months,mean_ic,annualized_ic_ir,mean_top_bottom_spread,mean_top_quintile_precision,mean_top_quintile_turnover
full,2020,12,0.0568110097111438,1.4180921455108901,0.011000509503330915,0.24166666666666667,0.47272727272727266
full,2021,12,0.05691569399174182,0.9692894812389768,0.017808684880587972,0.32499999999999996,0.375
full,2022,12,0.047928059521640275,0.8891009856164848,0.013388314457108724,0.225,0.4166666666666667
full,2023,12,0.028436499788155625,0.47435504705790293,0.01663605290171399,0.25,0.375
full,2024,12,0.07279909222569608,3.447854288179597,0.01930306468078387,0.25000000000000006,0.4166666666666667
full,2025,12,0.03783391207850768,0.6063683973358623,0.005177927116993098,0.25833333333333336,0.4083333333333334
full,2026,5,-0.007493598666348101,-0.2244958415489049,0.008954164818095198,0.2,0.4
no_fundamentals,2020,12,0.028843955072785338,0.7504752797952101,0.013023065559983818,0.24166666666666667,0.4454545454545455
no_fundamentals,2021,12,0.04536531641977106,0.9049428197183509,0.020440806833854352,0.3,0.4583333333333334
no_fundamentals,2022,12,0.07130623470080634,1.57821348540161,0.01559743088677181,0.27499999999999997,0.4666666666666666
no_fundamentals,2023,12,0.050300621885922846,0.9640216020109394,0.015519766435570305,0.29166666666666663,0.4166666666666667
no_fundamentals,2024,12,0.0688757609935362,2.337430209871462,0.027825485003146067,0.26666666666666666,0.375
no_fundamentals,2025,12,0.03290184153949885,0.5483925375895875,0.00451210032986247,0.27499999999999997,0.39166666666666666
no_fundamentals,2026,5,0.03250213186293819,1.0534307445460456,0.036814801514823095,0.28,0.33999999999999997
no_momentum,2020,12,0.06248050754814553,1.5380448417379615,0.0005227817666463743,0.20833333333333334,0.390909090909091
no_momentum,2021,12,0.062453061361856736,1.1495448084024282,0.022409479393385844,0.325,0.3
no_momentum,2022,12,0.0541926204931946,1.0222065864409309,0.014407625020997622,0.21666666666666667,0.28333333333333327
no_momentum,2023,12,0.009257791871233177,0.14255461339026826,0.008235940700765878,0.225,0.30833333333333335
no_momentum,2024,12,0.06997205516803005,2.8565122864374692,0.015594630561151781,0.27499999999999997,0.30833333333333335
no_momentum,2025,12,0.04051507965580967,0.633550999435574,0.007503360139198194,0.275,0.30833333333333335
no_momentum,2026,5,-0.01431006819062296,-0.3804775484185902,0.015115639128588113,0.2,0.3
