scenario,as_of_date,ic,top_bottom_spread,top_quintile_precision,top_quintile_turnover
full,2020-01-31,0.16619447779111643,0.044515921068996996,0.3,
full,2020-02-28,-0.15361344537815122,-0.05364747453425771,0.1,0.5
full,2020-03-31,0.2217046818727491,0.05802195424715212,0.2,0.5
full,2020-04-30,0.06362545018007203,0.019929431394181442,0.5,0.19999999999999996
full,2020-05-29,0.2552220888355342,0.05857174437878048,0.6,0.4
full,2020-06-30,-0.2188235294117647,-0.017883627294153683,0.3,0.5
full,2020-07-31,-0.022713085234093634,0.058772467497112596,0.3,0.30000000000000004
full,2020-08-31,0.023865546218487393,-0.00785253537893553,0.1,0.4
full,2020-09-30,0.060168067226890755,0.023995828766922477,0.2,0.30000000000000004
full,2020-10-30,-0.042881152460984395,0.014475838755694557,0.1,0.30000000000000004
full,2020-11-30,0.219015606242497,0.06042911903195956,0.4,0.30000000000000004
full,2020-12-31,0.39246098439375754,0.08127607298221062,0.3,0.5
full,2021-01-29,-0.05584633853541416,-0.044288804378240516,0.3,0.19999999999999996
full,2021-02-26,-0.43289315726290517,-0.07473493521143217,0.2,0.19999999999999996
full,2021-03-31,0.0710204081632653,0.017565304278653094,0.2,0.30000000000000004
full,2021-04-30,-0.05959183673469387,-0.01424819033329562,0.2,0.30000000000000004
full,2021-05-28,0.47851140456182467,0.0725003352480845,0.3,0.30000000000000004
full,2021-06-30,-0.11375750300120048,-0.01939973513106128,0.3,0.4
full,2021-07-30,0.3561584633853541,0.03730384401221901,0.3,0.4
full,2021-08-31,0.027515006002400956,-0.015544024586618441,0.2,0.4
full,2021-09-30,0.2772148859543817,0.08743237487116576,0.4,0.30000000000000004
full,2021-10-29,0.23764705882352938,0.04621792854708676,0.3,0.4
full,2021-11-30,-0.2715486194477791,-0.0649794645355048,0.1,0.6
full,2021-12-31,-0.0670828331332533,0.01235459352657885,0.4,0.30000000000000004
full,2022-01-31,-0.12614645858343337,-0.030831037439145427,0.2,0.30000000000000004
full,2022-02-28,0.15486194477791115,0.049223154417891345,0.5,0.30000000000000004
full,2022-03-31,-0.2567587034813925,-0.06704570841815963,0.0,0.5
full,2022-04-29,0.05623049219687875,0.018880344956098437,0.2,0.19999999999999996
full,2022-05-31,-0.2173829531812725,-0.043917833814812714,0.1,0.30000000000000004
full,2022-06-30,0.32206482593037217,0.04098060253924572,0.3,0.4
full,2022-07-29,-0.008403361344537815,0.008966908468824752,0.1,0.4
full,2022-08-31,-0.05911306395614919,-0.014781521152893329,0.2,0.7
full,2022-09-30,0.010660776039952616,-0.0058090123672127954,0.2,0.4
full,2022-10-31,0.36261044989946944,0.07652050478542197,0.3,0.19999999999999996
full,2022-11-30,-0.26050420168067223,-0.05894448666749115,0.1,0.4
full,2022-12-30,0.40475390156062424,0.1383112493062753,0.4,0.5
full,2023-01-31,-0.11202881152460985,0.009767497769772947,0.3,0.5
full,2023-02-28,-0.06276110444177671,-0.01581144647413755,0.2,0.30000000000000004
full,2023-03-31,-0.2619447779111645,-0.017506972535842602,0.2,0.6
full,2023-04-28,0.23879951980792313,0.06096048327165781,0.2,0.30000000000000004
full,2023-05-31,0.08225690276110444,0.021246592844063064,0.3,0.4
full,2023-06-30,0.33935174069627844,0.05723262007859662,0.4,0.4
full,2023-07-31,-0.24878751500600238,-0.028833375422651207,0.2,0.19999999999999996
full,2023-08-31,-0.12316926770708284,-0.019928685411101175,0.0,0.4
full,2023-09-29,-0.006674669867947179,0.006612351045399135,0.2,0.30000000000000004
full,2023-10-31,0.21027611044417766,0.023327643780712323,0.4,0.6
full,2023-11-30,0.018391356542617046,-0.020161617711347057,0.3,0.4
full,2023-12-29,-0.07947178871548619,-0.01543056177191735,0.3,0.30000000000000004
full,2024-01-31,0.2444657863145258,0.04313193861723229,0.2,0.4
full,2024-02-29,0.13267707082833133,0.005466747899447966,0.2,0.30000000000000004
full,2024-03-28,0.1901080432172869,0.026358231986124258,0.2,0.6
full,2024-04-30,0.10885954381752701,0.0637904073811034,0.4,0.4
