as_of_date,input,companies_available,companies_total,coverage_ratio
2026-07-27,assets,50,50,1.0
2026-07-27,cash,50,50,1.0
2026-07-27,equity,50,50,1.0
2026-07-27,net_income_ttm,50,50,1.0
2026-07-27,operating_cash_flow_ttm,49,50,0.98
2026-07-27,revenue_ttm,49,50,0.98
2026-07-27,current_assets,44,50,0.88
2026-07-27,current_liabilities,44,50,0.88
2026-07-27,debt_current,44,50,0.88
2026-07-27,capex_ttm,43,50,0.86
2026-07-27,interest_expense_ttm,42,50,0.84
2026-07-27,operating_income_ttm,41,50,0.82
2026-07-27,inventory,39,50,0.78
2026-07-27,debt_noncurrent,38,50,0.76
2026-07-27,receivables,36,50,0.72
2026-07-27,shares_outstanding,30,50,0.6
2026-07-27,gross_profit_ttm,23,50,0.46
