canonical_metric,observations,companies,concepts_used,first_filed_date,last_filed_date,statement_type_match_rate
net_income,17805,50,2,2009-05-07,2026-08-10,0.9999438360011232
equity,15326,50,2,2009-05-07,2026-08-10,1.0
cash,15162,50,2,2009-05-07,2026-08-10,1.0
assets,7280,50,1,2009-05-07,2026-08-10,1.0
operating_cash_flow,6715,50,1,2009-05-07,2026-08-10,1.0
revenue,16171,49,5,2009-05-07,2026-08-10,1.0
diluted_shares,10398,48,1,2009-05-07,2026-08-10,0.9999038276591652
interest_expense,7902,45,2,2009-07-24,2026-08-10,1.0
capex,6691,44,2,2009-05-07,2026-08-10,0.9998505455088925
current_liabilities,5965,44,1,2009-05-07,2026-08-10,1.0
current_assets,5964,44,1,2009-05-07,2026-08-10,1.0
debt_current,5015,44,2,2009-05-07,2026-08-06,1.0
operating_income,9380,41,1,2009-07-22,2026-08-10,1.0
inventory,4740,39,1,2009-05-07,2026-08-10,1.0
debt_noncurrent,3685,38,1,2009-05-07,2026-08-10,1.0
receivables,4717,36,2,2009-05-07,2026-08-10,1.0
shares_outstanding,3216,30,1,2009-07-22,2026-08-10,1.0
gross_profit,4447,25,1,2009-07-22,2026-07-31,1.0
