canonical_metric,concept,concept_priority,observations,companies
assets,Assets,1,7280,50
capex,PaymentsToAcquirePropertyPlantAndEquipment,1,5000,37
capex,PaymentsToAcquireProductiveAssets,3,1691,20
cash,CashAndCashEquivalentsAtCarryingValue,1,9866,49
cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2,5296,47
current_assets,AssetsCurrent,1,5964,44
current_liabilities,LiabilitiesCurrent,1,5965,44
debt_current,LongTermDebtCurrent,1,2582,33
debt_current,ShortTermBorrowings,3,2433,32
debt_noncurrent,LongTermDebtNoncurrent,1,3685,38
diluted_shares,WeightedAverageNumberOfDilutedSharesOutstanding,1,10398,48
equity,StockholdersEquity,1,7595,48
equity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2,7731,39
gross_profit,GrossProfit,1,4447,25
interest_expense,InterestExpense,2,7037,41
interest_expense,InterestAndDebtExpense,3,865,5
inventory,InventoryNet,1,4740,39
net_income,NetIncomeLoss,1,12084,50
net_income,ProfitLoss,2,5721,38
operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,1,6715,50
operating_income,OperatingIncomeLoss,1,9380,41
receivables,AccountsReceivableNetCurrent,1,4301,34
receivables,AccountsNotesAndLoansReceivableNetCurrent,2,416,3
revenue,RevenueFromContractWithCustomerExcludingAssessedTax,1,3002,30
revenue,Revenues,2,7664,44
revenue,SalesRevenueNet,3,3174,25
revenue,SalesRevenueGoodsNet,4,1474,15
revenue,SalesRevenueServicesNet,5,857,10
shares_outstanding,CommonStockSharesOutstanding,1,3216,30
