factor,family,overall_raw_coverage,mean_date_raw_coverage,minimum_date_raw_coverage,latest_raw_coverage,overall_global_zscore_coverage,overall_sector_zscore_coverage,first_valid_date,last_valid_date
accruals,Accruals,0.8945695364238411,0.8945695364238413,0.74,0.98,0.8945695364238411,0.8,2014-01-31,2026-07-27
net_income_growth_acceleration,Growth,0.8080794701986755,0.8080794701986755,0.0,1.0,0.8080794701986755,0.7202649006622517,2016-01-29,2026-07-27
net_income_growth_yoy,Growth,0.8883443708609271,0.8883443708609271,0.0,1.0,0.8883443708609271,0.7925827814569536,2015-01-30,2026-07-27
operating_cash_flow_growth_acceleration,Growth,0.7042384105960265,0.7042384105960265,0.0,0.92,0.7042384105960265,0.6223841059602649,2016-01-29,2026-07-27
operating_cash_flow_growth_yoy,Growth,0.7981456953642384,0.7981456953642382,0.0,0.96,0.7981456953642384,0.7104635761589404,2015-01-30,2026-07-27
revenue_growth_acceleration,Growth,0.7871523178807946,0.787152317880795,0.0,0.98,0.7871523178807946,0.7029139072847682,2016-01-29,2026-07-27
revenue_growth_yoy,Growth,0.8650331125827815,0.8650331125827817,0.0,0.98,0.8650331125827815,0.7728476821192053,2015-01-30,2026-07-27
asset_growth_yoy,Investment,0.9022516556291391,0.9022516556291391,0.0,1.0,0.9022516556291391,0.804635761589404,2015-01-30,2026-07-27
capex_to_assets,Investment,0.8107284768211921,0.8107284768211921,0.68,0.86,0.8107284768211921,0.7094039735099338,2014-01-31,2026-07-27
debt_to_assets,Leverage,0.6720529801324503,0.6720529801324504,0.56,0.74,0.6720529801324503,0.5287417218543047,2014-01-31,2026-07-27
net_debt_to_assets,Leverage,0.6720529801324503,0.6720529801324504,0.56,0.74,0.6720529801324503,0.5287417218543047,2014-01-31,2026-07-27
cash_conversion,Quality,0.8945695364238411,0.8945695364238413,0.74,0.98,0.8945695364238411,0.8,2014-01-31,2026-07-27
gross_margin,Quality,0.44556291390728475,0.44556291390728475,0.38,0.46,0.44556291390728475,0.3700662251655629,2014-01-31,2026-07-27
gross_profitability,Quality,0.44556291390728475,0.44556291390728475,0.38,0.46,0.44556291390728475,0.3700662251655629,2014-01-31,2026-07-27
net_margin,Quality,0.9333774834437086,0.933377483443709,0.84,0.98,0.9333774834437086,0.8372185430463576,2014-01-31,2026-07-27
operating_margin,Quality,0.763841059602649,0.763841059602649,0.68,0.82,0.763841059602649,0.6466225165562914,2014-01-31,2026-07-27
roa,Quality,0.9691390728476821,0.969139072847682,0.9,1.0,0.9691390728476821,0.8649006622516556,2014-01-31,2026-07-27
roe,Quality,0.9348344370860927,0.9348344370860925,0.9,0.94,0.9348344370860927,0.8305960264900663,2014-01-31,2026-07-27
current_ratio,Solvency,0.8617218543046358,0.8617218543046354,0.82,0.88,0.8617218543046358,0.736158940397351,2014-01-31,2026-07-27
interest_coverage,Solvency,0.6585430463576158,0.6585430463576158,0.56,0.68,0.6585430463576158,0.5280794701986755,2014-01-31,2026-07-27
book_to_market,Value,0.940794701986755,0.9407947019867547,0.88,0.96,0.940794701986755,0.8341721854304636,2014-01-31,2026-07-27
earnings_yield,Value,0.9287417218543046,0.9287417218543044,0.86,0.96,0.9287417218543046,0.8245033112582781,2014-01-31,2026-07-27
fcf_yield,Value,0.6972185430463577,0.6972185430463574,0.58,0.8,0.6972185430463577,0.574569536423841,2014-01-31,2026-07-27
sales_yield,Value,0.9025165562913907,0.9025165562913905,0.8,0.94,0.9025165562913907,0.8023841059602649,2014-01-31,2026-07-27
