canonical_metric,duration_class,snapshot_rows,companies,as_of_dates,first_as_of_date,last_as_of_date,median_period_age_days
assets,instant,7412,50,151,2014-01-31,2026-07-27,90.0
capex,annual,6323,43,151,2014-01-31,2026-07-27,214.0
capex,half_year_ytd,6391,44,151,2014-01-31,2026-07-27,215.0
capex,nine_month_ytd,6409,44,151,2014-01-31,2026-07-27,213.0
capex,quarter,6385,44,151,2014-01-31,2026-07-27,187.0
cash,instant,7293,50,151,2014-01-31,2026-07-27,90.0
current_assets,instant,6506,44,151,2014-01-31,2026-07-27,89.0
current_liabilities,instant,6506,44,151,2014-01-31,2026-07-27,89.0
debt_current,instant,6203,44,151,2014-01-31,2026-07-27,92.0
debt_noncurrent,instant,5366,38,151,2014-01-31,2026-07-27,92.0
diluted_shares,annual,6936,48,151,2014-01-31,2026-07-27,213.0
diluted_shares,half_year_ytd,6944,48,151,2014-01-31,2026-07-27,215.0
diluted_shares,nine_month_ytd,6953,48,151,2014-01-31,2026-07-27,212.0
diluted_shares,quarter,7002,48,151,2014-01-31,2026-07-27,92.0
equity,instant,7412,50,151,2014-01-31,2026-07-27,90.0
gross_profit,annual,2838,20,151,2014-01-31,2026-07-27,273.0
gross_profit,half_year_ytd,2550,18,151,2014-01-31,2026-07-27,244.0
gross_profit,nine_month_ytd,2538,18,151,2014-01-31,2026-07-27,244.0
gross_profit,quarter,3612,25,151,2014-01-31,2026-07-27,121.0
interest_expense,annual,6612,45,151,2014-01-31,2026-07-27,244.0
interest_expense,half_year_ytd,6491,45,151,2014-01-31,2026-07-27,244.0
interest_expense,nine_month_ytd,6493,45,151,2014-01-31,2026-07-27,243.0
interest_expense,quarter,6517,45,151,2014-01-31,2026-07-27,96.0
inventory,instant,5586,39,151,2014-01-31,2026-07-27,90.0
net_income,annual,7359,50,151,2014-01-31,2026-07-27,213.0
net_income,half_year_ytd,7359,50,151,2014-01-31,2026-07-27,215.0
net_income,nine_month_ytd,7372,50,151,2014-01-31,2026-07-27,212.0
net_income,quarter,7378,50,151,2014-01-31,2026-07-27,91.0
operating_cash_flow,annual,7128,50,151,2014-01-31,2026-07-27,243.0
operating_cash_flow,half_year_ytd,7244,50,151,2014-01-31,2026-07-27,243.0
operating_cash_flow,nine_month_ytd,7254,50,151,2014-01-31,2026-07-27,243.0
operating_cash_flow,quarter,7171,50,151,2014-01-31,2026-07-27,239.0
operating_income,annual,5864,41,151,2014-01-31,2026-07-27,241.0
operating_income,half_year_ytd,5897,41,151,2014-01-31,2026-07-27,216.0
operating_income,nine_month_ytd,5895,41,151,2014-01-31,2026-07-27,214.0
operating_income,quarter,5912,41,151,2014-01-31,2026-07-27,91.0
receivables,instant,5334,36,151,2014-01-31,2026-07-27,90.0
revenue,annual,7133,49,151,2014-01-31,2026-07-27,241.0
revenue,half_year_ytd,7142,49,151,2014-01-31,2026-07-27,216.0
revenue,nine_month_ytd,7140,49,151,2014-01-31,2026-07-27,214.0
revenue,quarter,7155,49,151,2014-01-31,2026-07-27,91.0
shares_outstanding,instant,4199,30,151,2014-01-31,2026-07-27,91.0
