canonical_metric,source_method,observations,companies
capex,derived_q2,1987,44
capex,derived_q3,1988,44
capex,derived_q4,2592,43
capex,direct,1694,44
gross_profit,derived_q2,842,17
gross_profit,derived_q3,668,18
gross_profit,derived_q4,872,18
gross_profit,direct,2787,25
interest_expense,derived_q2,1729,45
interest_expense,derived_q3,1726,45
interest_expense,derived_q4,2257,45
interest_expense,direct,3632,45
net_income,derived_q2,3001,50
net_income,derived_q3,2345,50
net_income,derived_q4,3064,50
net_income,direct,7458,50
operating_cash_flow,derived_q2,2025,50
operating_cash_flow,derived_q3,2029,50
operating_cash_flow,derived_q4,2589,50
operating_cash_flow,direct,1672,50
operating_income,derived_q2,2108,41
operating_income,derived_q3,1790,41
operating_income,derived_q4,2356,41
operating_income,direct,5015,41
revenue,derived_q2,2871,49
revenue,derived_q3,2231,49
revenue,derived_q4,2929,49
revenue,direct,7213,49
