factor,version,groups_evaluated,max_abs_group_mean,mean_group_std,centering_violations
accruals,sector_zscore,1171,1.1990408665951691e-15,1.0,0
asset_growth_yoy,sector_zscore,1091,1.6283271027835629e-15,1.0,0
book_to_market,sector_zscore,1183,1.0732155904709846e-15,1.0,0
capex_to_assets,sector_zscore,1026,5.995204332975846e-16,1.0,0
cash_conversion,sector_zscore,1171,4.477899532654798e-15,1.0,0
current_ratio,sector_zscore,1036,3.0346096006420944e-15,1.0,0
debt_to_assets,sector_zscore,824,1.9637069748057456e-15,1.0,0
earnings_yield,sector_zscore,1177,9.71445146547012e-16,1.0,0
fcf_yield,sector_zscore,871,1.3766765505351941e-15,1.0,0
gross_margin,sector_zscore,686,3.700743415417189e-15,1.0,0
gross_profitability,sector_zscore,686,1.7023419710919068e-15,1.0,0
interest_coverage,sector_zscore,853,1.8226161320929655e-15,1.0,0
net_debt_to_assets,sector_zscore,824,1.3322676295501878e-15,1.0,0
net_income_growth_acceleration,sector_zscore,985,7.401486830834377e-16,1.0,0
net_income_growth_yoy,sector_zscore,1081,1.4062824978585316e-15,1.0,0
net_margin,sector_zscore,1177,2.220446049250313e-15,1.0,0
operating_cash_flow_growth_acceleration,sector_zscore,959,7.059746306066946e-15,0.9958289885297185,0
operating_cash_flow_growth_yoy,sector_zscore,1066,6.356026815979021e-15,0.9962476547842402,0
operating_margin,sector_zscore,1026,1.1736643403180226e-15,1.0,0
revenue_growth_acceleration,sector_zscore,985,7.105427357601002e-15,1.0,0
revenue_growth_yoy,sector_zscore,1081,2.4424906541753444e-15,1.0,0
roa,sector_zscore,1177,7.031412489292658e-15,1.0,0
roe,sector_zscore,1177,1.9798977272481957e-15,1.0,0
sales_yield,sector_zscore,1177,8.511709855459534e-16,1.0,0
accruals,zscore,151,2.7873684448035843e-16,1.0,0
asset_growth_yoy,zscore,139,2.575717417130363e-16,1.0,0
book_to_market,zscore,151,2.590520390792032e-16,1.0,0
capex_to_assets,zscore,151,4.1195117492670284e-16,1.0,0
cash_conversion,zscore,151,7.916372871240246e-16,1.0,0
current_ratio,zscore,151,5.500650440188275e-16,1.0,0
debt_to_assets,zscore,151,6.391283898517793e-16,1.0,0
earnings_yield,zscore,151,1.8503717077085943e-16,1.0,0
fcf_yield,zscore,151,1.7886926507849745e-16,1.0,0
gross_margin,zscore,151,1.2357264969740872e-15,1.0,0
gross_profitability,zscore,151,6.082091352294336e-16,1.0,0
interest_coverage,zscore,151,2.1438789441037507e-16,1.0,0
net_debt_to_assets,zscore,151,3.429156600253508e-16,1.0,0
net_income_growth_acceleration,zscore,127,1.3322676295501878e-16,1.0,0
net_income_growth_yoy,zscore,139,1.295260195396016e-16,1.0,0
net_margin,zscore,151,5.664403186863043e-16,1.0,0
operating_cash_flow_growth_acceleration,zscore,127,1.0370629475948303e-16,1.0,0
operating_cash_flow_growth_yoy,zscore,139,1.6532668953657222e-16,1.0,0
operating_margin,zscore,151,3.461283547360782e-16,1.0,0
revenue_growth_acceleration,zscore,127,2.3087592443909506e-16,1.0,0
revenue_growth_yoy,zscore,139,3.1332960917198864e-16,1.0,0
roa,zscore,151,4.485301019485632e-16,1.0,0
roe,zscore,151,4.878813402658327e-16,1.0,0
sales_yield,zscore,151,1.98422838443645e-16,1.0,0
