feature,mean_gain,mean_gain_share,median_gain_share,mean_split_count,folds_used
tech__momentum_6_1_sector_neutral,2.4301377671419995,0.23910442779396301,0.1812567541870703,16.4025974025974,77
fund__sales_yield_zscore,1.244932493969024,0.08642038216556075,0.07862694250063319,20.064935064935064,71
tech__max_drawdown_126d_sector_neutral,0.6997948489696174,0.05760218216121381,0.045136180881057746,9.545454545454545,68
tech__distance_sma_200d_sector_neutral,0.8588600349552059,0.05405460386372566,0.038619668486939304,8.831168831168831,64
tech__sma_50_200_spread_sector_neutral,0.9188036527242753,0.05106295316448395,0.044780822279655325,11.285714285714286,64
tech__return_3m_sector_neutral,0.695094083441881,0.041169077914271573,0.03641575594724333,14.025974025974026,65
tech__volatility_60d_sector_neutral,0.8253792334263298,0.0367372380927662,0.03768540483512561,11.545454545454545,54
fund__book_to_market_zscore,0.5447553172707558,0.03516353310114594,0.027314165586780226,8.025974025974026,62
fund__revenue_growth_acceleration_zscore,0.5520702294473138,0.028262256121221376,0.012728621327867711,7.753246753246753,54
fund__cash_conversion_zscore,0.3199510747240252,0.020084628562752203,0.01693432002673594,6.0,59
fund__capex_to_assets_zscore,0.3543085082881636,0.017583810162760494,0.015734677817315346,7.545454545454546,58
tech__amihud_illiquidity_20d_sector_neutral,0.37284794190366355,0.0167013955975389,0.011726801843154675,9.493506493506494,55
fund__book_to_market_sector_zscore,0.22751648462825008,0.01455450761344428,0.006347636490694216,4.064935064935065,55
tech__return_1w_sector_neutral,0.27403563398916225,0.012970369049222292,0.01293621538244254,5.545454545454546,55
tech__beta_60d_market_sector_neutral,0.27332243514428667,0.011877332432034645,0.011433667832693886,5.363636363636363,52
fund__revenue_growth_yoy_sector_zscore,0.2525670864292747,0.010865097477389833,0.01196743169643178,5.779220779220779,55
fund__revenue_growth_acceleration_sector_zscore,0.17214128955618127,0.010807633820959566,0.0037745007519813965,2.3766233766233764,43
fund__asset_growth_yoy_zscore,0.2727960685461566,0.01075223531467283,0.00953881918242211,6.467532467532467,50
fund__cash_conversion_sector_zscore,0.2194844161390097,0.01064642097464435,0.005176305684372536,5.0,52
tech__momentum_12_1_sector_neutral,0.16234092067249797,0.010022775673478439,0.004449758569620063,3.064935064935065,50
tech__average_dollar_volume_20d_sector_neutral,0.17636410663412375,0.009985827019070194,0.008546683594726002,4.1688311688311686,53
fund__earnings_yield_sector_zscore,0.26089300886522254,0.009903598615112225,0.008620576060642222,4.688311688311688,48
tech__positive_day_ratio_60d_sector_neutral,0.12132103985489963,0.00934286902737522,0.003417686045421715,2.6103896103896105,46
fund__sales_yield_sector_zscore,0.16461098576327424,0.008949612708986587,0.0073445167503389495,3.4025974025974026,52
fund__roe_zscore,0.20566224698703012,0.008877022561583498,0.005011220161052412,5.285714285714286,48
fund__gross_margin_zscore,0.22325201448682067,0.0085774176096253,0.004848428432255751,3.2857142857142856,45
fund__earnings_yield_zscore,0.12928681590219404,0.008347822518136955,0.0032078508769940303,2.6363636363636362,49
