fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,learning_rate,reg_alpha,reg_lambda,colsample_bytree,subsample,best_iteration,validation_mean_ic,validation_valid_months,selected
1,2020-01-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,34,0.09073301756159963,12,False
1,2020-01-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,45,0.11105645427552872,12,False
1,2020-01-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,67,0.1118767507002801,12,True
1,2020-01-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,43,0.08814792839113637,12,False
2,2020-02-28,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,34,0.09073301756159963,12,False
2,2020-02-28,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,45,0.11105645427552872,12,False
2,2020-02-28,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,67,0.1118767507002801,12,True
2,2020-02-28,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,43,0.08814792839113637,12,False
3,2020-03-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,36,0.09190876350540216,12,False
3,2020-03-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,38,0.09927188210842641,12,False
3,2020-03-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,86,0.10528211284513804,12,True
3,2020-03-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,36,0.0926094405856084,12,False
4,2020-04-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,42,0.12833119619505842,12,True
4,2020-04-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,85,0.0769907963185274,12,False
4,2020-04-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,91,0.12484193677470988,12,False
4,2020-04-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,42,0.09461125948872912,12,False
5,2020-05-29,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,42,0.12833119619505842,12,True
5,2020-05-29,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,85,0.0769907963185274,12,False
5,2020-05-29,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,91,0.12484193677470988,12,False
5,2020-05-29,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,42,0.09461125948872912,12,False
6,2020-06-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,90,0.0752140856342537,12,False
6,2020-06-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,148,0.0804641856742697,12,False
6,2020-06-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,96,0.09659863945578229,12,False
6,2020-06-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,94,0.09740696278511406,12,True
7,2020-07-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,91,0.11198879551820727,12,False
7,2020-07-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,123,0.11518207282913166,12,True
7,2020-07-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,263,0.06983593437374949,12,False
7,2020-07-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,91,0.06902761104441776,12,False
8,2020-08-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,85,0.08269707883153261,12,False
8,2020-08-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,86,0.09575830332132851,12,False
8,2020-08-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,91,0.12673869547819125,12,True
8,2020-08-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,85,0.09194096222591708,12,False
9,2020-09-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,124,0.13150060024009605,12,False
9,2020-09-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,131,0.07464585834333734,12,False
9,2020-09-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,124,0.08945978391356542,12,False
9,2020-09-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,151,0.1523169267707083,12,True
10,2020-10-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,170,0.15039615846338536,12,False
10,2020-10-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,124,0.08146458583433372,12,False
10,2020-10-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,185,0.07021208483393357,12,False
10,2020-10-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,130,0.15860744297719087,12,True
11,2020-11-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,170,0.15039615846338536,12,False
11,2020-11-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,124,0.08146458583433372,12,False
11,2020-11-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,185,0.07021208483393357,12,False
11,2020-11-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,130,0.15860744297719087,12,True
12,2020-12-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,232,0.06609043617446979,12,False
12,2020-12-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,124,0.04961184473789516,12,False
12,2020-12-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,199,0.06222488995598239,12,False
12,2020-12-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,129,0.09368547418967588,12,True
13,2021-01-29,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,232,0.06609043617446979,12,False
13,2021-01-29,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,124,0.04961184473789516,12,False
13,2021-01-29,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,199,0.06222488995598239,12,False
13,2021-01-29,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,129,0.09368547418967588,12,True
14,2021-02-26,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,183,0.09428571428571426,12,False
14,2021-02-26,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,152,0.10536214485794317,12,False
14,2021-02-26,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,229,0.11446978791516604,12,False
14,2021-02-26,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,180,0.12877951180472189,12,True
15,2021-03-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,122,0.06456182472989196,12,False
15,2021-03-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,106,0.07749499799919966,12,False
15,2021-03-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,111,0.10227290916366548,12,True
15,2021-03-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,52,0.06995684634707226,12,False
16,2021-04-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,152,0.09538215286114447,12,False
16,2021-04-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,96,0.04757102841136455,12,False
16,2021-04-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,130,0.07387755102040815,12,False
16,2021-04-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,155,0.11635854341736694,12,True
17,2021-05-28,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,152,0.09538215286114447,12,False
17,2021-05-28,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,96,0.04757102841136455,12,False
17,2021-05-28,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,130,0.07387755102040815,12,False
17,2021-05-28,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,155,0.11635854341736694,12,True
18,2021-06-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,150,0.0772468987595038,12,False
18,2021-06-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,99,0.06698679471788715,12,False
18,2021-06-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,124,0.09749499799919968,12,False
18,2021-06-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,154,0.12541016406562625,12,True
19,2021-07-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,45,0.04874815455553036,12,False
19,2021-07-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,44,0.06795912222046828,12,False
19,2021-07-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,46,0.04666695116045389,12,False
19,2021-07-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,137,0.07575830332132853,12,True
20,2021-08-31,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,13,0.042249530733969705,12,False
20,2021-08-31,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,17,0.039160758745515514,12,False
20,2021-08-31,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,30,0.027832338717002914,12,False
20,2021-08-31,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,66,0.09214782340675441,12,True
21,2021-09-30,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,6,0.005482091439640328,12,False
21,2021-09-30,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,2,0.04654761155769205,12,True
21,2021-09-30,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,2,-0.03679086315500493,12,False
21,2021-09-30,shallow,7,3,80,0.03,0.0,1.0,0.8,0.9,10,0.013303940944293978,12,False
22,2021-10-29,balanced,15,4,60,0.03,0.0,1.0,0.8,0.9,12,-0.029930296461946327,12,False
22,2021-10-29,flexible,31,5,40,0.03,0.0,1.0,0.8,0.9,2,0.03490344701183795,12,True
22,2021-10-29,regularized,15,4,40,0.03,0.1,5.0,0.7,0.9,38,-0.001437836675592256,12,False
