feature,mean_gain,mean_gain_share,median_gain_share,mean_split_count,folds_used
tech__average_dollar_volume_20d_sector_neutral,188.10872908362322,0.18458799337831552,0.17977709706412578,16.207792207792206,75
tech__amihud_illiquidity_20d_sector_neutral,141.00551887417768,0.13485481536172092,0.14370443728665103,17.376623376623378,75
tech__volatility_60d_sector_neutral,124.42657334076894,0.09092401010740045,0.09607383674975604,9.987012987012987,67
tech__momentum_6_1_sector_neutral,83.30658726916684,0.06587513019804353,0.0512381350581495,10.181818181818182,64
tech__sma_50_200_spread_sector_neutral,61.796211298506755,0.05160595439303502,0.046061193161779104,9.584415584415584,69
fund__book_to_market_zscore,35.20399844240058,0.04429661652557134,0.030317348304329576,6.909090909090909,77
tech__max_drawdown_126d_sector_neutral,42.257432200304876,0.036644088425772874,0.03123192912171961,7.415584415584416,72
fund__sales_yield_zscore,36.07792203360564,0.028307437184172255,0.027817321905058402,6.922077922077922,66
fund__gross_margin_sector_zscore,21.003539398893132,0.020561137039288257,0.012235796446481994,2.935064935064935,56
fund__roa_zscore,9.325322179051188,0.016247992974795906,0.007586298164913652,2.7142857142857144,59
tech__dollar_volume_change_20d_60d_sector_neutral,23.253651184308065,0.01602344862048109,0.011919778501746229,5.6103896103896105,59
tech__return_1m_sector_neutral,19.401554813245674,0.01536194276428142,0.01347831450970045,4.6103896103896105,50
tech__positive_day_ratio_60d_sector_neutral,15.174208966749054,0.0145465805420798,0.006024635848240443,4.1688311688311686,53
fund__roe_zscore,10.404545202657774,0.013895641581064598,0.00927565812298169,3.090909090909091,69
tech__distance_sma_200d_sector_neutral,19.113839243526584,0.013637100663306827,0.011210798462262195,3.935064935064935,59
tech__beta_60d_market_sector_neutral,14.266727789268865,0.011268883502169803,0.0075944391287801555,4.467532467532467,57
tech__return_3m_sector_neutral,20.675267578332456,0.01104126975999479,0.005902506491358954,5.0,44
tech__downside_volatility_60d_sector_neutral,12.844210945747115,0.010462037586541129,0.006228823441357263,3.1818181818181817,46
fund__book_to_market_sector_zscore,12.091119545620757,0.010458103955454684,0.007240760448607602,2.4805194805194803,54
fund__cash_conversion_zscore,14.383841690450133,0.010205611275909417,0.005314086926075234,4.012987012987013,53
fund__sales_yield_sector_zscore,12.076198733859249,0.010055491744104167,0.005168299893835737,2.8181818181818183,52
fund__revenue_growth_acceleration_zscore,8.234448165088505,0.009907251354161291,0.0018452805399241626,2.4805194805194803,43
fund__net_income_growth_yoy_sector_zscore,10.053382578027712,0.009764117000578831,0.007069972961315467,2.4285714285714284,60
tech__return_1w_sector_neutral,13.34349037106935,0.009409675577372037,0.008029284360561195,4.376623376623376,55
fund__accruals_zscore,13.962294733369506,0.008587323034668347,0.006472425985299978,4.103896103896104,48
fund__cash_conversion_sector_zscore,11.744624943315209,0.008490284626705508,0.006335883750462854,2.8181818181818183,51
tech__distance_sma_50d_sector_neutral,13.436495918076027,0.00837448919216345,0.0046131939663884,4.376623376623376,54
tech__momentum_12_1_sector_neutral,10.037511070440342,0.008053595365110218,0.0063120463413709185,2.4935064935064934,56
fund__revenue_growth_yoy_zscore,7.482349031157308,0.007990202334288828,0.0024136491269209533,2.012987012987013,44
fund__capex_to_assets_zscore,10.30704665184021,0.0075915206960670105,0.004960161191219731,2.142857142857143,45
fund__fcf_yield_sector_zscore,6.930605800507904,0.007545225854458947,0.0010526353377153879,1.7272727272727273,41
fund__capex_to_assets_sector_zscore,8.851688124142685,0.007162546619962507,0.003820096856065972,2.3636363636363638,56
tech__volatility_20d_sector_neutral,9.719128369123904,0.006929669270596375,0.003866620099224726,2.7012987012987013,44
fund__net_margin_sector_zscore,8.141536228068464,0.006519568724150871,0.0031027494380962903,2.064935064935065,46
fund__earnings_yield_sector_zscore,9.272537013152977,0.006005983573609073,0.0016589473010144389,2.2857142857142856,41
fund__net_income_growth_yoy_zscore,5.700630518136086,0.004788906341623701,0.0012620961464066337,1.8571428571428572,39
tech__reversal_1m_sector_neutral,5.21359585681265,0.004679221183903041,0.001190792288637147,2.168831168831169,42
fund__asset_growth_yoy_zscore,4.417892406513165,0.004270241053012866,0.0,1.5324675324675325,38
fund__roe_sector_zscore,5.337295752454113,0.004036379229226182,0.002111353503494086,1.5584415584415585,42
fund__net_income_growth_acceleration_sector_zscore,3.88066069878541,0.0035501482275439545,0.0,1.051948051948052,31
fund__debt_to_assets_missing,1.2285764163190669,0.0032719376226636085,0.0,0.33766233766233766,24
fund__operating_cash_flow_growth_yoy_zscore,7.174211815193102,0.0032185156207965404,0.0,2.168831168831169,31
fund__earnings_yield_zscore,4.607618225859357,0.00317275568239412,0.0,1.7402597402597402,37
fund__current_ratio_zscore,5.658458702943542,0.002870612260311358,0.002045687611409652,1.9870129870129871,43
fund__accruals_sector_zscore,4.813772179283105,0.0027930646186410265,0.0018843459381708498,1.7272727272727273,40
fund__debt_to_assets_zscore,3.637733242438211,0.00274593377033696,0.0,1.077922077922078,30
fund__revenue_growth_yoy_sector_zscore,4.83327239906633,0.0027360252546780824,0.0,1.5714285714285714,30
fund__operating_cash_flow_growth_yoy_sector_zscore,5.008688722144473,0.002657089821977677,0.0,1.5844155844155845,26
fund__operating_margin_sector_zscore,4.526519408860764,0.0022407240954621173,0.0,1.3376623376623376,30
fund__net_income_growth_acceleration_zscore,3.944444412341366,0.0022004573196067615,0.0,1.4025974025974026,29
fund__operating_cash_flow_growth_acceleration_zscore,3.8181859742511404,0.002142145425060587,0.0,1.2857142857142858,29
fund__asset_growth_yoy_sector_zscore,3.7421436766525367,0.0020881360588980713,0.0,1.3116883116883118,30
fund__operating_cash_flow_growth_acceleration_sector_zscore,4.50352791841928,0.0019253173342558458,0.0,1.3896103896103895,22
fund__revenue_growth_acceleration_sector_zscore,3.381008445055454,0.0018910362979155802,0.0,1.2597402597402598,27
fund__roa_sector_zscore,2.9990986859691993,0.0018889415433372403,0.0,0.8701298701298701,32
fund__gross_profitability_zscore,1.2922629241819505,0.0018618845274073709,0.0,0.4155844155844156,15
fund__current_ratio_sector_zscore,2.8431219845623166,0.0018208891041432728,0.0,1.051948051948052,32
fund__interest_coverage_zscore,2.746771513641655,0.0017387533813000016,0.0,0.8051948051948052,30
fund__roe_missing,1.0667997459312537,0.0016847085086362516,0.0,0.11688311688311688,8
fund__fcf_yield_zscore,2.576856662894224,0.0015848598981295407,0.0,1.12987012987013,27
fund__operating_margin_zscore,2.4358915538563357,0.0015590382195462815,0.0,0.8311688311688312,27
fund__net_debt_to_assets_zscore,2.4044739441438154,0.0011307641295515234,0.0,0.935064935064935,23
