fold_id,test_date,candidate_name,num_leaves,max_depth,min_child_samples,best_iteration,validation_mean_ic,validation_valid_months,validation_ndcg_at_10,selected
1,2020-01-31,shallow,7,3,80,6,0.05083478536356254,12,0.44342035240410965,False
1,2020-01-31,balanced,15,4,60,12,0.07256221565613195,12,0.44656366290951793,False
1,2020-01-31,flexible,31,5,40,4,0.1252902333549537,12,0.517486512235129,True
1,2020-01-31,regularized,15,4,40,4,0.09389499938907898,12,0.4173384235442954,False
2,2020-02-28,shallow,7,3,80,6,0.05083478536356254,12,0.44342035240410965,False
2,2020-02-28,balanced,15,4,60,12,0.07256221565613195,12,0.44656366290951793,False
2,2020-02-28,flexible,31,5,40,4,0.1252902333549537,12,0.517486512235129,True
2,2020-02-28,regularized,15,4,40,4,0.09389499938907898,12,0.4173384235442954,False
3,2020-03-31,shallow,7,3,80,6,0.15064140724499195,12,0.46907347951614103,True
3,2020-03-31,balanced,15,4,60,6,0.12618381344803567,12,0.4613103019209226,False
3,2020-03-31,flexible,31,5,40,7,0.11314968764913656,12,0.45965926203526514,False
3,2020-03-31,regularized,15,4,40,17,0.1275479004908089,12,0.4824773123210035,False
4,2020-04-30,shallow,7,3,80,81,0.1758783513405362,12,0.5236227821350022,False
4,2020-04-30,balanced,15,4,60,8,0.194999494644476,12,0.48142878776639203,True
4,2020-04-30,flexible,31,5,40,12,0.15483014038235612,12,0.490335568783421,False
4,2020-04-30,regularized,15,4,40,20,0.16139654648382293,12,0.5085592491960355,False
5,2020-05-29,shallow,7,3,80,81,0.1758783513405362,12,0.5236227821350022,False
5,2020-05-29,balanced,15,4,60,8,0.194999494644476,12,0.48142878776639203,True
5,2020-05-29,flexible,31,5,40,12,0.15483014038235612,12,0.490335568783421,False
5,2020-05-29,regularized,15,4,40,20,0.16139654648382293,12,0.5085592491960355,False
6,2020-06-30,shallow,7,3,80,32,0.20604687010689735,12,0.5077136520063524,False
6,2020-06-30,balanced,15,4,60,17,0.19995006266515417,12,0.517672751493594,False
6,2020-06-30,flexible,31,5,40,15,0.22774176618020223,12,0.5422209810559697,False
6,2020-06-30,regularized,15,4,40,16,0.2427093943471256,12,0.5471483494480037,True
7,2020-07-31,shallow,7,3,80,12,0.17252527813582244,12,0.5418503453487432,False
7,2020-07-31,balanced,15,4,60,10,0.1880852981131369,12,0.5502790609837055,True
7,2020-07-31,flexible,31,5,40,10,0.1546238196245555,12,0.5565704396795003,False
7,2020-07-31,regularized,15,4,40,12,0.18240893840043962,12,0.5565780305459006,False
8,2020-08-31,shallow,7,3,80,17,0.1596977410813236,12,0.5424899410901748,False
8,2020-08-31,balanced,15,4,60,12,0.20676436287975533,12,0.5715397475910128,True
8,2020-08-31,flexible,31,5,40,8,0.13303521730188028,12,0.5322946404601582,False
8,2020-08-31,regularized,15,4,40,7,0.17712213591117354,12,0.5955490437238435,False
9,2020-09-30,shallow,7,3,80,8,0.17469085142352378,12,0.5401658758409404,False
9,2020-09-30,balanced,15,4,60,20,0.18188751999533717,12,0.5277902187096816,False
9,2020-09-30,flexible,31,5,40,16,0.15931877596478564,12,0.5298497123491374,False
9,2020-09-30,regularized,15,4,40,9,0.22173202424324734,12,0.5408833538402743,True
10,2020-10-30,shallow,7,3,80,23,0.15688014829350586,12,0.517818610311385,False
10,2020-10-30,balanced,15,4,60,31,0.1609203681472589,12,0.5265411911762089,True
10,2020-10-30,flexible,31,5,40,5,0.11661740711706527,12,0.5319350785244068,False
10,2020-10-30,regularized,15,4,40,48,0.16084833933573425,12,0.5198319694616327,False
11,2020-11-30,shallow,7,3,80,23,0.15688014829350586,12,0.517818610311385,False
11,2020-11-30,balanced,15,4,60,31,0.1609203681472589,12,0.5265411911762089,True
11,2020-11-30,flexible,31,5,40,5,0.11661740711706527,12,0.5319350785244068,False
11,2020-11-30,regularized,15,4,40,48,0.16084833933573425,12,0.5198319694616327,False
12,2020-12-31,shallow,7,3,80,15,0.09770806207922393,12,0.5132923413030606,False
12,2020-12-31,balanced,15,4,60,149,0.0952701080432173,12,0.5012395178691157,False
12,2020-12-31,flexible,31,5,40,12,0.10070166965585987,12,0.49514697786765893,False
12,2020-12-31,regularized,15,4,40,9,0.10948295308884866,12,0.4842029651454351,True
13,2021-01-29,shallow,7,3,80,15,0.09770806207922393,12,0.5132923413030606,False
13,2021-01-29,balanced,15,4,60,149,0.0952701080432173,12,0.5012395178691157,False
13,2021-01-29,flexible,31,5,40,12,0.10070166965585987,12,0.49514697786765893,False
13,2021-01-29,regularized,15,4,40,9,0.10948295308884866,12,0.4842029651454351,True
14,2021-02-26,shallow,7,3,80,73,0.10424969987995197,12,0.5122939519490166,False
14,2021-02-26,balanced,15,4,60,13,0.10392589282258345,12,0.49622548237804637,False
14,2021-02-26,flexible,31,5,40,141,0.09042016806722687,12,0.5048365960786237,False
14,2021-02-26,regularized,15,4,40,32,0.11579440254048158,12,0.523696510818003,True
