model_name,feature,folds,expected_direction,mean_coefficient,median_coefficient,std_coefficient,mean_absolute_coefficient,nonzero_ratio,positive_sign_ratio_nonzero,negative_sign_ratio_nonzero,sign_consistency_ratio,economic_direction_ratio
elastic_net,return_3m_sector_neutral,77,1.0,0.0028849303189603403,0.0040107701029161,0.0020478449454900986,0.0028849303189603403,0.8051948051948052,1.0,0.0,1.0,1.0
elastic_net,volatility_60d_sector_neutral,77,1.0,0.002275888194249832,0.0023998590493122,0.001162431368940456,0.002275888194249832,1.0,1.0,0.0,1.0,1.0
elastic_net,distance_sma_50d_sector_neutral,77,-1.0,-0.002245371541194089,-0.0029815834226319,0.0018997047517034093,0.002245371541194089,0.6753246753246753,0.0,1.0,1.0,1.0
elastic_net,max_drawdown_126d_sector_neutral,77,-1.0,-0.0020564271900533927,-0.0022187488055391,0.0012454267067020886,0.0020564271900533927,0.8051948051948052,0.0,1.0,1.0,1.0
elastic_net,amihud_illiquidity_20d_sector_neutral,77,1.0,0.0018362454033810688,0.002213554306826,0.0013581726748004906,0.0018362454033810688,0.7272727272727273,1.0,0.0,1.0,1.0
elastic_net,average_dollar_volume_20d_sector_neutral,77,-1.0,0.0014907729812976692,0.0017596716155701,0.001076562653174035,0.0014907729812976692,0.8051948051948052,1.0,0.0,1.0,0.0
elastic_net,beta_60d_market_sector_neutral,77,1.0,-0.0008120323611569792,-0.0008211816741476,0.000815580694042716,0.0008120323611569792,0.5454545454545454,0.0,1.0,1.0,0.0
elastic_net,reversal_1m_sector_neutral,77,1.0,-6.893408361285475e-05,0.0,0.00042102533394973793,0.0002533698147731816,0.4805194805194805,0.43243243243243246,0.5675675675675675,0.5675675675675675,0.43243243243243246
ridge,return_3m_sector_neutral,77,1.0,0.004307808829426282,0.0043633471927073,0.0007427568358669207,0.004307808829426282,1.0,1.0,0.0,1.0,1.0
ridge,distance_sma_50d_sector_neutral,77,-1.0,-0.003751176336693112,-0.0037901699923513,0.0007651300604726073,0.003751176336693112,1.0,0.0,1.0,1.0,1.0
ridge,volatility_60d_sector_neutral,77,1.0,0.0030342836247247225,0.003177084735938,0.000546460239202357,0.0030342836247247225,1.0,1.0,0.0,1.0,1.0
ridge,max_drawdown_126d_sector_neutral,77,-1.0,-0.0028816263325796778,-0.0031662432659012,0.0008071082053731644,0.0028816263325796778,1.0,0.0,1.0,1.0,1.0
ridge,amihud_illiquidity_20d_sector_neutral,77,1.0,0.00250574875212128,0.0029432672950353,0.0007066261724812744,0.00250574875212128,1.0,1.0,0.0,1.0,1.0
ridge,average_dollar_volume_20d_sector_neutral,77,-1.0,0.0021669784689428376,0.0019790334095502,0.0004554457305776975,0.0021669784689428376,1.0,1.0,0.0,1.0,0.0
ridge,beta_60d_market_sector_neutral,77,1.0,-0.0014637656440627295,-0.001550404246542,0.0004086014605778027,0.0014637656440627295,1.0,0.0,1.0,1.0,0.0
ridge,reversal_1m_sector_neutral,77,1.0,-0.00040574981233086735,-0.0005158571009816,0.0005694888001879164,0.0006145716582154549,1.0,0.18181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182
