model_name,from_date,to_date,valid_transition,top_quintile_turnover,top_quintile_overlap_ratio,mean_absolute_percentile_change
constant,2020-01-31,2020-02-28,False,,,
elastic_net,2020-01-31,2020-02-28,True,0.49999999999999994,0.5,0.17679999999999998
equal_weight_composite,2020-01-31,2020-02-28,True,0.49999999999999994,0.5,0.18080000000000002
momentum_3m,2020-01-31,2020-02-28,True,0.3,0.7,0.1352
ridge,2020-01-31,2020-02-28,True,0.49999999999999994,0.5,0.17920000000000003
constant,2020-02-28,2020-03-31,False,,,
elastic_net,2020-02-28,2020-03-31,True,0.39999999999999997,0.6,0.21359999999999996
equal_weight_composite,2020-02-28,2020-03-31,True,0.49999999999999994,0.5,0.2072
momentum_3m,2020-02-28,2020-03-31,True,0.3,0.7,0.1776
ridge,2020-02-28,2020-03-31,True,0.39999999999999997,0.6,0.2128
constant,2020-03-31,2020-04-30,False,,,
elastic_net,2020-03-31,2020-04-30,True,0.49999999999999994,0.5,0.21040000000000003
equal_weight_composite,2020-03-31,2020-04-30,True,0.39999999999999997,0.6,0.14159999999999998
momentum_3m,2020-03-31,2020-04-30,True,0.1,0.9,0.09680000000000001
ridge,2020-03-31,2020-04-30,True,0.49999999999999994,0.5,0.20319999999999996
constant,2020-04-30,2020-05-29,False,,,
elastic_net,2020-04-30,2020-05-29,True,0.49999999999999994,0.5,0.21599999999999994
equal_weight_composite,2020-04-30,2020-05-29,True,0.49999999999999994,0.5,0.17279999999999998
momentum_3m,2020-04-30,2020-05-29,True,0.3,0.7,0.1392
ridge,2020-04-30,2020-05-29,True,0.49999999999999994,0.5,0.21439999999999998
constant,2020-05-29,2020-06-30,False,,,
elastic_net,2020-05-29,2020-06-30,True,0.49999999999999994,0.5,0.25680000000000003
equal_weight_composite,2020-05-29,2020-06-30,True,0.49999999999999994,0.5,0.16239999999999996
momentum_3m,2020-05-29,2020-06-30,True,0.49999999999999994,0.5,0.22
ridge,2020-05-29,2020-06-30,True,0.49999999999999994,0.5,0.248
constant,2020-06-30,2020-07-31,False,,,
elastic_net,2020-06-30,2020-07-31,True,0.49999999999999994,0.5,0.1488
equal_weight_composite,2020-06-30,2020-07-31,True,0.3,0.7,0.10079999999999999
momentum_3m,2020-06-30,2020-07-31,True,0.3,0.7,0.1536
ridge,2020-06-30,2020-07-31,True,0.39999999999999997,0.6,0.14800000000000002
constant,2020-07-31,2020-08-31,False,,,
elastic_net,2020-07-31,2020-08-31,True,0.49999999999999994,0.5,0.13679999999999998
equal_weight_composite,2020-07-31,2020-08-31,True,0.3,0.7,0.10959999999999998
momentum_3m,2020-07-31,2020-08-31,True,0.2,0.8,0.11919999999999999
ridge,2020-07-31,2020-08-31,True,0.49999999999999994,0.5,0.136
constant,2020-08-31,2020-09-30,False,,,
elastic_net,2020-08-31,2020-09-30,True,0.3,0.7,0.1352
equal_weight_composite,2020-08-31,2020-09-30,True,0.39999999999999997,0.6,0.28240000000000004
momentum_3m,2020-08-31,2020-09-30,True,0.0,1.0,0.136
ridge,2020-08-31,2020-09-30,True,0.3,0.7,0.1352
constant,2020-09-30,2020-10-30,False,,,
elastic_net,2020-09-30,2020-10-30,True,0.49999999999999994,0.5,0.19119999999999998
equal_weight_composite,2020-09-30,2020-10-30,True,0.49999999999999994,0.5,0.21839999999999996
momentum_3m,2020-09-30,2020-10-30,True,0.49999999999999994,0.5,0.16880000000000003
ridge,2020-09-30,2020-10-30,True,0.49999999999999994,0.5,0.19119999999999998
constant,2020-10-30,2020-11-30,False,,,
elastic_net,2020-10-30,2020-11-30,True,0.6,0.4,0.2224
equal_weight_composite,2020-10-30,2020-11-30,True,0.39999999999999997,0.6,0.2368
momentum_3m,2020-10-30,2020-11-30,True,0.39999999999999997,0.6,0.19039999999999999
ridge,2020-10-30,2020-11-30,True,0.6,0.4,0.2224
constant,2020-11-30,2020-12-31,False,,,
elastic_net,2020-11-30,2020-12-31,True,0.3,0.7,0.14959999999999998
equal_weight_composite,2020-11-30,2020-12-31,True,0.3,0.7,0.1728
momentum_3m,2020-11-30,2020-12-31,True,0.39999999999999997,0.6,0.1632
ridge,2020-11-30,2020-12-31,True,0.3,0.7,0.1464
constant,2020-12-31,2021-01-29,False,,,
elastic_net,2020-12-31,2021-01-29,True,0.2,0.8,0.13760000000000003
equal_weight_composite,2020-12-31,2021-01-29,True,0.6,0.4,0.21199999999999997
momentum_3m,2020-12-31,2021-01-29,True,0.2,0.8,0.11359999999999999
ridge,2020-12-31,2021-01-29,True,0.3,0.7,0.1344
constant,2021-01-29,2021-02-26,False,,,
elastic_net,2021-01-29,2021-02-26,True,0.39999999999999997,0.6,0.17999999999999997
equal_weight_composite,2021-01-29,2021-02-26,True,0.49999999999999994,0.5,0.22719999999999999
momentum_3m,2021-01-29,2021-02-26,True,0.3,0.7,0.152
ridge,2021-01-29,2021-02-26,True,0.39999999999999997,0.6,0.1816
constant,2021-02-26,2021-03-31,False,,,
elastic_net,2021-02-26,2021-03-31,True,0.3,0.7,0.12239999999999998
equal_weight_composite,2021-02-26,2021-03-31,True,0.3,0.7,0.1432
momentum_3m,2021-02-26,2021-03-31,True,0.49999999999999994,0.5,0.19360000000000002
ridge,2021-02-26,2021-03-31,True,0.3,0.7,0.12399999999999999
constant,2021-03-31,2021-04-30,False,,,
elastic_net,2021-03-31,2021-04-30,True,0.3,0.7,0.17999999999999997
equal_weight_composite,2021-03-31,2021-04-30,True,0.3,0.7,0.156
momentum_3m,2021-03-31,2021-04-30,True,0.49999999999999994,0.5,0.2096
ridge,2021-03-31,2021-04-30,True,0.3,0.7,0.17679999999999998
constant,2021-04-30,2021-05-28,False,,,
elastic_net,2021-04-30,2021-05-28,True,0.6,0.4,0.2072
equal_weight_composite,2021-04-30,2021-05-28,True,0.6,0.4,0.21599999999999997
momentum_3m,2021-04-30,2021-05-28,True,0.2,0.8,0.11679999999999997
ridge,2021-04-30,2021-05-28,True,0.6,0.4,0.2104
constant,2021-05-28,2021-06-30,False,,,
elastic_net,2021-05-28,2021-06-30,True,0.39999999999999997,0.6,0.18719999999999998
equal_weight_composite,2021-05-28,2021-06-30,True,0.49999999999999994,0.5,0.23120000000000002
momentum_3m,2021-05-28,2021-06-30,True,0.49999999999999994,0.5,0.23199999999999998
ridge,2021-05-28,2021-06-30,True,0.39999999999999997,0.6,0.18960000000000002
constant,2021-06-30,2021-07-30,False,,,
elastic_net,2021-06-30,2021-07-30,True,0.3,0.7,0.10640000000000002
