model_name,year,months,ranking_months,mean_ic,positive_ic_ratio,mean_top_bottom_spread,positive_spread_ratio,mean_top_quintile_precision,mean_rmse,mean_top_quintile_turnover,mean_absolute_percentile_change
constant,2020,12,0,,,,,,0.07855116977274791,,
elastic_net,2020,12,12,0.09081232492997199,0.5833333333333334,0.03392172166408119,0.6666666666666666,0.3,0.07764145667460397,0.4636363636363636,0.18705454545454545
equal_weight_composite,2020,12,12,0.008915566226490583,0.5,0.006696152318100934,0.5833333333333334,0.25000000000000006,0.30674288008244877,0.41818181818181815,0.1805090909090909
momentum_3m,2020,12,12,0.07385354141656662,0.6666666666666666,0.04199530722129429,0.75,0.29166666666666663,0.7744748563753584,0.3,0.15454545454545454
ridge,2020,12,12,0.09118047218887552,0.5833333333333334,0.03492551927551709,0.6666666666666666,0.3,0.0776319663611129,0.4545454545454545,0.18516363636363636
constant,2021,12,0,,,,,,0.07011301191649975,,
elastic_net,2021,12,12,0.05467787114845938,0.75,0.011756962066984315,0.75,0.3333333333333333,0.07053501997049942,0.35000000000000003,0.1504
equal_weight_composite,2021,12,12,0.05625450180072029,0.6666666666666666,0.019493297494111654,0.75,0.27499999999999997,0.3037530776166278,0.44166666666666665,0.19133333333333333
momentum_3m,2021,12,12,-0.02453781512605042,0.4166666666666667,0.00727416996196821,0.5,0.225,0.8129658229339666,0.3916666666666666,0.17300000000000001
ridge,2021,12,12,0.0552140856342537,0.75,0.011383721958503122,0.75,0.3333333333333333,0.0705516433689065,0.35833333333333334,0.15066666666666667
constant,2022,12,0,,,,,,0.0787388117822536,,
elastic_net,2022,12,12,0.05346938775510204,0.6666666666666666,0.010129655735660026,0.5,0.2333333333333333,0.07878316012926886,0.3833333333333333,0.1622
equal_weight_composite,2022,12,12,0.0961264505802321,0.5833333333333334,0.01609256082691235,0.5833333333333334,0.23333333333333336,0.28248325924910006,0.44999999999999996,0.18306666666666668
momentum_3m,2022,12,12,-0.07034813925570227,0.4166666666666667,-0.018940499270478518,0.25,0.16666666666666666,0.7689500786615051,0.525,0.19773333333333332
ridge,2022,12,12,0.05971188475390155,0.6666666666666666,0.012125737307401288,0.5833333333333334,0.24166666666666667,0.07879430130525693,0.4166666666666667,0.18100000000000002
constant,2023,12,0,,,,,,0.06521437567584164,,
elastic_net,2023,12,12,0.05898359343737495,0.75,0.015465813058057625,0.75,0.27499999999999997,0.06492176710992749,0.3,0.13673333333333335
equal_weight_composite,2023,12,12,0.02029611844737895,0.4166666666666667,0.00645694565980981,0.4166666666666667,0.21666666666666665,0.28159744429457406,0.4666666666666666,0.18486666666666665
momentum_3m,2023,12,12,-0.008171268507402962,0.5,-0.0012946530612472408,0.5,0.19166666666666668,0.846660274528392,0.5333333333333333,0.19086666666666666
ridge,2023,12,12,0.07246098439375749,0.75,0.016464853156481073,0.75,0.26666666666666666,0.06483112860856463,0.36666666666666664,0.14626666666666666
constant,2024,12,0,,,,,,0.07099645935936431,,
elastic_net,2024,12,12,0.09313325330132051,0.6666666666666666,0.025214959322949513,0.9166666666666666,0.27499999999999997,0.07065010822290398,0.25833333333333336,0.10239999999999999
equal_weight_composite,2024,12,12,0.035150060024009604,0.6666666666666666,0.021571752363864976,0.8333333333333334,0.25,0.3078205318065052,0.49166666666666664,0.19026666666666667
momentum_3m,2024,12,12,0.02840336134453782,0.5833333333333334,0.010786854893879259,0.5,0.25,0.8313373912735327,0.425,0.17426666666666668
ridge,2024,12,12,0.041344537815126044,0.6666666666666666,0.018253303541634066,0.9166666666666666,0.24166666666666667,0.07065558164458613,0.39166666666666666,0.1444
constant,2025,12,0,,,,,,0.07420282055617565,,
elastic_net,2025,12,12,0.03294117647058823,0.5833333333333334,0.00834950461770684,0.5,0.2916666666666667,0.07443895277243456,0.225,0.0922
equal_weight_composite,2025,12,12,0.015398159263705483,0.5,-0.0002518591694021666,0.5,0.26666666666666666,0.32880779743015737,0.44166666666666665,0.16513333333333333
momentum_3m,2025,12,12,-0.016494597839135653,0.5833333333333334,-0.002132450400171003,0.5833333333333334,0.225,0.8434184597949174,0.44999999999999996,0.17546666666666666
ridge,2025,12,12,0.04439375750300121,0.6666666666666666,0.006535236911092794,0.5,0.27499999999999997,0.0747384279427562,0.3083333333333333,0.1226
constant,2026,5,0,,,,,,0.10343432386390794,,
elastic_net,2026,5,5,0.02092677070828331,0.6,0.005995133381354429,0.6,0.22000000000000003,0.10360390141485656,0.22000000000000003,0.09344
equal_weight_composite,2026,5,5,0.01802641056422569,0.4,0.0009638830524406645,0.4,0.13999999999999999,0.31882963174820783,0.41999999999999993,0.13984
momentum_3m,2026,5,5,-0.030223289315726286,0.4,-0.020450833702995615,0.2,0.21999999999999997,0.7308090782152707,0.45999999999999996,0.18288
ridge,2026,5,5,0.004004801920768302,0.6,-0.008348237405076267,0.4,0.15999999999999998,0.10364606849263698,0.33999999999999997,0.10991999999999999
