as_of_date,optimizer_success,optimizer_message,objective_value,function_evaluations,iterations,seed,observation_count,median_daily_return,mad_daily,mad_limit,mad_violation,mad_penalty_value,turnover_l1,one_way_turnover,turnover_penalty,turnover_penalty_value,portfolio_beta_vs_spy,maximum_position_adv_fraction,positions,weight_sum,maximum_weight,maximum_sector_weight
2020-01-31,False,Maximum number of iterations has been exceeded.,-0.002201597926256551,11103,80,89250953,252,0.002201597926256551,0.006534610744529561,0.008,0.0,0.0,0.0,,0.001,0.0,1.0995016780541313,0.0002030454231681009,21,1.0,0.049999,0.24999500000000002
2020-02-28,False,Maximum number of iterations has been exceeded.,-0.0018782590119503651,13523,80,773956048,252,0.0023354528123957306,0.007190198521677723,0.008,0.0,0.0,0.45719380044536534,0.2285969002226827,0.001,0.00045719380044536537,1.1217754550279897,0.0001733530171872644,22,1.0,0.049999,0.24442126735572856
2020-03-31,False,Maximum number of iterations has been exceeded.,0.024124147472521187,15354,80,654571518,252,0.0017533698670566045,0.010487882182586535,0.008,0.0024878821825865347,0.024878821825865347,0.9986955137124446,0.4993477568562223,0.001,0.0009986955137124445,1.1058509524524227,0.00012783592055130622,21,1.0,0.049999,0.1935442389348196
2020-04-30,False,Maximum number of iterations has been exceeded.,0.029530098793508718,14036,80,438878439,252,0.0009704828330604449,0.01097876921044388,0.008,0.0029787692104438802,0.029787692104438802,0.7128895221303609,0.35644476106518047,0.001,0.0007128895221303609,1.0243457279623347,0.00015122749559315246,21,1.0,0.049999,0.24999500000000002
2020-05-29,False,Maximum number of iterations has been exceeded.,0.031284154056087386,15684,80,433015235,252,0.0020436181415207618,0.011285501209711597,0.008,0.0032855012097115967,0.03285501209711597,0.47276010049217404,0.23638005024608705,0.001,0.00047276010049217406,0.9982097449286279,0.00016485651403206584,21,1.0,0.049999,0.24999500000000002
2020-06-30,False,Maximum number of iterations has been exceeded.,0.04826153658378891,14275,80,858597919,252,0.002232693698430284,0.01296448756038912,0.008,0.004964487560389121,0.049644875603891206,0.8493546783279871,0.42467733916399353,0.001,0.0008493546783279871,1.0572477544971577,0.00015516705140159877,21,1.0,0.049999,0.24999500000000002
2020-07-31,False,Maximum number of iterations has been exceeded.,0.0400746489987644,12959,80,201469535,252,0.0027201198396049325,0.012216752857788976,0.008,0.004216752857788976,0.04216752857788976,0.627240260479575,0.3136201302397876,0.001,0.000627240260479575,0.9894450804255744,0.00019108428811339114,21,1.0,0.049999,0.24999500000000002
2020-08-31,False,Maximum number of iterations has been exceeded.,0.02943852221972435,15189,80,94177347,252,0.0028368708072301256,0.011182491006946259,0.008,0.0031824910069462586,0.031824910069462586,0.45048295749189154,0.2252414787459458,0.001,0.00045048295749189153,0.965586929820111,0.00021858574931888183,22,1.0,0.049999,0.19193761222795436
2020-09-30,False,Maximum number of iterations has been exceeded.,0.03421074230284943,14974,80,526478978,252,0.0029630804728722473,0.011656151424764147,0.008,0.0036561514247641473,0.03656151424764147,0.6123085280802039,0.30615426404010193,0.001,0.0006123085280802039,0.9493100182039766,0.00018564773528562207,22,1.0,0.049999,0.199996
2020-10-30,False,Maximum number of iterations has been exceeded.,0.034147986312380585,15556,80,975622351,252,0.0023706777748129645,0.011604041110832502,0.008,0.0036040411108325017,0.03604041110832502,0.4782529788685303,0.23912648943426518,0.001,0.0004782529788685303,0.9135545750635933,0.00020964850741704528,22,1.0,0.049999,0.24999500000000002
2020-11-30,False,Maximum number of iterations has been exceeded.,0.044541849330132006,14518,80,735752370,252,0.002595746826048774,0.012673670415167808,0.008,0.004673670415167808,0.04673670415167808,0.40089200450270146,0.20044600225135073,0.001,0.00040089200450270146,0.9726953807237576,0.00021560005423518094,22,1.0,0.049999,0.21373722835218056
2020-12-31,False,Maximum number of iterations has been exceeded.,0.055210807265090096,16147,80,761139701,252,0.003004491409040384,0.013763241574867281,0.008,0.005763241574867281,0.05763241574867281,0.5828829254576671,0.2914414627288336,0.001,0.000582882925457667,1.057326684279443,0.000232044987934042,21,1.0,0.049999,0.199996
2021-01-29,False,Maximum number of iterations has been exceeded.,0.053859058799525614,16198,80,717477276,252,0.0025369757915463774,0.013586086666058319,0.008,0.005586086666058318,0.05586086666058318,0.535167930488817,0.26758396524440853,0.001,0.000535167930488817,1.0169825213371209,0.00022133267048515785,22,0.9999999999999999,0.049999,0.199996
