model_a,model_b,paired_months,mean_ic_difference,median_ic_difference,model_a_win_ratio,model_b_win_ratio,tie_ratio,bootstrap_95_ci_lower,bootstrap_95_ci_upper
elastic_net,lightgbm_regressor,74,0.015252974781447295,0.011620648259303715,0.527027027027027,0.47297297297297297,0.0,-0.03036688352675109,0.06698381087029597
elastic_net,momentum_3m,74,0.04184289932189091,0.010996398559423741,0.527027027027027,0.47297297297297297,0.0,-0.012482203692287717,0.1003756854092988
elastic_net,ridge,74,0.01832906135427143,0.004129651860744342,0.5540540540540541,0.44594594594594594,0.0,-0.00035576392719250473,0.04127672690697896
elastic_net,technical_equal_weight_composite,74,0.0029460432821777284,0.005522208883553405,0.5135135135135135,0.47297297297297297,0.013513513513513514,-0.0417194445345706,0.048165471594043
lightgbm_regressor,momentum_3m,77,0.019971788908764245,-0.022088835534213702,0.4805194805194805,0.5194805194805194,0.0,-0.03333085717905988,0.07527962497669903
lightgbm_regressor,ridge,77,-0.004448160889336816,-0.0019207683073228995,0.4935064935064935,0.5064935064935064,0.0,-0.045166922968674715,0.03287496480418262
lightgbm_regressor,technical_equal_weight_composite,77,-0.022034416170670115,-0.022273253422520303,0.4675324675324675,0.5324675324675324,0.0,-0.07630216685299458,0.03088140242382752
momentum_3m,ridge,77,-0.02441994979810106,0.008835534213685492,0.5324675324675324,0.4675324675324675,0.0,-0.07394571335027518,0.02172713241140609
momentum_3m,technical_equal_weight_composite,77,-0.042006205079434374,-0.0013445378151260845,0.4805194805194805,0.5194805194805194,0.0,-0.10225852418889632,0.014631670850158218
ridge,technical_equal_weight_composite,77,-0.017586255281333302,-0.040432172869147597,0.44155844155844154,0.5584415584415584,0.0,-0.06077875305966542,0.02661654791786845
