model_name,sector,sector_months,valid_ic_months,mean_sector_ic,median_sector_ic,positive_ic_ratio
constant,Communication Services,77,0,,,
constant,Consumer Discretionary,77,0,,,
constant,Consumer Staples,77,0,,,
constant,Energy,77,0,,,
constant,Financials,77,0,,,
constant,Health Care,77,0,,,
constant,Industrials,77,0,,,
constant,Information Technology,77,0,,,
elastic_net,Communication Services,77,74,0.016216216216216214,0.09999999999999999,0.5
elastic_net,Consumer Discretionary,77,74,0.024710424710424707,0.028571428571428574,0.5540540540540541
elastic_net,Consumer Staples,77,74,0.1027027027027027,0.09999999999999999,0.527027027027027
elastic_net,Energy,77,74,0.006756756756756757,0.5,0.5135135135135135
elastic_net,Financials,77,74,0.010617760617760631,0.0,0.4864864864864865
elastic_net,Health Care,77,74,0.050675675675675685,0.0,0.4864864864864865
elastic_net,Industrials,77,74,0.077027027027027,-0.049999999999999996,0.47297297297297297
elastic_net,Information Technology,77,74,0.06016731016731018,0.11904761904761905,0.5945945945945946
lightgbm_regressor,Communication Services,77,74,-0.06304393366246379,-0.19999999999999998,0.40540540540540543
lightgbm_regressor,Consumer Discretionary,77,75,0.007685554505211136,-0.028571428571428574,0.49333333333333335
lightgbm_regressor,Consumer Staples,77,67,0.10651417021590559,0.19999999999999998,0.5671641791044776
lightgbm_regressor,Energy,77,66,0.07724357895989872,0.0,0.48484848484848486
lightgbm_regressor,Financials,77,65,-0.0013667706138642305,-0.03571428571428572,0.47692307692307695
lightgbm_regressor,Health Care,77,75,0.02299753693569331,0.03571428571428572,0.5066666666666667
lightgbm_regressor,Industrials,77,72,-0.012878553630971493,-0.09999999999999999,0.4444444444444444
lightgbm_regressor,Information Technology,77,75,-0.019502818623614124,-0.023809523809523815,0.4533333333333333
momentum_3m,Communication Services,77,77,-0.010389610389610402,0.0,0.4805194805194805
momentum_3m,Consumer Discretionary,77,77,-0.0575139146567718,-0.08571428571428573,0.44155844155844154
momentum_3m,Consumer Staples,77,77,0.04025974025974025,0.0,0.4805194805194805
momentum_3m,Energy,77,77,-0.14285714285714285,-0.5,0.4155844155844156
momentum_3m,Financials,77,77,0.07977736549165125,0.07142857142857144,0.5324675324675324
momentum_3m,Health Care,77,77,-0.01669758812615956,-0.03571428571428572,0.4805194805194805
momentum_3m,Industrials,77,77,-0.011688311688311687,-0.09999999999999999,0.4675324675324675
momentum_3m,Information Technology,77,77,0.05040197897340755,0.0,0.4805194805194805
ridge,Communication Services,77,77,0.007792207792207797,0.0,0.45454545454545453
ridge,Consumer Discretionary,77,77,0.020408163265306128,0.028571428571428574,0.5194805194805194
ridge,Consumer Staples,77,77,0.06753246753246753,0.0,0.4935064935064935
ridge,Energy,77,77,0.03896103896103896,0.5,0.5584415584415584
ridge,Financials,77,77,-0.04684601113172542,-0.07142857142857144,0.45454545454545453
ridge,Health Care,77,77,0.06539888682745827,0.07142857142857144,0.5324675324675324
ridge,Industrials,77,77,-0.012987012987012998,-0.09999999999999999,0.45454545454545453
ridge,Information Technology,77,77,0.05720470006184294,0.04761904761904763,0.5324675324675324
technical_equal_weight_composite,Communication Services,77,77,0.05714285714285715,0.19999999999999998,0.5064935064935064
technical_equal_weight_composite,Consumer Discretionary,77,77,-0.024860853432282004,-0.028571428571428574,0.4935064935064935
technical_equal_weight_composite,Consumer Staples,77,77,-0.005194805194805203,-0.09999999999999999,0.4155844155844156
technical_equal_weight_composite,Energy,77,77,0.03896103896103896,0.5,0.5454545454545454
technical_equal_weight_composite,Financials,77,77,0.11131725417439706,0.10714285714285716,0.5844155844155844
technical_equal_weight_composite,Health Care,77,77,0.05102040816326532,0.07142857142857144,0.5454545454545454
technical_equal_weight_composite,Industrials,77,77,0.1,0.09999999999999999,0.5454545454545454
technical_equal_weight_composite,Information Technology,77,77,-0.008967223252937553,-0.023809523809523815,0.4675324675324675
