column,feature_group,family,source_column,dtype,non_missing_count,missing_count,overall_coverage,latest_coverage,first_valid_date,last_valid_date
fund__roa_zscore,fundamental_global,Quality,roa_zscore,float64,7317,233,0.9691390728476821,1.0,2014-01-31,2026-07-27
fund__book_to_market_zscore,fundamental_global,Value,book_to_market_zscore,float64,7103,447,0.940794701986755,0.96,2014-01-31,2026-07-27
fund__roe_zscore,fundamental_global,Quality,roe_zscore,float64,7058,492,0.9348344370860927,0.94,2014-01-31,2026-07-27
fund__net_margin_zscore,fundamental_global,Quality,net_margin_zscore,float64,7047,503,0.9333774834437086,0.98,2014-01-31,2026-07-27
fund__earnings_yield_zscore,fundamental_global,Value,earnings_yield_zscore,float64,7012,538,0.9287417218543046,0.96,2014-01-31,2026-07-27
fund__sales_yield_zscore,fundamental_global,Value,sales_yield_zscore,float64,6814,736,0.9025165562913907,0.94,2014-01-31,2026-07-27
fund__asset_growth_yoy_zscore,fundamental_global,Investment,asset_growth_yoy_zscore,float64,6812,738,0.9022516556291391,1.0,2015-01-30,2026-07-27
fund__accruals_zscore,fundamental_global,Accruals,accruals_zscore,float64,6754,796,0.8945695364238411,0.98,2014-01-31,2026-07-27
fund__cash_conversion_zscore,fundamental_global,Quality,cash_conversion_zscore,float64,6754,796,0.8945695364238411,0.98,2014-01-31,2026-07-27
fund__net_income_growth_yoy_zscore,fundamental_global,Growth,net_income_growth_yoy_zscore,float64,6707,843,0.8883443708609271,1.0,2015-01-30,2026-07-27
fund__revenue_growth_yoy_zscore,fundamental_global,Growth,revenue_growth_yoy_zscore,float64,6531,1019,0.8650331125827815,0.98,2015-01-30,2026-07-27
fund__current_ratio_zscore,fundamental_global,Solvency,current_ratio_zscore,float64,6506,1044,0.8617218543046358,0.88,2014-01-31,2026-07-27
fund__capex_to_assets_zscore,fundamental_global,Investment,capex_to_assets_zscore,float64,6121,1429,0.8107284768211921,0.86,2014-01-31,2026-07-27
fund__net_income_growth_acceleration_zscore,fundamental_global,Growth,net_income_growth_acceleration_zscore,float64,6101,1449,0.8080794701986755,1.0,2016-01-29,2026-07-27
fund__operating_cash_flow_growth_yoy_zscore,fundamental_global,Growth,operating_cash_flow_growth_yoy_zscore,float64,6026,1524,0.7981456953642384,0.96,2015-01-30,2026-07-27
fund__revenue_growth_acceleration_zscore,fundamental_global,Growth,revenue_growth_acceleration_zscore,float64,5943,1607,0.7871523178807946,0.98,2016-01-29,2026-07-27
fund__operating_margin_zscore,fundamental_global,Quality,operating_margin_zscore,float64,5767,1783,0.763841059602649,0.82,2014-01-31,2026-07-27
fund__operating_cash_flow_growth_acceleration_zscore,fundamental_global,Growth,operating_cash_flow_growth_acceleration_zscore,float64,5317,2233,0.7042384105960265,0.92,2016-01-29,2026-07-27
