cost_bps,strategy_name,start_date,end_date,trading_days,initial_capital,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,calmar_ratio,positive_day_ratio,beta_vs_spy,annualized_alpha_vs_spy,correlation_vs_spy,tracking_error_vs_spy,information_ratio_vs_spy,benchmark_total_return,excess_total_return,benchmark_cagr,excess_cagr,total_transaction_cost,total_traded_notional,total_two_way_turnover,mean_rebalance_two_way_turnover
0.0,elastic_net_score_weighted,2020-02-03,2026-06-30,1610,1000000.0,4527719.371363327,3.527719371363327,0.26665808696822557,0.2209464290902475,1.1810217570516415,1.7148552801326418,-0.334923877317826,0.796175205851867,0.5577639751552795,1.041594337889063,0.08759641068661156,0.9620296888318003,0.06090060696470031,1.5520157322289203,1.533658387732939,1.994060983630388,0.15663238554301806,0.11002570142520751,0.0,83178972.06707795,39.21196700709852,0.5092463247675132
0.0,elastic_net_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,5082570.590591457,4.082570590591457,0.2897852461565671,0.22253608264389255,1.255544513343022,1.829322479372654,-0.33844324535621506,0.8562299591813838,0.5658385093167702,1.0441983761508973,0.10562445432606356,0.9575455142029522,0.06478411617798897,1.7439478141067808,1.533658387732939,2.548912202858518,0.15663238554301806,0.13315286061354903,0.0,96059081.57629469,43.02559256625855,0.5587739294319294
0.0,momentum_3m_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2753460.313566008,1.7534603135660083,0.17179218730688306,0.19908738915632984,0.896551587663189,1.2631254403752918,-0.34486695534583345,0.49814047024195,0.546583850931677,0.9198772936195879,0.025402603494831852,0.9428942751804807,0.06830041458426377,0.17669402328433667,1.533658387732939,0.21980192583306923,0.15663238554301806,0.015159801763865,0.0,94307732.98605727,51.30338408384857,0.6662777153746566
0.0,ridge_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4589617.952479784,3.5896179524797844,0.2693530014785852,0.22022090133805278,1.1938192216800714,1.7381585101963117,-0.3392124185116089,0.7940540698965216,0.5596273291925465,1.033286028255255,0.0909405166126367,0.9575001983386526,0.06388105584106,1.5103085566741639,1.533658387732939,2.0559595647468454,0.15663238554301806,0.11272061593556715,0.0,106462470.60528037,47.38279198630574,0.6153609348870875
0.0,spy_buy_and_hold,2020-02-03,2026-06-30,1610,1000000.0,2533658.387732939,1.533658387732939,0.15663238554301806,0.20406891310197103,0.8155276433691043,1.1545656103904975,-0.33717269301235486,0.4645464736294011,0.5509316770186335,1.0,0.0,0.9999999999999999,0.0,,1.533658387732939,0.0,0.15663238554301806,0.0,0.0,1000000.0,1.0,1.0
0.0,universe_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,3000018.59603247,2.00001859603247,0.18762756733021324,0.19481095392515851,0.9806998217701149,1.4018430013454568,-0.32902849778010623,0.5702471627719221,0.5472049689440994,0.927631671265559,0.036671043153273644,0.971715312203913,0.048317878616743706,0.5096918306713485,1.533658387732939,0.46636020829953084,0.15663238554301806,0.03099518178719518,0.0,8559805.925694462,5.060397513147611,0.06571944822269624
5.0,elastic_net_score_weighted,2020-02-03,2026-06-30,1610,1000000.0,4439815.337109506,3.439815337109506,0.26277705229274995,0.22093773903458774,1.167158449562951,1.6937720517609163,-0.33514674261467003,0.7840656610375413,0.5577639751552795,1.0414932540885282,0.08462170391523685,0.9619714968524761,0.06094024058603235,1.501863404239518,1.5323921916371206,1.9074231454723853,0.1565418926491693,0.10623515964358066,41084.70362896766,82169407.25793532,39.20543237288413,0.5091614593881056
5.0,elastic_net_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4974401.219434318,3.974401219434318,0.28544968886332356,0.22252848893925822,1.2404349573039843,1.8061434824911131,-0.3387201130180194,0.8427302598595261,0.5658385093167702,1.0440890165106633,0.10235267842911644,0.9574752495490088,0.06483025135063758,1.6919059024343994,1.5323921916371206,2.4420090277971975,0.1565418926491693,0.12890779621415427,47380.13701038745,94760274.02077492,43.01737816682402,0.5586672489197925
5.0,momentum_3m_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,2683724.0579853267,1.6837240579853265,0.16709657719345272,0.19907522570824396,0.876412964041596,1.2338825721852131,-0.3449439677236291,0.48441658016565564,0.5453416149068323,0.9198063627049348,0.02146652209061192,0.9428765633587732,0.06830962636821196,0.11896825238900885,1.5323921916371206,0.15133186634820595,0.1565418926491693,0.010554684544283433,46469.20266308324,92938405.32616648,51.296786615144086,0.6661920339629102
5.0,ridge_top20_equal_weight,2020-02-03,2026-06-30,1610,1000000.0,4482165.874780043,3.4821658747800432,0.2646548765215777,0.22021333983246189,1.176999742139235,1.7125405751200782,-0.33949020789510964,0.7795655673324947,0.5590062111801242,1.0331679909965732,0.08732826865565643,0.9574210400112166,0.06393384176659589,1.4522138803662161,1.5323921916371206,1.9497736831429227,0.1565418926491693,0.10811298387240842,52447.73661509781,104895473.23019561,47.37279439526607,0.6152310960424164
