date,strategy_name,portfolio_value,drawdown
2020-02-03,elastic_net_score_weighted,1008420.2872463526,0.0
2020-02-03,elastic_net_top20_equal_weight,1008032.5186401561,0.0
2020-02-03,momentum_3m_top20_equal_weight,1011112.8245495692,0.0
2020-02-03,ridge_top20_equal_weight,1007613.7273554499,0.0
2020-02-03,spy_buy_and_hold,1001379.9066223331,0.0
2020-02-03,universe_equal_weight,1004378.2705532413,0.0
2020-02-04,elastic_net_score_weighted,1035535.3599229342,0.0
2020-02-04,elastic_net_top20_equal_weight,1034077.5412935216,0.0
2020-02-04,momentum_3m_top20_equal_weight,1030642.1416675355,0.0
2020-02-04,ridge_top20_equal_weight,1033610.5175823484,0.0
2020-02-04,spy_buy_and_hold,1016642.0801137493,0.0
2020-02-04,universe_equal_weight,1021740.8865303581,0.0
2020-02-05,elastic_net_score_weighted,1042544.3458963048,0.0
2020-02-05,elastic_net_top20_equal_weight,1042028.0300626254,0.0
2020-02-05,momentum_3m_top20_equal_weight,1030560.6304367211,-7.908781090837369e-05
2020-02-05,ridge_top20_equal_weight,1037897.1440477659,0.0
2020-02-05,spy_buy_and_hold,1028382.0066940865,0.0
2020-02-05,universe_equal_weight,1029703.9063895028,0.0
2020-02-06,elastic_net_score_weighted,1043424.023957676,0.0
2020-02-06,elastic_net_top20_equal_weight,1042255.6266884448,0.0
2020-02-06,momentum_3m_top20_equal_weight,1034004.4072550309,0.0
2020-02-06,ridge_top20_equal_weight,1038566.977981152,0.0
2020-02-06,spy_buy_and_hold,1031842.6049748646,0.0
2020-02-06,universe_equal_weight,1031385.470389151,0.0
2020-02-07,elastic_net_score_weighted,1034259.5849327521,-0.00878304391551532
2020-02-07,elastic_net_top20_equal_weight,1032687.659895297,-0.0091800577019171
2020-02-07,momentum_3m_top20_equal_weight,1029104.3740865495,-0.0047388900222287145
2020-02-07,ridge_top20_equal_weight,1029974.8641774722,-0.008273047368001052
2020-02-07,spy_buy_and_hold,1026343.0506529968,-0.005329838383637875
2020-02-07,universe_equal_weight,1025265.3715424993,-0.0059338618027482415
2020-02-10,elastic_net_score_weighted,1041737.8273046399,-0.0016160224552244085
2020-02-10,elastic_net_top20_equal_weight,1039026.6619432806,-0.003098054510315751
2020-02-10,momentum_3m_top20_equal_weight,1038817.1380740969,0.0
2020-02-10,ridge_top20_equal_weight,1036482.8873191876,-0.002006698370109583
2020-02-10,spy_buy_and_hold,1034005.2720257527,0.0
2020-02-10,universe_equal_weight,1033038.993967965,0.0
2020-02-11,elastic_net_score_weighted,1049443.5481728169,0.0
2020-02-11,elastic_net_top20_equal_weight,1047506.4768754892,0.0
2020-02-11,momentum_3m_top20_equal_weight,1039450.1243401554,0.0
2020-02-11,ridge_top20_equal_weight,1043964.8834467882,0.0
2020-02-11,spy_buy_and_hold,1035797.426671041,0.0
2020-02-11,universe_equal_weight,1036420.4355325494,0.0
2020-02-12,elastic_net_score_weighted,1060801.1327019776,0.0
2020-02-12,elastic_net_top20_equal_weight,1058918.5176725455,0.0
2020-02-12,momentum_3m_top20_equal_weight,1045840.7447050128,0.0
2020-02-12,ridge_top20_equal_weight,1054967.3971650472,0.0
2020-02-12,spy_buy_and_hold,1042470.7874638041,0.0
2020-02-12,universe_equal_weight,1044105.4991220483,0.0
2020-02-13,elastic_net_score_weighted,1061818.1700091066,0.0
2020-02-13,elastic_net_top20_equal_weight,1060503.5869087966,0.0
2020-02-13,momentum_3m_top20_equal_weight,1047497.0889352058,0.0
2020-02-13,ridge_top20_equal_weight,1056052.0991847175,0.0
2020-02-13,spy_buy_and_hold,1041358.4227486113,-0.0010670464137407798
2020-02-13,universe_equal_weight,1043066.8798675006,-0.000994745507442496
2020-02-14,elastic_net_score_weighted,1061031.761730313,-0.0007406242434020438
2020-02-14,elastic_net_top20_equal_weight,1057897.1728458665,-0.0024577135759883406
2020-02-14,momentum_3m_top20_equal_weight,1053528.217518941,0.0
2020-02-14,ridge_top20_equal_weight,1053207.2795392459,-0.0026938250941103137
2020-02-14,spy_buy_and_hold,1043026.7629468022,0.0
2020-02-14,universe_equal_weight,1045457.5873031118,0.0
2020-02-18,elastic_net_score_weighted,1061465.2117852808,-0.00033240928983424567
2020-02-18,elastic_net_top20_equal_weight,1057131.7067254023,-0.0031795085137079626
2020-02-18,momentum_3m_top20_equal_weight,1056611.8860557452,0.0
2020-02-18,ridge_top20_equal_weight,1052699.1279238132,-0.0031750055357049334
2020-02-18,spy_buy_and_hold,1040338.7378534682,-0.002577139138539186
2020-02-18,universe_equal_weight,1044215.4943812042,-0.0011880854249780581
2020-02-19,elastic_net_score_weighted,1075101.4000893328,0.0
2020-02-19,elastic_net_top20_equal_weight,1068275.9966731532,0.0
2020-02-19,momentum_3m_top20_equal_weight,1069616.5256701694,0.0
2020-02-19,ridge_top20_equal_weight,1063835.3913745775,0.0
2020-02-19,spy_buy_and_hold,1045313.0375701892,0.0
2020-02-19,universe_equal_weight,1052240.6158125051,0.0
2020-02-20,elastic_net_score_weighted,1069863.7692147107,-0.004871755235540509
2020-02-20,elastic_net_top20_equal_weight,1063911.8271309473,-0.004085245344645938
2020-02-20,momentum_3m_top20_equal_weight,1062747.4379467543,-0.006422009718961008
2020-02-20,ridge_top20_equal_weight,1059823.8517426138,-0.0037708273897341105
2020-02-20,spy_buy_and_hold,1041018.4243462645,-0.004108447010196636
2020-02-20,universe_equal_weight,1049022.8180949183,-0.00305804363491724
2020-02-21,elastic_net_score_weighted,1059083.6288283141,-0.014898846992188575
2020-02-21,elastic_net_top20_equal_weight,1054702.9023693416,-0.012705606365846722
2020-02-21,momentum_3m_top20_equal_weight,1052399.3544894177,-0.016096582997316866
2020-02-21,ridge_top20_equal_weight,1051331.8510866356,-0.011753265955728454
2020-02-21,spy_buy_and_hold,1030297.7689118738,-0.014364375185846878
2020-02-21,universe_equal_weight,1039207.883640668,-0.01238569579617843
2020-02-24,elastic_net_score_weighted,1015895.4814273693,-0.05507007865215685
2020-02-24,elastic_net_top20_equal_weight,1014052.1609121409,-0.05075826465246558
2020-02-24,momentum_3m_top20_equal_weight,1011894.3862288301,-0.053965265173117505
2020-02-24,ridge_top20_equal_weight,1011472.7360362157,-0.04922063672905663
2020-02-24,spy_buy_and_hold,996127.5674454634,-0.047053340345832195
2020-02-24,universe_equal_weight,1002191.4894520735,-0.04756433614928024
2020-02-25,elastic_net_score_weighted,980149.7029726587,-0.08831882937626567
2020-02-25,elastic_net_top20_equal_weight,979298.3134005471,-0.08329091316261172
2020-02-25,momentum_3m_top20_equal_weight,978739.9213925812,-0.08496185511031573
