strategy_name,as_of_date,constraint_set,holdings,weight_sum,minimum_weight,maximum_weight,maximum_sector_weight,top_ten_concentration,weight_sum_ok,long_only_ok,asset_cap_ok,sector_cap_required,sector_cap_ok,constraints_pass
elastic_net_score_weighted,2020-01-31,active_long_only,25,1.0,0.0,0.05,0.19385384272535341,0.4999999999999999,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-01-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-01-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-01-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2020-01-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-02-28,active_long_only,25,0.9999999999999998,0.0,0.05,0.20097855686644517,0.4991442359288297,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-02-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-02-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-02-28,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-02-28,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-03-31,active_long_only,25,1.0,0.0,0.05,0.15104171330661403,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-03-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-03-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-03-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2020-03-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-04-30,active_long_only,25,0.9999999999999999,0.0,0.05,0.18289722556878416,0.49999999999999994,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-04-30,active_long_only,20,1.0000000000000002,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-04-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-04-30,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-04-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-05-29,active_long_only,25,1.0,0.0,0.05,0.15755590376547995,0.4999999999999999,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-05-29,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-05-29,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-05-29,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2020-05-29,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-06-30,active_long_only,25,1.0,0.0,0.05,0.17861776043516264,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-06-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-06-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-06-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-06-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-07-31,active_long_only,25,0.9999999999999999,0.0,0.05,0.17533799134315922,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-07-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-07-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-07-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-07-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-08-31,active_long_only,25,1.0,0.0,0.05,0.1516650712093814,0.49457609564022564,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-08-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-08-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-08-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-08-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-09-30,active_long_only,25,1.0,0.0,0.05,0.15,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-09-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-09-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-09-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2020-09-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-10-30,active_long_only,25,1.0,0.0,0.05,0.12421095007210414,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-10-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-10-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-10-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2020-10-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-11-30,active_long_only,25,1.0000000000000002,0.0,0.05,0.1609506296334351,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-11-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-11-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-11-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-11-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2020-12-31,active_long_only,25,0.9999999999999999,0.0,0.05,0.18066290409291136,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2020-12-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2020-12-31,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2020-12-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2020-12-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-01-29,active_long_only,25,0.9999999999999998,0.0,0.05,0.19246342492161214,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-01-29,active_long_only,20,1.0,0.0,0.05,0.25,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-01-29,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-01-29,active_long_only,20,1.0,0.0,0.05,0.25,0.5,True,True,True,True,True,True
universe_equal_weight,2021-01-29,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-02-26,active_long_only,25,0.9999999999999999,0.0,0.05,0.1513020971967104,0.4972084368664017,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-02-26,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-02-26,active_long_only,20,1.0000000000000002,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-02-26,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2021-02-26,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-03-31,active_long_only,25,0.9999999999999999,0.0,0.05,0.18493394202605376,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-03-31,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2021-03-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-04-30,active_long_only,25,0.9999999999999999,0.0,0.05,0.1964850069886206,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-04-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-04-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-04-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2021-04-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-05-28,active_long_only,25,1.0,0.0,0.05,0.165251350506074,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-05-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-05-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-05-28,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2021-05-28,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-06-30,active_long_only,25,0.9999999999999999,0.0,0.05,0.1771460491881539,0.5,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-06-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-06-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-06-30,active_long_only,20,1.0,0.0,0.05,0.2,0.5,True,True,True,True,True,True
universe_equal_weight,2021-06-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-07-30,active_long_only,25,0.9999999999999999,0.0,0.05,0.14999999999999997,0.4999999999999999,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-07-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-07-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-07-30,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2021-07-30,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-08-31,active_long_only,25,1.0,0.0,0.05,0.15,0.4999999999999999,True,True,True,True,True,True
elastic_net_top20_equal_weight,2021-08-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
momentum_3m_top20_equal_weight,2021-08-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
ridge_top20_equal_weight,2021-08-31,active_long_only,20,1.0,0.0,0.05,0.15000000000000002,0.5,True,True,True,True,True,True
universe_equal_weight,2021-08-31,benchmark,50,1.0,0.02,0.02,0.16,0.19999999999999998,True,True,True,False,True,True
elastic_net_score_weighted,2021-09-30,active_long_only,25,1.0,0.0,0.05,0.14985189978665378,0.49999999999999994,True,True,True,True,True,True
