as_of_date,ticker,sector,weight,annualized_volatility,beta_vs_spy,marginal_risk,component_risk,risk_contribution_share,position_notional,average_dollar_volume,position_adv_fraction,liquidation_days
2020-01-31,NVDA,Information Technology,0.05,0.35502241536751467,2.191999900159055,0.2747513628127737,0.013737568140638685,0.09449841848430887,50000.0,1822566390.4758136,2.7433842882917755e-05,0.0002743384288291775
2020-01-31,TSLA,Consumer Discretionary,0.05,0.49249093989054643,1.3088685177662378,0.22830060026204904,0.011415030013102453,0.07852206971029084,50000.0,5761000837.53128,8.679047514498564e-06,8.679047514498565e-05
2020-01-31,QCOM,Information Technology,0.05,0.3989169580682462,1.4168428743145831,0.2196783364817674,0.01098391682408837,0.0755565146620839,50000.0,869261694.6102778,5.752007745195404e-05,0.0005752007745195404
2020-01-31,AVGO,Information Technology,0.05,0.28658402816889444,1.4899059402322692,0.18716117556207476,0.009358058778103738,0.06437251088116484,50000.0,763649834.9453291,6.54750354311012e-05,0.0006547503543110119
2020-01-31,EOG,Energy,0.05,0.34480101749122904,1.3607149972480979,0.17561125241283496,0.008780562620641749,0.06040001203695629,50000.0,315053247.7028529,0.00015870333146718814,0.0015870333146718815
2020-01-31,NFLX,Communication Services,0.05,0.32508538833258255,1.327742936792727,0.1745274028587425,0.008726370142937125,0.06002723110627003,50000.0,2129562350.7600784,2.3479002613919294e-05,0.00023479002613919296
2020-01-31,AAPL,Information Technology,0.05,0.2342054568792623,1.463500329743016,0.1707462256918503,0.008537311284592515,0.05872672704826548,50000.0,8262776629.844869,6.051234620018856e-06,6.051234620018856e-05
2020-01-31,CAT,Industrials,0.05,0.2420477633353527,1.3538247450629484,0.1599238724868793,0.007996193624343966,0.05500446976197405,50000.0,412636801.2186432,0.00012117193583396984,0.0012117193583396984
2020-01-31,META,Communication Services,0.05,0.25377515014178564,1.1710756196641288,0.13987208510014837,0.0069936042550074184,0.048107826278822624,50000.0,2895925426.3651786,1.7265637970090105e-05,0.00017265637970090102
2020-01-31,MSFT,Information Technology,0.05,0.18695595877553622,1.275151888601749,0.13867724701948717,0.006933862350974359,0.04769687177868334,50000.0,3539940508.011271,1.4124531157188815e-05,0.00014124531157188813
2020-01-31,LOW,Consumer Discretionary,0.05,0.254754173276809,1.0761413934576773,0.13578263690353054,0.006789131845176527,0.04670129499505522,50000.0,441801529.81218976,0.00011317298973875225,0.0011317298973875225
2020-01-31,NKE,Consumer Discretionary,0.05,0.20513725815089845,1.1684654326378774,0.13322451931409937,0.006661225965704969,0.04582145198345616,50000.0,567054986.0576884,8.817487056698473e-05,0.0008817487056698472
2020-01-31,AMZN,Consumer Discretionary,0.05,0.21863867875837878,1.0979532604611182,0.13240210845630573,0.006620105422815287,0.045538590691667845,50000.0,6096037471.1458845,8.202049320835522e-06,8.202049320835522e-05
2020-01-31,WFC,Financials,0.05,0.20322789637412483,1.0469435008393004,0.11986254388765526,0.005993127194382763,0.041225713011687676,50000.0,1014809612.5648308,4.927032556740368e-05,0.0004927032556740368
2020-01-31,ABBV,Health Care,0.05,0.2506075220944388,0.8985770256153801,0.10681425092745117,0.005340712546372559,0.0367378624837197,50000.0,686482755.26474,7.283504154553402e-05,0.0007283504154553402
2020-01-31,SHW,Materials,0.05,0.20701651079188835,0.8974520137268608,0.09877474447233346,0.004938737223616673,0.03397274191206772,50000.0,272359661.25709534,0.00018358078347293228,0.0018358078347293228
2020-01-31,DIS,Communication Services,0.05,0.22783914938763916,0.8263495787667462,0.08777383823744218,0.004388691911872109,0.03018907281412843,50000.0,1549245388.8772328,3.227377687161356e-05,0.00032273776871613564
2020-01-31,UNH,Health Care,0.05,0.25558479171893644,0.7561123711801235,0.08419056306436931,0.004209528153218465,0.0289566354810324,50000.0,993635854.9389395,5.032024534085737e-05,0.0005032024534085737
2020-01-31,COST,Consumer Staples,0.05,0.15940656244493323,0.6878859211200722,0.07561230450507872,0.0037806152252539364,0.02600621565816571,50000.0,596141064.1281128,8.387276604259362e-05,0.0008387276604259361
2020-01-31,PLD,Real Estate,0.05,0.17960403126544294,0.6408181549131078,0.06378341655868622,0.0031891708279343112,0.02193776922019875,50000.0,246245392.8774643,0.00020304948415778405,0.0020304948415778407
2020-02-28,TSLA,Consumer Discretionary,0.05,0.6006819149028413,1.6108280266239914,0.30687767226520557,0.015343883613260278,0.09238762794619648,50000.0,11190376446.048693,4.468124932263109e-06,4.4681249322631084e-05
2020-02-28,NVDA,Information Technology,0.05,0.38884639324037523,2.0358959661141536,0.2989303735440986,0.014946518677204932,0.08999503915991168,50000.0,2566462721.46492,1.948206750942415e-05,0.0001948206750942415
2020-02-28,QCOM,Information Technology,0.05,0.4132567914666892,1.407202580357658,0.23647806244463412,0.011823903122231708,0.07119334257622825,50000.0,855143258.669726,5.846973532572866e-05,0.0005846973532572865
2020-02-28,AVGO,Information Technology,0.05,0.2950358208188108,1.4012090055310586,0.20430561882611503,0.010215280941305752,0.061507607771191616,50000.0,797544614.9525961,6.269241753073822e-05,0.0006269241753073822
