as_of_date,positions,portfolio_value,predicted_volatility,predicted_variance,portfolio_beta_vs_spy,maximum_weight,minimum_weight,concentration_hhi,effective_positions,maximum_sector_weight,maximum_active_sector_weight,maximum_position_adv_fraction,weighted_position_adv_fraction,maximum_liquidation_days,weighted_liquidation_days,risk_contribution_sum
2020-01-31,20,1000000.0,0.145373524350778,0.02113346158216624,1.1728163201151538,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09000000000000001,0.00020304948415778405,6.923280047840688e-05,0.0020304948415778407,0.000692328004784069,0.145373524350778
2020-02-28,20,1000000.0,0.16608158423762165,0.027583092622878214,1.1868776137913286,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.00017335648431695072,6.631800558886898e-05,0.0017335648431695072,0.0006631800558886898,0.16608158423762165
2020-03-31,20,1000000.0,0.33242048909548144,0.11050338157047908,1.1635647225319827,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.0001444281712922041,5.3426248298053416e-05,0.0014442817129220408,0.000534262482980534,0.3324204890954814
2020-04-30,20,1000000.0,0.3333089675597564,0.11109486785575075,1.0844072703287182,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.13,0.00015123052020355653,4.8333945005155264e-05,0.0015123052020355654,0.00048333945005155256,0.3333089675597564
2020-05-29,20,1000000.0,0.3484040873214709,0.12138540806230712,1.121095431720886,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.0001379378196919363,4.5417038548609294e-05,0.0013793781969193627,0.00045417038548609297,0.34840408732147093
2020-06-30,20,1000000.0,0.36051014102855566,0.1299675617844291,1.1285814190720875,0.05,0.05,0.05000000000000002,19.999999999999993,0.35000000000000003,0.19000000000000003,0.0001886000063335628,5.167355176687561e-05,0.0018860000633356278,0.0005167355176687561,0.3605101410285557
2020-07-31,20,1000000.0,0.34068983593106156,0.11606956430673362,1.059722154052237,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.05,0.00022337059831201717,6.581991069168889e-05,0.0022337059831201715,0.000658199106916889,0.3406898359310614
2020-08-31,20,1000000.0,0.32986107307624923,0.10880832753101463,1.0432190504729384,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.00024235455268930157,7.47137784008162e-05,0.0024235455268930154,0.0007471377840081621,0.32986107307624923
2020-09-30,20,1000000.0,0.33939556977320395,0.11518935278167776,1.0487837061417968,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00025932355467867625,6.122966649952326e-05,0.0025932355467867623,0.0006122966649952326,0.339395569773204
2020-10-30,20,1000000.0,0.32593273726816924,0.10623214922312144,0.9854913366670233,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.0002096527004710547,6.841793108227476e-05,0.002096527004710547,0.0006841793108227476,0.32593273726816924
2020-11-30,20,1000000.0,0.3413522380343303,0.1165213504110461,1.0168894452285588,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.0002195519475178311,6.602379508433031e-05,0.002195519475178311,0.0006602379508433032,0.34135223803433024
2020-12-31,20,1000000.0,0.3875976906078487,0.15023196976453762,1.1697730104584987,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00023204962892662051,7.881035609232984e-05,0.002320496289266205,0.0007881035609232985,0.3875976906078487
2021-01-29,20,1000000.0,0.364752932981227,0.1330447021184075,1.1008791942493565,0.05,0.05,0.05000000000000002,19.999999999999993,0.15000000000000002,0.05,0.00022133709722710237,6.864460843507496e-05,0.0022133709722710238,0.0006864460843507494,0.364752932981227
2021-02-26,20,1000000.0,0.3511907791220414,0.12333496334034647,1.0764115744803922,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.07000000000000002,0.00017676995189248762,5.445570806020135e-05,0.0017676995189248761,0.0005445570806020138,0.35119077912204144
2021-03-31,20,1000000.0,0.24003100017354642,0.05761488104431304,1.1355490559544754,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00016979747128201397,5.965777787028627e-05,0.0016979747128201394,0.0005965777787028628,0.24003100017354642
2021-04-30,20,1000000.0,0.19992079313810054,0.03996832352896719,1.1126309050220913,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.06,0.0001695835425279547,5.7351516614638974e-05,0.001695835425279547,0.0005735151661463898,0.19992079313810054
2021-05-28,20,1000000.0,0.19634197248220614,0.03855017015820339,1.1201105084333105,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.12000000000000001,0.00017573381903470284,4.608979276016828e-05,0.0017573381903470283,0.00046089792760168285,0.19634197248220608
2021-06-30,20,1000000.0,0.1696680099610163,0.02878723360413153,1.1031234765943088,0.05,0.05,0.05000000000000002,19.999999999999993,0.30000000000000004,0.14000000000000004,0.00019593021467030635,5.9743207685076446e-05,0.0019593021467030633,0.0005974320768507644,0.1696680099610163
2021-07-30,20,1000000.0,0.15672847922554106,0.024563816200350853,1.0114542813267502,0.05,0.05,0.05000000000000002,19.999999999999993,0.2,0.08000000000000002,0.0001717760548181442,5.787792789169384e-05,0.0017177605481814417,0.0005787792789169386,0.15672847922554106
2021-08-31,20,1000000.0,0.16117247508447907,0.02597656672485703,1.0774911604864856,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00019652387173306878,6.71591616075618e-05,0.0019652387173306877,0.000671591616075618,0.1611724750844791
2021-09-30,20,1000000.0,0.1553212552091435,0.024124692319743887,1.1244760137893843,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00016906931816485085,5.3740078197784196e-05,0.0016906931816485086,0.0005374007819778419,0.15532125520914353
2021-10-29,20,1000000.0,0.1365330617799762,0.018641276959014796,1.0552512489648715,0.05,0.05,0.05000000000000002,19.999999999999993,0.25,0.09,0.00020053831346041235,6.542408308832373e-05,0.0020053831346041233,0.0006542408308832373,0.13653306177997615
