fold_id,test_date,model_name,alpha,l1_ratio,validation_mean_ic,validation_valid_months,selected
1,2020-01-31,elastic_net,0.0001,0.1,-0.028699479791916758,12,False
1,2020-01-31,elastic_net,0.0001,0.5,-0.01715086034413765,12,False
1,2020-01-31,elastic_net,0.0001,0.9,-0.007106842737094843,12,False
1,2020-01-31,elastic_net,0.001,0.1,-0.00253701480592237,12,False
1,2020-01-31,elastic_net,0.001,0.5,0.010956382553021199,12,True
1,2020-01-31,elastic_net,0.001,0.9,0.0003601440576230473,12,False
1,2020-01-31,elastic_net,0.01,0.1,-0.012973189275710277,12,False
1,2020-01-31,elastic_net,0.01,0.5,,0,False
1,2020-01-31,elastic_net,0.01,0.9,,0,False
1,2020-01-31,ridge,0.1,,-0.031668667466986794,12,False
1,2020-01-31,ridge,1.0,,-0.03183673469387755,12,False
1,2020-01-31,ridge,10.0,,-0.02372148859543818,12,False
1,2020-01-31,ridge,100.0,,0.00044817927170868327,12,True
2,2020-02-28,elastic_net,0.0001,0.1,-0.028699479791916758,12,False
2,2020-02-28,elastic_net,0.0001,0.5,-0.01715086034413765,12,False
2,2020-02-28,elastic_net,0.0001,0.9,-0.007106842737094843,12,False
2,2020-02-28,elastic_net,0.001,0.1,-0.00253701480592237,12,False
2,2020-02-28,elastic_net,0.001,0.5,0.010956382553021199,12,True
2,2020-02-28,elastic_net,0.001,0.9,0.0003601440576230473,12,False
2,2020-02-28,elastic_net,0.01,0.1,-0.012973189275710277,12,False
2,2020-02-28,elastic_net,0.01,0.5,,0,False
2,2020-02-28,elastic_net,0.01,0.9,,0,False
2,2020-02-28,ridge,0.1,,-0.031668667466986794,12,False
2,2020-02-28,ridge,1.0,,-0.03183673469387755,12,False
2,2020-02-28,ridge,10.0,,-0.02372148859543818,12,False
2,2020-02-28,ridge,100.0,,0.00044817927170868327,12,True
3,2020-03-31,elastic_net,0.0001,0.1,0.0024809923969587827,12,False
3,2020-03-31,elastic_net,0.0001,0.5,0.015982392957182873,12,False
3,2020-03-31,elastic_net,0.0001,0.9,0.032340936374549815,12,False
3,2020-03-31,elastic_net,0.001,0.1,0.03539815926370548,12,False
3,2020-03-31,elastic_net,0.001,0.5,0.041640656262504995,12,True
3,2020-03-31,elastic_net,0.001,0.9,0.021672669067627052,12,False
3,2020-03-31,elastic_net,0.01,0.1,0.017719087635054035,12,False
3,2020-03-31,elastic_net,0.01,0.5,,0,False
3,2020-03-31,elastic_net,0.01,0.9,,0,False
3,2020-03-31,ridge,0.1,,-0.000408163265306123,12,False
3,2020-03-31,ridge,1.0,,-0.0006162464985994322,12,False
3,2020-03-31,ridge,10.0,,0.00903561424569828,12,False
3,2020-03-31,ridge,100.0,,0.0360704281712685,12,True
4,2020-04-30,elastic_net,0.0001,0.1,0.028179271708683475,12,False
4,2020-04-30,elastic_net,0.0001,0.5,0.036710684273709486,12,False
4,2020-04-30,elastic_net,0.0001,0.9,0.04817126850740296,12,False
4,2020-04-30,elastic_net,0.001,0.1,0.04769907963185274,12,False
4,2020-04-30,elastic_net,0.001,0.5,0.05822328931572628,12,True
4,2020-04-30,elastic_net,0.001,0.9,0.039815926370548226,12,False
4,2020-04-30,elastic_net,0.01,0.1,0.03378951580632252,12,False
4,2020-04-30,elastic_net,0.01,0.5,,0,False
4,2020-04-30,elastic_net,0.01,0.9,,0,False
4,2020-04-30,ridge,0.1,,0.0221608643457383,12,False
4,2020-04-30,ridge,1.0,,0.02421768707482994,12,False
4,2020-04-30,ridge,10.0,,0.032821128451380556,12,False
4,2020-04-30,ridge,100.0,,0.051156462585034014,12,True
5,2020-05-29,elastic_net,0.0001,0.1,0.028179271708683475,12,False
5,2020-05-29,elastic_net,0.0001,0.5,0.036710684273709486,12,False
5,2020-05-29,elastic_net,0.0001,0.9,0.04817126850740296,12,False
5,2020-05-29,elastic_net,0.001,0.1,0.04769907963185274,12,False
5,2020-05-29,elastic_net,0.001,0.5,0.05822328931572628,12,True
5,2020-05-29,elastic_net,0.001,0.9,0.039815926370548226,12,False
5,2020-05-29,elastic_net,0.01,0.1,0.03378951580632252,12,False
5,2020-05-29,elastic_net,0.01,0.5,,0,False
5,2020-05-29,elastic_net,0.01,0.9,,0,False
5,2020-05-29,ridge,0.1,,0.0221608643457383,12,False
5,2020-05-29,ridge,1.0,,0.02421768707482994,12,False
5,2020-05-29,ridge,10.0,,0.032821128451380556,12,False
5,2020-05-29,ridge,100.0,,0.051156462585034014,12,True
6,2020-06-30,elastic_net,0.0001,0.1,0.028619447779111646,12,False
6,2020-06-30,elastic_net,0.0001,0.5,0.0392156862745098,12,False
6,2020-06-30,elastic_net,0.0001,0.9,0.04691476590636253,12,False
6,2020-06-30,elastic_net,0.001,0.1,0.050284113645458185,12,False
6,2020-06-30,elastic_net,0.001,0.5,0.06346538615446178,12,True
6,2020-06-30,elastic_net,0.001,0.9,0.02360144057623049,12,False
6,2020-06-30,elastic_net,0.01,0.1,0.01750300120048019,12,False
6,2020-06-30,elastic_net,0.01,0.5,,0,False
6,2020-06-30,elastic_net,0.01,0.9,,0,False
6,2020-06-30,ridge,0.1,,0.025050020008003205,12,False
6,2020-06-30,ridge,1.0,,0.024985994397759104,12,False
6,2020-06-30,ridge,10.0,,0.030420168067226888,12,False
6,2020-06-30,ridge,100.0,,0.05350940376150459,12,True
7,2020-07-31,elastic_net,0.0001,0.1,0.009123649459783917,12,False
7,2020-07-31,elastic_net,0.0001,0.5,0.02397759103641457,12,False
7,2020-07-31,elastic_net,0.0001,0.9,0.0323969587835134,12,False
7,2020-07-31,elastic_net,0.001,0.1,0.04095238095238095,12,False
7,2020-07-31,elastic_net,0.001,0.5,0.056862745098039215,12,True
7,2020-07-31,elastic_net,0.001,0.9,0.026274509803921573,12,False
7,2020-07-31,elastic_net,0.01,0.1,0.024401760704281714,12,False
7,2020-07-31,elastic_net,0.01,0.5,,0,False
7,2020-07-31,elastic_net,0.01,0.9,,0,False
7,2020-07-31,ridge,0.1,,0.004833933573429372,12,False
7,2020-07-31,ridge,1.0,,0.004097639055622253,12,False
7,2020-07-31,ridge,10.0,,0.011428571428571427,12,False
7,2020-07-31,ridge,100.0,,0.03548619447779111,12,True
8,2020-08-31,elastic_net,0.0001,0.1,-0.012917166866746703,12,False
8,2020-08-31,elastic_net,0.0001,0.5,0.0015686274509803906,12,False
8,2020-08-31,elastic_net,0.0001,0.9,0.004153661464585832,12,False
8,2020-08-31,elastic_net,0.001,0.1,0.00665066026410564,12,False
8,2020-08-31,elastic_net,0.001,0.5,0.010556222488995603,12,True
8,2020-08-31,elastic_net,0.001,0.9,-0.011508603441376547,12,False
8,2020-08-31,elastic_net,0.01,0.1,-0.004937975190076026,12,False
8,2020-08-31,elastic_net,0.01,0.5,,0,False
8,2020-08-31,elastic_net,0.01,0.9,,0,False
8,2020-08-31,ridge,0.1,,-0.021280512204881957,12,False
8,2020-08-31,ridge,1.0,,-0.0197358943577431,12,False
8,2020-08-31,ridge,10.0,,-0.012340936374549817,12,False
