suite,category,artifact,artifact_exists,checks,passed_checks,failed_checks,suite_status
temporal_robustness,temporal,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_temporal_checks.csv,True,8,8,0,PASS
transaction_cost_sensitivity,parameters,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\transaction_cost_sensitivity_checks.csv,True,7,7,0,PASS
monthly_portfolio_bootstrap,statistics,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\bootstrap_robustness_checks.csv,True,8,8,0,PASS
final_signal_statistics,statistics,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_final_signal_checks.csv,True,8,8,0,PASS
portfolio_parameter_sensitivity,parameters,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_portfolio_parameter_checks.csv,True,9,9,0,PASS
rebalance_frequency_sensitivity,parameters,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_rebalance_frequency_checks.csv,True,10,10,0,PASS
rolling_evaluation_windows,parameters,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_rolling_window_checks.csv,True,8,8,0,PASS
prediction_horizon_robustness,parameters,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_prediction_horizon_checks.csv,True,8,8,0,PASS
universe_exclusion_robustness,universe,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_universe_exclusion_checks.csv,True,10,10,0,PASS
ensemble_component_ablation,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_ensemble_component_ablation_checks.csv,True,9,9,0,PASS
portfolio_construction_ablation,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_portfolio_construction_ablation_checks.csv,True,10,10,0,PASS
feature_family_contract,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\robustness_feature_family_contract_checks.csv,True,11,11,0,PASS
feature_family_predictive_keys,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\feature_family_ablation\official_predictive_key_checks.csv,True,3,3,0,PASS
feature_family_predictive_full_reference,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\feature_family_ablation\official_predictive_frozen_full_checks.csv,True,5,5,0,PASS
feature_family_predictive_candidate_match,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\feature_family_ablation\official_predictive_full_candidate_match.csv,True,1,1,0,PASS
feature_family_economic_backtest,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\feature_family_ablation\economic_checks.csv,True,11,11,0,PASS
feature_family_economic_bootstrap,ablation,C:\Users\Usuario\Documents\PROYECTO_FINTECH\institutional-quant-equity\reports\tables\feature_family_ablation\economic_bootstrap_checks.csv,True,6,6,0,PASS
