feature,canonical_technical_feature,family,is_fundamental,is_technical,is_momentum,included_full_model,included_no_fundamentals,included_no_momentum
tech__momentum_12_1_sector_neutral,momentum_12_1_sector_neutral,technical_momentum,False,True,True,True,True,False
tech__momentum_6_1_sector_neutral,momentum_6_1_sector_neutral,technical_momentum,False,True,True,True,True,False
tech__return_3m_sector_neutral,return_3m_sector_neutral,technical_momentum,False,True,True,True,True,False
tech__return_1m_sector_neutral,return_1m_sector_neutral,technical_momentum,False,True,True,True,True,False
tech__return_1w_sector_neutral,return_1w_sector_neutral,technical_momentum,False,True,True,True,True,False
tech__reversal_1m_sector_neutral,reversal_1m_sector_neutral,technical_momentum,False,True,True,True,True,False
tech__volatility_20d_sector_neutral,volatility_20d_sector_neutral,technical_other,False,True,False,True,True,True
tech__volatility_60d_sector_neutral,volatility_60d_sector_neutral,technical_other,False,True,False,True,True,True
tech__downside_volatility_60d_sector_neutral,downside_volatility_60d_sector_neutral,technical_other,False,True,False,True,True,True
tech__beta_60d_market_sector_neutral,beta_60d_market_sector_neutral,technical_other,False,True,False,True,True,True
tech__max_drawdown_126d_sector_neutral,max_drawdown_126d_sector_neutral,technical_other,False,True,False,True,True,True
tech__distance_sma_50d_sector_neutral,distance_sma_50d_sector_neutral,technical_other,False,True,False,True,True,True
tech__distance_sma_200d_sector_neutral,distance_sma_200d_sector_neutral,technical_other,False,True,False,True,True,True
tech__sma_50_200_spread_sector_neutral,sma_50_200_spread_sector_neutral,technical_other,False,True,False,True,True,True
tech__positive_day_ratio_60d_sector_neutral,positive_day_ratio_60d_sector_neutral,technical_other,False,True,False,True,True,True
tech__average_dollar_volume_20d_sector_neutral,average_dollar_volume_20d_sector_neutral,technical_other,False,True,False,True,True,True
tech__dollar_volume_change_20d_60d_sector_neutral,dollar_volume_change_20d_60d_sector_neutral,technical_other,False,True,False,True,True,True
tech__amihud_illiquidity_20d_sector_neutral,amihud_illiquidity_20d_sector_neutral,technical_other,False,True,False,True,True,True
tech__zero_volume_ratio_60d_sector_neutral,zero_volume_ratio_60d_sector_neutral,technical_other,False,True,False,True,True,True
fund__earnings_yield_zscore,,fundamental,True,False,False,True,False,True
fund__sales_yield_zscore,,fundamental,True,False,False,True,False,True
fund__book_to_market_zscore,,fundamental,True,False,False,True,False,True
fund__fcf_yield_zscore,,fundamental,True,False,False,True,False,True
fund__roe_zscore,,fundamental,True,False,False,True,False,True
fund__roa_zscore,,fundamental,True,False,False,True,False,True
fund__gross_profitability_zscore,,fundamental,True,False,False,True,False,True
fund__gross_margin_zscore,,fundamental,True,False,False,True,False,True
fund__operating_margin_zscore,,fundamental,True,False,False,True,False,True
fund__net_margin_zscore,,fundamental,True,False,False,True,False,True
fund__cash_conversion_zscore,,fundamental,True,False,False,True,False,True
fund__debt_to_assets_zscore,,fundamental,True,False,False,True,False,True
