ticker,cik,entity_name,observation_count,taxonomy_count,concept_count,unit_count,form_count,first_period_end,last_period_end,first_filed_date,last_filed_date,duration_fact_count,instant_fact_count
AAPL,0000320193,Apple Inc.,25135,2,505,6,4,2006-09-30,2026-07-17,2009-07-22,2026-07-31,15767,9368
ABBV,0001551152,AbbVie Inc.,20626,3,462,12,3,2010-12-31,2026-08-06,2013-05-08,2026-08-06,13253,7373
ABT,0000001800,ABBOTT LABORATORIES,22611,3,482,6,3,2006-12-31,2026-04-24,2009-08-07,2026-04-29,13083,9528
AMZN,0001018724,AMAZON COM INC,29755,4,556,10,5,2006-12-31,2026-07-31,2009-07-24,2026-07-31,19517,10238
APD,0000002969,"AIR PRODUCTS AND CHEMICALS, INC.",34592,4,827,15,3,2006-09-30,2026-06-30,2009-07-24,2026-07-30,22358,12234
AVGO,0001730168,Broadcom Inc.,15076,4,439,7,4,2015-11-01,2026-05-29,2018-06-14,2026-06-09,9085,5991
BAC,0000070858,BofA Finance LLC,45475,4,899,11,6,2006-12-31,2026-08-11,2009-08-07,2026-08-11,27261,18214
BRK-B,0001067983,BERKSHIRE HATHAWAY INC,18231,3,445,8,3,2006-12-31,2026-06-30,2009-08-07,2026-08-10,12034,6197
CAT,0000018230,CATERPILLAR INC,39403,3,710,14,5,2006-12-31,2026-06-30,2009-08-12,2026-08-05,24452,14951
COP,0001163165,ConocoPhillips,32998,4,751,12,4,1995-12-31,2026-06-30,2009-08-04,2026-08-06,20252,12746
COST,0000909832,COSTCO WHOLESALE CORP /NEW,24426,3,462,9,2,2007-09-02,2026-05-27,2009-12-18,2026-06-03,15368,9058
CSCO,0000858877,"CISCO SYSTEMS, INC.",40827,4,774,9,4,2007-07-28,2026-07-06,2009-11-18,2026-07-09,22033,18794
CVX,0000093410,Chevron Corp,32069,3,631,10,5,2006-12-31,2026-06-30,2009-05-07,2026-08-06,20179,11890
DIS,0001744489,WALT DISNEY CO/,16422,3,496,4,4,2015-01-30,2026-07-29,2019-05-08,2026-08-05,10085,6337
EOG,0000821189,"EOG RESOURCES, INC.",23348,4,515,16,3,2006-12-31,2026-07-28,2009-08-06,2026-08-04,15076,8272
GOOGL,0001652044,Alphabet Inc.,20907,4,557,4,7,2012-12-31,2026-08-07,2015-10-29,2026-08-07,11067,9840
GS,0000886982,"The Goldman Sachs Group, Inc.",40906,5,647,7,5,2007-11-30,2026-08-11,2009-08-05,2026-08-11,17587,23319
HD,0000354950,"HOME DEPOT, INC.",21151,3,468,9,4,2007-01-28,2026-05-19,2009-09-03,2026-05-27,12998,8153
HON,0000773840,Honeywell International Inc,30318,4,639,11,5,2006-12-31,2026-06-30,2009-08-03,2026-07-24,19397,10921
JNJ,0000200406,Johnson & Johnson,27494,2,611,11,2,2006-12-31,2026-07-17,2009-08-04,2026-07-23,17267,10227
JPM,0000019617,JPMORGAN CHASE & CO,53218,6,933,8,8,2006-12-31,2026-08-11,2009-08-10,2026-08-11,28823,24395
KO,0000021344,COCA COLA CO,33236,2,726,6,4,2006-12-31,2026-04-28,2009-07-30,2026-04-30,21191,12045
LLY,0000059478,ELI LILLY AND COMPANY,23295,5,557,8,5,2000-12-31,2026-08-03,2009-07-31,2026-08-05,14160,9135
LOW,0000060667,"LOWE’S COMPANIES, INC.",24795,4,486,8,4,2007-02-02,2026-05-26,2009-09-01,2026-05-28,14036,10759
MA,0001141391,Mastercard Incorporated,27477,4,622,10,4,2003-01-31,2026-06-30,2009-07-31,2026-07-30,16728,10749
MCD,0000063908,McDONALD’S CORPORATION,23835,4,442,10,3,2006-12-31,2026-06-30,2009-08-06,2026-08-07,15767,8068
META,0001326801,"Meta Platforms, Inc.",17730,5,470,13,5,2009-12-31,2026-05-01,2012-07-31,2026-05-01,10568,7162
MRK,0000310158,"Merck & Co., Inc.",29388,5,789,20,6,1998-12-31,2026-07-31,2009-07-24,2026-08-07,18003,11385
MSFT,0000789019,MICROSOFT CORPORATION,32671,2,565,12,4,2007-06-30,2026-07-23,2009-10-23,2026-07-29,19549,13122
NEE,0000753308,NEXTERA ENERGY INC,26332,3,462,6,3,2004-12-31,2026-07-08,2009-07-31,2026-07-09,16655,9677
NFLX,0001065280,NETFLIX INC,23911,5,504,11,6,2006-12-31,2026-07-21,2009-07-31,2026-07-21,15607,8304
NKE,0000320187,"NIKE, Inc.",20002,5,457,5,4,2004-05-31,2026-05-31,2009-10-08,2026-07-15,12568,7434
NVDA,0001045810,NVIDIA CORP,26903,6,642,6,4,2007-01-28,2026-06-16,2009-08-20,2026-06-17,15363,11540
ORCL,0001341439,Oracle Corporation,26035,2,537,6,3,2006-01-13,2199-12-31,2009-09-21,2026-06-22,16017,10018
PEP,0000077476,"PepsiCo, Inc.",32903,2,614,14,3,2006-12-30,2026-07-02,2009-10-08,2026-07-09,22521,10382
PG,0000080424,PROCTER & GAMBLE CO,26171,3,470,11,4,2006-06-30,2026-07-31,2009-10-29,2026-08-04,17186,8985
PLD,0001045609,"Prologis, Inc.",23440,5,595,19,4,2007-03-31,2026-08-04,2010-08-03,2026-08-05,15560,7880
QCOM,0000804328,QUALCOMM INC/DE,28833,5,693,11,5,2006-09-24,2026-07-31,2009-07-22,2026-07-31,17691,11142
RTX,0000101829,RTX CORPORATION,33909,2,737,6,3,2006-12-31,2026-06-30,2009-07-24,2026-07-23,22136,11773
SHW,0000089800,THE SHERWIN-WILLIAMS COMPANY,30268,2,621,12,2,2006-05-08,2026-06-30,2009-07-31,2026-07-28,17835,12433
SO,0000092122,SOUTHERN CO,27773,4,638,9,4,2006-12-31,2026-06-08,2009-08-27,2026-06-08,16985,10788
TMO,0000097745,THERMO FISHER SCIENTIFIC INC.,34725,4,684,8,4,2006-11-09,2026-06-27,2009-07-31,2026-07-31,22665,12060
TSLA,0001318605,"Tesla, Inc.",24131,3,649,12,4,2008-12-31,2026-07-16,2011-08-12,2026-07-23,13478,10653
TXN,0000097476,TEXAS INSTRUMENTS INCORPORATED,24482,3,485,9,4,2006-12-31,2026-07-15,2009-07-29,2026-07-24,15205,9277
UNH,0000731766,UnitedHealth Group Incorporated,29245,4,580,10,4,2006-12-31,2026-07-31,2009-08-06,2026-08-10,17354,11891
UNP,0000100885,UNION PACIFIC CORP,24155,3,451,5,3,2006-12-31,2026-07-17,2009-07-24,2026-07-23,15364,8791
UPS,0001090727,UNITED PARCEL SERVICE INC,26724,5,591,23,4,2006-12-31,2026-08-11,2009-08-07,2026-08-11,16065,10659
V,0001403161,VISA INC.,23266,5,633,9,3,2006-09-30,2026-04-13,2009-07-30,2026-04-29,15121,8145
WFC,0000072971,WELLS        FARGO & COMPANY/MN,51928,5,947,11,6,2006-12-31,2026-08-11,2009-08-07,2026-08-11,32780,19148
WMT,0000104169,WALMART INC.,24871,5,493,8,6,2007-01-31,2026-05-27,2009-09-09,2026-05-29,15925,8946
