scenario,linear_cost_bps,liquidity_model,strategy_name,final_portfolio_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,beta_vs_spy,annualized_alpha_vs_spy,excess_cagr,total_transaction_cost,total_traded_notional,mean_two_way_turnover,mean_one_way_turnover,realized_effective_cost_bps
linear_0bps,0.0,False,alpha_risk_turnover,3515938.9028036115,2.5159389028036117,0.21749542234341313,0.21439784584146082,1.0259921313260973,1.4618385566338685,-0.341612245905633,1.00337028100453,0.052985767913724606,0.060863036800395065,0.0,76583811.97101326,0.5106746585555434,0.2618308363131427,0.0
linear_5bps,5.0,False,alpha_risk_turnover,3447490.3689066004,2.4474903689066005,0.21375467025463002,0.2143951410900722,1.0116393195432858,1.4405815007173433,-0.34179143857822203,1.003293361536464,0.049997287239183556,0.05721277760546073,37842.65405367555,75685308.10735112,0.5105806846752291,0.26190500374687165,4.999999999999998
linear_10bps,10.0,False,alpha_risk_turnover,3380380.372310791,2.3803803723107912,0.21002574647822425,0.21439623000951924,0.9972737538376055,1.4193324746544551,-0.34197052379824555,1.003216458174184,0.04700983986826677,0.05357429443566364,74799.7970665432,74799797.06654319,0.5104873767350683,0.26197946451636395,10.0
linear_20bps,20.0,False,alpha_risk_turnover,3250070.8344114227,2.2500708344114226,0.2026032008742713,0.2144097706984997,0.9685073713442613,1.376860188191692,-0.3423283722669712,1.0030627011711826,0.041038018856496196,0.04633247340834634,146133.54833304026,73066774.16652012,0.5103018590995306,0.262128815726583,20.000000000000004
linear_50bps,50.0,False,alpha_risk_turnover,2888627.1775024175,1.8886271775024173,0.1806148285872351,0.21454093417840878,0.8819809281942805,1.2496699784461094,-0.34339934883642176,1.002601843034931,0.02314676415009982,0.02488502579512586,340787.00621032657,68157401.24206533,0.5097526176845593,0.2625795848806656,49.99999999999999
liquidity_model,5.0,True,alpha_risk_turnover,3445326.3420354966,2.4453263420354965,0.21363538681156768,0.2143949660819117,1.0111812372990157,1.4399037850845982,-0.3417954255229525,1.0032904653394021,0.04989938143597485,0.057093494162398395,39028.737777649,75656641.48262064,0.5105777139829167,0.2619074396770168,5.158666445247167
linear_0bps,0.0,False,cvar,3345205.151504975,2.3452051515049748,0.20804625111843378,0.21374192053176438,0.9918943034142693,1.4142039553564536,-0.3261296650529416,1.0043220895097114,0.044866254857228526,0.05141386557541572,0.0,61310380.87696725,0.4289576840352296,0.22097234851112135,0.0
linear_5bps,5.0,False,cvar,3290416.0648937337,2.2904160648937335,0.20492772486925603,0.21374088985153492,0.9797970971610539,1.396284194200717,-0.32628459184722935,1.0042837789483983,0.04236468460257997,0.048385832220086744,30354.211816247716,60708423.63249543,0.42888295539955695,0.2210357146707721,5.0
linear_10bps,10.0,False,cvar,3236529.8916789657,2.2365298916789658,0.20181757190990268,0.2137426766226664,0.9676912180410194,1.3783718107839718,-0.3264394543454908,1.00424543289183,0.039863933201980076,0.04536611986734207,60113.749786807835,60113749.786807835,0.42880851382296525,0.2210991936229525,10.0
linear_20bps,20.0,False,cvar,3131406.142921021,2.1314061429210214,0.19562226224609125,0.2137546869587984,0.9434552973973749,1.3425688789811274,-0.3267490324565808,1.004168624848469,0.03486486147061041,0.039351534780166286,117891.83410580832,58945917.05290416,0.4286607512938927,0.22122662071013588,20.0
linear_50bps,50.0,False,cvar,2836185.526581777,1.8361855265817768,0.17723404358449057,0.2138579519739223,0.8705873012219788,1.2353590461982236,-0.32767669200776195,1.0039372286360693,0.019886571503480513,0.021504240792381335,278039.84032302134,55607968.06460427,0.4282272647876348,0.22161309504438245,50.0
liquidity_model,5.0,True,cvar,3288685.2266263985,2.2886852266263986,0.20482849607817566,0.21374073499288776,0.9794120931369865,1.39571436330118,-0.3262874888658648,1.0042817011542167,0.04228258746101789,0.04828660342900637,31302.259949373612,60689100.08107729,0.42888057937821206,0.2210377906608488,5.157805916969525
linear_0bps,0.0,False,median_mad_de,3695910.2192660794,2.6959102192660795,0.22704571417776553,0.2130679219832574,1.0676164401557742,1.5300675916887523,-0.3271562363106809,1.0012888870189802,0.06083647506545829,0.07041332863474747,0.0,86318966.40316558,0.5815578179808305,0.2972724154839218,0.0
linear_5bps,5.0,False,median_mad_de,3614081.4894968094,2.6140814894968094,0.22275320013547395,0.2130698103288978,1.0511499058829044,1.5054512073678188,-0.32732210342045664,1.0012367348408173,0.0574171541228015,0.06621130748630466,42580.58992618752,85161179.85237503,0.5814449062638112,0.2973548305906153,5.0
linear_10bps,10.0,False,median_mad_de,3534070.3019917794,2.5340703019917794,0.21847601678338302,0.2130766042024309,1.0346661896716995,1.4808489051510998,-0.3274879044208081,1.0011845702439717,0.053999101054228865,0.06202456474082241,84022.39842694522,84022398.42694521,0.5813328015861917,0.29743759964844746,10.0
linear_20bps,20.0,False,median_mad_de,3379337.9406560585,2.3793379406560584,0.20996733371052012,0.21310488540872324,1.0016515430079151,1.4316901182887947,-0.3278193082512838,1.0010802156383083,0.047166724753319504,0.05369660624459516,163601.51365012088,81800756.82506044,0.5811116141195224,0.29760450298577645,20.0
linear_50bps,50.0,False,median_mad_de,2954704.1402641856,1.9547041402641856,0.18480170278773422,0.21330675039950922,0.9023098784430762,1.2846416608344369,-0.3288119372197862,1.0007669017975356,0.026698485579240427,0.029071899995624984,377791.41530480154,75558283.0609603,0.5804664240221692,0.2981132725597361,50.00000000000001
liquidity_model,5.0,True,median_mad_de,3611485.121311185,2.611485121311185,0.2226156650723088,0.21306984335178072,1.050621462915879,1.5046625193752572,-0.3273252082835366,1.0012349170634995,0.05730489595355016,0.0660737724231395,43920.972431088434,85124168.66447785,0.581441329938686,0.2973575715309161,5.159635990596941
linear_0bps,0.0,False,score_weighted,4121685.9462883947,3.1216859462883946,0.24816670241947314,0.22443867230701217,1.1008187233567162,1.575945092922444,-0.34332440690641797,1.0623595105368318,0.07026434374316254,0.09153431687645508,0.0,82782485.98542961,0.5048833129665198,0.2589351629767665,0.0
linear_5bps,5.0,False,score_weighted,4042342.9429409113,3.0423429429409117,0.24437499743830893,0.22443779848553075,1.0872554673056105,1.5557388830865013,-0.34349480370437857,1.0622868456079118,0.06731465948798213,0.08783310478913964,40901.46168739571,81802923.37479143,0.5048107776814976,0.25901860776731295,5.0
linear_10bps,10.0,False,score_weighted,3964528.701778311,2.9645287017783106,0.2405948794845192,0.2244404188717869,1.0736792892455647,1.5355374990521404,-0.34366513968778734,1.0622140738006762,0.06436577359146974,0.08414342744195857,80837.34400214211,80837344.0021421,0.5047382968978502,0.25910205005193243,10.000000000000002
linear_20bps,20.0,False,score_weighted,3813368.6306528836,2.8133686306528833,0.23306923631553889,0.22445612835139744,1.0464906717363966,1.4951476595754527,-0.34400562934114143,1.0620682123845904,0.058470374555107646,0.07679850884961392,157894.70924505897,78947354.62252948,0.5045942585674233,0.25926930785417474,20.0
linear_50bps,50.0,False,score_weighted,3393619.880522474,2.393619880522474,0.21076630491447235,0.22458672917096825,0.9646808794760825,1.3741178800135703,-0.34502564213255604,1.0616281323314707,0.04080296770895089,0.05503650212236311,367957.00497591763,73591400.99518353,0.5041660604700349,0.2597723398747886,50.0
liquidity_model,5.0,True,score_weighted,4040172.810593051,3.0401728105930506,0.24427041052235543,0.22443769293454915,1.086881074531349,1.5551819576923949,-0.3434979632110363,1.0622843768589336,0.06723092754170845,0.08772851787318614,42012.90342213739,81775981.91486195,0.5048087659038759,0.259020939917959,5.137560251600228
linear_0bps,0.0,False,top_n_equal_weight,3872287.8013224364,2.8722878013224364,0.2360320034639911,0.21840781464307696,1.0802862696846935,1.547534194426066,-0.3369829874761956,1.0366125144162126,0.06342592833040968,0.07939961792097305,0.0,74473091.74221557,0.47039871801152605,0.24169286549926955,0.0
linear_5bps,5.0,False,top_n_equal_weight,3802793.743528032,2.8027937435280323,0.23253339330831024,0.21840647423423348,1.0673034249669544,1.5281908654211005,-0.3371321570751754,1.036553845532643,0.06067998100770479,0.07599150065914095,36827.17603376727,73654352.06753454,0.4703168345629604,0.24176301272226472,5.0
linear_10bps,10.0,False,top_n_equal_weight,3734553.149406947,2.7345531494069473,0.22904500992170518,0.21840829865436936,1.0543096581125713,1.5088543429125725,-0.33728124914627744,1.0364951073673319,0.05793494087938237,0.07259355787914457,72846.57306835316,72846573.06835316,0.47023511869612905,0.24183320936197106,10.0
linear_20bps,20.0,False,top_n_equal_weight,3601741.436765434,2.601741436765434,0.22209877677139778,0.21842142778081877,1.0282915904230148,1.470202528798956,-0.3375792009464865,1.036377424112269,0.052447561613906936,0.06582804930547281,142526.71639888047,71263358.19944024,0.47007255754521343,0.24197393564204767,19.999999999999996
linear_50bps,50.0,False,top_n_equal_weight,3231096.298865174,2.231096298865174,0.2015015418571231,0.21853637480925006,0.9500326606748075,1.3544239712288757,-0.3384712019493158,1.036022751382866,0.036006496946098164,0.04577173906501386,333805.44887243357,66761089.77448671,0.469594483300044,0.2424001223468681,50.0
liquidity_model,5.0,True,top_n_equal_weight,3800724.2968242173,2.8007242968242174,0.23242838479010763,0.21840634767433093,1.0669135128331848,1.5276110081585101,-0.33713492013786694,1.0365516237429124,0.06059505622940884,0.07588649214093834,37921.48231667547,73629944.631301,0.470314419458003,0.2417651989986968,5.15027989041222
