fold_id,test_date,candidate_features,active_features,continuous_features,indicator_features,unavailable_features,constant_continuous_features,train_missing_before,validation_missing_before,test_missing_before,train_missing_after,validation_missing_after,test_missing_after,train_non_finite_after,validation_non_finite_after,test_non_finite_after,max_abs_train_scaled_mean,max_abs_train_scaled_std_error
1,2020-01-31,91,91,67,24,0,1,52524,6718,544,0,0,0,0,0,0,5.743553780727476e-17,2.220446049250313e-16
2,2020-02-28,91,91,67,24,0,1,52524,6718,551,0,0,0,0,0,0,5.743553780727476e-17,2.220446049250313e-16
3,2020-03-31,91,91,67,24,0,1,53745,6592,543,0,0,0,0,0,0,1.1660923123159708e-16,2.220446049250313e-16
4,2020-04-30,91,91,67,24,0,1,54333,6547,523,0,0,0,0,0,0,5.752012622819858e-17,2.220446049250313e-16
5,2020-05-29,91,91,67,24,0,1,54333,6547,521,0,0,0,0,0,0,5.752012622819858e-17,2.220446049250313e-16
6,2020-06-30,91,91,67,24,0,1,55469,6455,509,0,0,0,0,0,0,6.449541755360909e-17,2.220446049250313e-16
7,2020-07-31,91,91,67,24,0,1,56025,6408,493,0,0,0,0,0,0,6.917025874634309e-17,1.1102230246251565e-16
8,2020-08-31,91,91,67,24,0,1,56573,6353,469,0,0,0,0,0,0,9.544603913195376e-17,2.220446049250313e-16
9,2020-09-30,91,91,67,24,0,1,57105,6290,469,0,0,0,0,0,0,1.0396912089430878e-16,2.220446049250313e-16
10,2020-10-30,91,91,67,24,0,1,57641,6223,476,0,0,0,0,0,0,1.1842378929335003e-16,2.220446049250313e-16
11,2020-11-30,91,91,67,24,0,1,57641,6223,460,0,0,0,0,0,0,1.1842378929335003e-16,2.220446049250313e-16
12,2020-12-31,91,91,67,24,0,1,58709,6091,460,0,0,0,0,0,0,7.543261789847542e-17,1.1102230246251565e-16
13,2021-01-29,91,91,67,24,0,1,58709,6091,462,0,0,0,0,0,0,7.543261789847542e-17,1.1102230246251565e-16
14,2021-02-26,91,91,67,24,0,1,59242,6018,467,0,0,0,0,0,0,8.339008496073397e-17,2.220446049250313e-16
15,2021-03-31,91,91,67,24,0,1,60337,5852,459,0,0,0,0,0,0,4.800964430811488e-17,1.1102230246251565e-16
16,2021-04-30,91,91,67,24,0,1,60880,5768,450,0,0,0,0,0,0,6.252776074688882e-17,2.220446049250313e-16
17,2021-05-28,91,91,67,24,0,1,60880,5768,446,0,0,0,0,0,0,6.252776074688882e-17,2.220446049250313e-16
18,2021-06-30,91,91,67,24,0,1,61924,5620,442,0,0,0,0,0,0,8.270440609415451e-17,1.1102230246251565e-16
19,2021-07-30,91,91,67,24,0,1,62433,5553,436,0,0,0,0,0,0,5.260749101300742e-17,2.220446049250313e-16
20,2021-08-31,91,91,67,24,0,1,62926,5496,430,0,0,0,0,0,0,7.195369476051648e-17,2.220446049250313e-16
21,2021-09-30,91,91,67,24,0,1,63395,5457,432,0,0,0,0,0,0,9.9253938401489e-17,2.220446049250313e-16
22,2021-10-29,91,91,67,24,0,1,63864,5420,436,0,0,0,0,0,0,9.035296516455595e-17,2.220446049250313e-16
23,2021-11-30,91,91,67,24,0,1,64340,5380,432,0,0,0,0,0,0,7.452033570166905e-17,2.220446049250313e-16
24,2021-12-31,91,91,67,24,0,1,64800,5352,434,0,0,0,0,0,0,6.548978227186465e-17,2.220446049250313e-16
25,2022-01-31,91,91,67,24,0,1,64800,5352,434,0,0,0,0,0,0,6.548978227186465e-17,2.220446049250313e-16
26,2022-02-28,91,91,67,24,0,1,65260,5326,436,0,0,0,0,0,0,8.374253671458324e-17,2.220446049250313e-16
27,2022-03-31,91,91,67,24,0,1,66189,5267,438,0,0,0,0,0,0,5.0398961489960596e-17,2.220446049250313e-16
28,2022-04-29,91,91,67,24,0,1,66189,5267,436,0,0,0,0,0,0,5.0398961489960596e-17,2.220446049250313e-16
29,2022-05-31,91,91,67,24,0,1,67098,5232,452,0,0,0,0,0,0,6.863196879500968e-17,2.220446049250313e-16
30,2022-06-30,91,91,67,24,0,1,67544,5238,450,0,0,0,0,0,0,3.8321405973578435e-17,2.220446049250313e-16
31,2022-07-29,91,91,67,24,0,1,67544,5238,446,0,0,0,0,0,0,3.8321405973578435e-17,2.220446049250313e-16
